"Staining_condition","Marker","CV","Is_Excluded"
"ASTAR_Colorectal_Citra_20min","CD68",0.637168826771919,FALSE
"ASTAR_Colorectal_Citra_20min","CD31",0.596267632923422,FALSE
"ASTAR_Colorectal_Citra_20min","CD11c",0.280886679352343,FALSE
"ASTAR_Colorectal_Citra_20min","CD138",0.383839030223825,FALSE
"ASTAR_Colorectal_Citra_20min","aSMA",0.543936377950094,FALSE
"ASTAR_Colorectal_Citra_20min","CD45RA",0.17196532153845,FALSE
"ASTAR_Colorectal_Citra_20min","Granzyme B",0.191473477771383,FALSE
"ASTAR_Colorectal_Citra_20min","CD3",0.14066986234026,FALSE
"ASTAR_Colorectal_Citra_20min","CD8",0.257937547126747,FALSE
"ASTAR_Colorectal_Citra_20min","CD20",0.13065262436023,FALSE
"ASTAR_Colorectal_Citra_20min","HLADR",0.193031983769694,FALSE
"ASTAR_Colorectal_Citra_20min","CD4",0.276980082926542,FALSE
"ASTAR_Colorectal_Citra_20min","CK",0.233386831790578,FALSE
"ASTAR_Colorectal_Citra_20min","CD11b",0.191628912482982,FALSE
"ASTAR_Colorectal_Citra_20min","ECad",0.28156358530576,FALSE
"ASTAR_Colorectal_Tris_10min","CD68",0.631912746681664,FALSE
"ASTAR_Colorectal_Tris_10min","CD31",0.527044779434077,FALSE
"ASTAR_Colorectal_Tris_10min","CD11c",0.394459111620738,FALSE
"ASTAR_Colorectal_Tris_10min","CD138",0.272498750475,FALSE
"ASTAR_Colorectal_Tris_10min","aSMA",0.480483076221208,FALSE
"ASTAR_Colorectal_Tris_10min","CD45RA",0.426657710807354,FALSE
"ASTAR_Colorectal_Tris_10min","Granzyme B",0.319662162180484,FALSE
"ASTAR_Colorectal_Tris_10min","CD3",0.246389290623275,FALSE
"ASTAR_Colorectal_Tris_10min","CD8",0.387662929794568,FALSE
"ASTAR_Colorectal_Tris_10min","CD20",0.209607230610737,FALSE
"ASTAR_Colorectal_Tris_10min","HLADR",0.263068908914261,FALSE
"ASTAR_Colorectal_Tris_10min","CD4",0.28508056934917,FALSE
"ASTAR_Colorectal_Tris_10min","CK",0.354036993575811,FALSE
"ASTAR_Colorectal_Tris_10min","CD11b",0.377990532435412,FALSE
"ASTAR_Colorectal_Tris_10min","ECad",0.397759864766838,FALSE
"ASTAR_Colorectal_Tris_20min","CD68",0.360370664272877,FALSE
"ASTAR_Colorectal_Tris_20min","CD31",0.30209054109402,FALSE
"ASTAR_Colorectal_Tris_20min","CD11c",0.263502836219969,FALSE
"ASTAR_Colorectal_Tris_20min","CD138",0.222611635288876,FALSE
"ASTAR_Colorectal_Tris_20min","aSMA",0.316050198493747,FALSE
"ASTAR_Colorectal_Tris_20min","CD45RA",0.340280648220188,FALSE
"ASTAR_Colorectal_Tris_20min","Granzyme B",0.254423438295609,FALSE
"ASTAR_Colorectal_Tris_20min","CD3",0.161487220495816,FALSE
"ASTAR_Colorectal_Tris_20min","CD8",0.207448673848999,FALSE
"ASTAR_Colorectal_Tris_20min","CD20",0.126624398315756,FALSE
"ASTAR_Colorectal_Tris_20min","HLADR",0.255821894834364,FALSE
"ASTAR_Colorectal_Tris_20min","CD4",0.3127252968432,FALSE
"ASTAR_Colorectal_Tris_20min","CK",0.271225740874727,FALSE
"ASTAR_Colorectal_Tris_20min","CD11b",0.296835575956803,FALSE
"ASTAR_Colorectal_Tris_20min","ECad",0.341542554885482,FALSE
"ASTAR_Colorectal_Tris_40min","CD68",0.31543328882004,FALSE
"ASTAR_Colorectal_Tris_40min","CD31",0.412862565052093,FALSE
"ASTAR_Colorectal_Tris_40min","CD11c",0.259871108146193,FALSE
"ASTAR_Colorectal_Tris_40min","CD138",0.32947938220637,FALSE
"ASTAR_Colorectal_Tris_40min","aSMA",0.420421273055744,FALSE
"ASTAR_Colorectal_Tris_40min","CD45RA",0.246082410172783,FALSE
"ASTAR_Colorectal_Tris_40min","Granzyme B",0.237050091460473,FALSE
"ASTAR_Colorectal_Tris_40min","CD3",0.220568417226577,FALSE
"ASTAR_Colorectal_Tris_40min","CD8",0.354797731241473,FALSE
"ASTAR_Colorectal_Tris_40min","CD20",0.18296165223907,FALSE
"ASTAR_Colorectal_Tris_40min","HLADR",0.275333212087991,FALSE
"ASTAR_Colorectal_Tris_40min","CD4",0.329920303461793,FALSE
"ASTAR_Colorectal_Tris_40min","CK",0.318601889958784,FALSE
"ASTAR_Colorectal_Tris_40min","CD11b",0.299319710528856,FALSE
"ASTAR_Colorectal_Tris_40min","ECad",0.373857650983638,FALSE
