"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"ASTAR_Colorectal_Citra_20min","CD68",0.637168826771919,FALSE,0.87628884015874
"ASTAR_Colorectal_Citra_20min","CD31",0.596267632923422,FALSE,1.05655670449691
"ASTAR_Colorectal_Citra_20min","CD11c",0.280886679352343,FALSE,-0.294342432359912
"ASTAR_Colorectal_Citra_20min","CD138",0.383839030223825,FALSE,1.17056624154803
"ASTAR_Colorectal_Citra_20min","aSMA",0.543936377950094,FALSE,1.06994596717132
"ASTAR_Colorectal_Citra_20min","CD45RA",0.17196532153845,FALSE,-1.12047927657718
"ASTAR_Colorectal_Citra_20min","Granzyme B",0.191473477771383,FALSE,-1.11415559217676
"ASTAR_Colorectal_Citra_20min","CD3",0.14066986234026,FALSE,-1.04337649894234
"ASTAR_Colorectal_Citra_20min","CD8",0.257937547126747,FALSE,-0.526099520636509
"ASTAR_Colorectal_Citra_20min","CD20",0.13065262436023,FALSE,-0.783945109280641
"ASTAR_Colorectal_Citra_20min","HLADR",0.193031983769694,FALSE,-1.46354156849534
"ASTAR_Colorectal_Citra_20min","CD4",0.276980082926542,FALSE,-0.986686818292567
"ASTAR_Colorectal_Citra_20min","CK",0.233386831790578,FALSE,-1.15126186969966
"ASTAR_Colorectal_Citra_20min","CD11b",0.191628912482982,FALSE,-1.30522553555524
"ASTAR_Colorectal_Citra_20min","ECad",0.28156358530576,FALSE,-1.3336349632597
"ASTAR_Colorectal_Tris_10min","CD68",0.631912746681664,FALSE,0.845775939977204
"ASTAR_Colorectal_Tris_10min","CD31",0.527044779434077,FALSE,0.521536957462135
"ASTAR_Colorectal_Tris_10min","CD11c",0.394459111620738,FALSE,1.48444399306186
"ASTAR_Colorectal_Tris_10min","CD138",0.272498750475,FALSE,-0.424053280878307
"ASTAR_Colorectal_Tris_10min","aSMA",0.480483076221208,FALSE,0.415339687606148
"ASTAR_Colorectal_Tris_10min","CD45RA",0.426657710807354,FALSE,1.17574526458996
"ASTAR_Colorectal_Tris_10min","Granzyme B",0.319662162180484,FALSE,1.29924421008942
"ASTAR_Colorectal_Tris_10min","CD3",0.246389290623275,FALSE,1.09395456548078
"ASTAR_Colorectal_Tris_10min","CD8",0.387662929794568,FALSE,1.02415018087918
"ASTAR_Colorectal_Tris_10min","CD20",0.209607230610737,FALSE,1.16193075521066
"ASTAR_Colorectal_Tris_10min","HLADR",0.263068908914261,FALSE,0.442336244402484
"ASTAR_Colorectal_Tris_10min","CD4",0.28508056934917,FALSE,-0.656364262997552
"ASTAR_Colorectal_Tris_10min","CK",0.354036993575811,FALSE,1.12855064533591
"ASTAR_Colorectal_Tris_10min","CD11b",0.377990532435412,FALSE,1.13172787637445
"ASTAR_Colorectal_Tris_10min","ECad",0.397759864766838,FALSE,0.975208727906579
"ASTAR_Colorectal_Tris_20min","CD68",0.360370664272877,FALSE,-0.730595864361791
"ASTAR_Colorectal_Tris_20min","CD31",0.30209054109402,FALSE,-1.21712236708625
"ASTAR_Colorectal_Tris_20min","CD11c",0.263502836219969,FALSE,-0.566610478116405
"ASTAR_Colorectal_Tris_20min","CD138",0.222611635288876,FALSE,-1.13853835288266
"ASTAR_Colorectal_Tris_20min","aSMA",0.316050198493747,FALSE,-1.28100693888261
"ASTAR_Colorectal_Tris_20min","CD45RA",0.340280648220188,FALSE,0.396997491733771
"ASTAR_Colorectal_Tris_20min","Granzyme B",0.254423438295609,FALSE,0.0709991114707414
"ASTAR_Colorectal_Tris_20min","CD3",0.161487220495816,FALSE,-0.622511696817411
"ASTAR_Colorectal_Tris_20min","CD8",0.207448673848999,FALSE,-1.12945376881102
"ASTAR_Colorectal_Tris_20min","CD20",0.126624398315756,FALSE,-0.883222760185373
"ASTAR_Colorectal_Tris_20min","HLADR",0.255821894834364,FALSE,0.245127082005326
"ASTAR_Colorectal_Tris_20min","CD4",0.3127252968432,FALSE,0.470935574300426
"ASTAR_Colorectal_Tris_20min","CK",0.271225740874727,FALSE,-0.436255630098462
"ASTAR_Colorectal_Tris_20min","CD11b",0.296835575956803,FALSE,0.070506965459248
"ASTAR_Colorectal_Tris_20min","ECad",0.341542554885482,FALSE,-0.141840646272272
"ASTAR_Colorectal_Tris_40min","CD68",0.31543328882004,FALSE,-0.991468915774153
"ASTAR_Colorectal_Tris_40min","CD31",0.412862565052093,FALSE,-0.360971294872795
"ASTAR_Colorectal_Tris_40min","CD11c",0.259871108146193,FALSE,-0.623491082585547
"ASTAR_Colorectal_Tris_40min","CD138",0.32947938220637,FALSE,0.392025392212935
"ASTAR_Colorectal_Tris_40min","aSMA",0.420421273055744,FALSE,-0.204278715894861
"ASTAR_Colorectal_Tris_40min","CD45RA",0.246082410172783,FALSE,-0.452263479746556
"ASTAR_Colorectal_Tris_40min","Granzyme B",0.237050091460473,FALSE,-0.256087729383393
"ASTAR_Colorectal_Tris_40min","CD3",0.220568417226577,FALSE,0.571933630278973
"ASTAR_Colorectal_Tris_40min","CD8",0.354797731241473,FALSE,0.631403108568346
"ASTAR_Colorectal_Tris_40min","CD20",0.18296165223907,FALSE,0.505237114255352
"ASTAR_Colorectal_Tris_40min","HLADR",0.275333212087991,FALSE,0.776078242087528
"ASTAR_Colorectal_Tris_40min","CD4",0.329920303461793,FALSE,1.17211550698969
"ASTAR_Colorectal_Tris_40min","CK",0.318601889958784,FALSE,0.458966854462216
"ASTAR_Colorectal_Tris_40min","CD11b",0.299319710528856,FALSE,0.102990693721544
"ASTAR_Colorectal_Tris_40min","ECad",0.373857650983638,FALSE,0.500266881625394
