"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD68","ASTAR_Colorectal_Tris_40min","ASTAR_Colorectal_Citra_20min",0.31543328882004,0.637168826771919,0.32173553795188,0,0
"CD31","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Citra_20min",0.30209054109402,0.596267632923422,0.294177091829402,0,0
"CD45RA","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.17196532153845,0.426657710807354,0.254692389268904,0,0
"aSMA","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Citra_20min",0.316050198493747,0.543936377950094,0.227886179456348,0,0
"CD11b","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.191628912482982,0.377990532435412,0.186361619952429,0,0
"CD8","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Tris_10min",0.207448673848999,0.387662929794568,0.180214255945569,0,0
"CD138","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Citra_20min",0.222611635288876,0.383839030223825,0.161227394934949,0,0
"CD11c","ASTAR_Colorectal_Tris_40min","ASTAR_Colorectal_Tris_10min",0.259871108146193,0.394459111620738,0.134588003474545,0,0
"Granzyme B","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.191473477771383,0.319662162180484,0.128188684409101,0,0
"CK","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.233386831790578,0.354036993575811,0.120650161785234,0,0
"ECad","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.28156358530576,0.397759864766838,0.116196279461077,0,0
"CD3","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_10min",0.14066986234026,0.246389290623275,0.105719428283015,0,0
"CD20","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Tris_10min",0.126624398315756,0.209607230610737,0.0829828322949807,0,0
"HLADR","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_40min",0.193031983769694,0.275333212087991,0.0823012283182968,0,0
"CD4","ASTAR_Colorectal_Citra_20min","ASTAR_Colorectal_Tris_40min",0.276980082926542,0.329920303461793,0.0529402205352503,0,0
