"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"ASTAR_COMET_Tonsil_1","CD68",0.504753348752235,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD31",0.54036526257215,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD11c",0.625923440030872,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD138",0.162069505853412,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD21",0.462364674146925,FALSE,1,1
"ASTAR_COMET_Tonsil_1","aSMA",0.146092510654747,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD45RA",0.292300249253325,FALSE,4,4
"ASTAR_COMET_Tonsil_1","GZMB",0.203688478311111,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD3",0.397706945775006,FALSE,2,2
"ASTAR_COMET_Tonsil_1","CD8",0.209421524635788,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD20",0.267630085414546,FALSE,1,1
"ASTAR_COMET_Tonsil_1","NaKATPase",0.394273286894257,FALSE,1,1
"ASTAR_COMET_Tonsil_1","HLADR",0.289497074115888,FALSE,3,3
"ASTAR_COMET_Tonsil_1","CD4",0.556703290944232,FALSE,3,3
"ASTAR_COMET_Tonsil_1","CK",0.31111433681336,FALSE,3,3
"ASTAR_COMET_Tonsil_1","FoxP3",0.197283539925678,FALSE,1,1
"ASTAR_COMET_Tonsil_1","CD11b",0.358221734708245,FALSE,3,3
"ASTAR_COMET_Tonsil_1","Ki67",0.284538880068671,FALSE,3,3
"ASTAR_COMET_Tonsil_1","Ecadherin",0.366189724217445,FALSE,3,3
"ASTAR_COMET_Tonsil_1","PD1",0.493295569342562,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD68",0.666880879140845,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD31",0.764561576010146,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD11c",0.663567909382482,FALSE,2,2
"ASTAR_COMET_Tonsil_2","CD138",0.378445208517688,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD21",0.551616384904705,FALSE,3,3
"ASTAR_COMET_Tonsil_2","aSMA",0.249322317988007,FALSE,2,2
"ASTAR_COMET_Tonsil_2","CD45RA",0.256190183258199,FALSE,1,1
"ASTAR_COMET_Tonsil_2","GZMB",0.281594924054446,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD3",0.437128987118361,FALSE,3,3
"ASTAR_COMET_Tonsil_2","CD8",0.37252333271416,FALSE,4,4
"ASTAR_COMET_Tonsil_2","CD20",0.279522610047951,FALSE,2,2
"ASTAR_COMET_Tonsil_2","NaKATPase",0.468293124202533,FALSE,4,4
"ASTAR_COMET_Tonsil_2","HLADR",0.267939870829157,FALSE,1,1
"ASTAR_COMET_Tonsil_2","CD4",0.563527159541505,FALSE,4,4
"ASTAR_COMET_Tonsil_2","CK",0.396075628935543,FALSE,4,4
"ASTAR_COMET_Tonsil_2","FoxP3",0.33695446728819,FALSE,4,4
"ASTAR_COMET_Tonsil_2","CD11b",0.438142817844318,FALSE,4,4
"ASTAR_COMET_Tonsil_2","Ki67",0.507951002240706,FALSE,4,4
"ASTAR_COMET_Tonsil_2","Ecadherin",0.403776169163695,FALSE,4,4
"ASTAR_COMET_Tonsil_2","PD1",0.712560106628977,FALSE,4,4
"ASTAR_COMET_Tonsil_24","CD68",0.745967530892983,FALSE,4,4
"ASTAR_COMET_Tonsil_24","CD31",0.73713706252649,FALSE,2,2
"ASTAR_COMET_Tonsil_24","CD11c",0.698030464694567,FALSE,3,3
"ASTAR_COMET_Tonsil_24","CD138",0.388662585678919,FALSE,4,4
"ASTAR_COMET_Tonsil_24","CD21",0.464571191721234,FALSE,2,2
"ASTAR_COMET_Tonsil_24","aSMA",0.343305159336609,FALSE,4,4
"ASTAR_COMET_Tonsil_24","CD45RA",0.270057428267172,FALSE,2,2
"ASTAR_COMET_Tonsil_24","GZMB",0.230874490901102,FALSE,2,2
"ASTAR_COMET_Tonsil_24","CD3",0.362846641151444,FALSE,1,1
"ASTAR_COMET_Tonsil_24","CD8",0.308511694650682,FALSE,3,3
