"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"IDO1","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.173409043191042,0.544598191092466,0.371189147901425,0,0
"PD1","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.149741509210178,0.500288058382156,0.350546549171979,0,0
"CD11c","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.141840281157003,0.401076213707526,0.259235932550524,0,0
"CD45RA","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.232588887072134,0.490466371706347,0.257877484634213,0,0
"CD31","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.211913795835975,0.464660931454139,0.252747135618164,0,0
"CD8","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.385019946078497,0.635026602488158,0.250006656409662,0,0
"FoxP3","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.100975003412232,0.322998674834436,0.222023671422204,0,0
"GranzymeB","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.138128558029804,0.348254132533787,0.210125574503983,0,0
"CD15","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.456984923728583,0.642812942527166,0.185828018798583,0,0
"CD68","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.182402653637227,0.346991233867632,0.164588580230405,0,0
"ToxTox2","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.110368244246777,0.263782578338494,0.153414334091717,0,0
"CD3","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.295068135104697,0.44766822795371,0.152600092849013,0,0
"H3K27me3","BIDMC_DLBCL_1","BIDMC_DLBCL_24",0.154287891436461,0.300677673422274,0.146389781985813,0,0
"NAKATPase","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.091194046427034,0.235377704826442,0.144183658399408,0,0
"CD45","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.169056868278814,0.306750877160565,0.137694008881751,0,0
"Ki67","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.266157809044935,0.393082784122102,0.126924975077167,0,0
"CD11b","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.153620720535535,0.274084734009302,0.120464013473767,0,0
"pS6","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.206860015277872,0.319477571527555,0.112617556249683,0,0
"H3K27ac","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.112599765488891,0.216672087363057,0.104072321874166,0,0
"CD20","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.223703251898541,0.310130156510595,0.0864269046120545,0,0
"HLADRA","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.190919133782077,0.2607311038791,0.0698119700970236,0,0
"Pax5","BIDMC_DLBCL_2","BIDMC_DLBCL_24",0.192718743692233,0.229608585458563,0.0368898417663301,0,0
