"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"BIDMC_Tonsil_1","CD3",0.239024894684445,FALSE,1,1
"BIDMC_Tonsil_1","CD45",0.114315039129032,FALSE,1,1
"BIDMC_Tonsil_1","CD15",0.533986768734295,FALSE,1,1
"BIDMC_Tonsil_1","CD8",0.402466420087189,FALSE,1,1
"BIDMC_Tonsil_1","CD11b",0.21427802146561,FALSE,1,1
"BIDMC_Tonsil_1","ToxTox2",0.166902228720566,FALSE,1,1
"BIDMC_Tonsil_1","CD20",0.170046224143123,FALSE,1,1
"BIDMC_Tonsil_1","CD11c",0.205142813762569,FALSE,1,1
"BIDMC_Tonsil_1","H3K27me3",0.108052986379637,FALSE,1,1
"BIDMC_Tonsil_1","Ki67",0.352010306128602,FALSE,1,1
"BIDMC_Tonsil_1","HLADRA",0.12933518475757,FALSE,1,1
"BIDMC_Tonsil_1","pS6",0.107397953673541,FALSE,1,1
"BIDMC_Tonsil_1","CD68",0.136867127836704,FALSE,2,2
"BIDMC_Tonsil_1","FoxP3",0.116268574851032,FALSE,1,1
"BIDMC_Tonsil_1","PD1",0.210128121912969,FALSE,1,1
"BIDMC_Tonsil_1","Pax5",0.159329743753592,FALSE,1,1
"BIDMC_Tonsil_1","H3K27ac",0.0859099366574169,FALSE,1,1
"BIDMC_Tonsil_1","GranzymeB",0.109904783200947,FALSE,1,1
"BIDMC_Tonsil_1","CD31",0.0974999370801856,FALSE,1,1
"BIDMC_Tonsil_1","IDO1",0.0615911164246714,FALSE,1,1
"BIDMC_Tonsil_1","CD138",0.0864754872396921,FALSE,1,1
"BIDMC_Tonsil_1","NAKATPase",0.0615207564403133,FALSE,1,1
"BIDMC_Tonsil_1","CD45RA",0.13906892086914,FALSE,1,1
"BIDMC_Tonsil_1","Cytokeratin",0.106017894211107,FALSE,1,1
"BIDMC_Tonsil_2","CD3",0.266764086797065,FALSE,2,2
"BIDMC_Tonsil_2","CD45",0.128872129238426,FALSE,3,3
"BIDMC_Tonsil_2","CD15",0.594047242102841,FALSE,3,3
"BIDMC_Tonsil_2","CD8",0.409664222999403,FALSE,2,2
"BIDMC_Tonsil_2","CD11b",0.247069750188599,FALSE,3,3
"BIDMC_Tonsil_2","ToxTox2",0.189281612322365,FALSE,3,3
"BIDMC_Tonsil_2","CD20",0.191259295115775,FALSE,3,3
"BIDMC_Tonsil_2","CD11c",0.224944613220448,FALSE,3,3
"BIDMC_Tonsil_2","H3K27me3",0.128916245489189,FALSE,3,3
"BIDMC_Tonsil_2","Ki67",0.353295169223707,FALSE,2,2
"BIDMC_Tonsil_2","HLADRA",0.142559143997552,FALSE,3,3
"BIDMC_Tonsil_2","pS6",0.135856470506147,FALSE,4,4
"BIDMC_Tonsil_2","CD68",0.159064555528645,FALSE,3,3
"BIDMC_Tonsil_2","FoxP3",0.145232377901272,FALSE,3,3
"BIDMC_Tonsil_2","PD1",0.240498157828926,FALSE,3,3
"BIDMC_Tonsil_2","Pax5",0.171760372899842,FALSE,3,3
"BIDMC_Tonsil_2","H3K27ac",0.122822169573534,FALSE,3,3
"BIDMC_Tonsil_2","GranzymeB",0.125410893482417,FALSE,3,3
"BIDMC_Tonsil_2","CD31",0.137811453815627,FALSE,3,3
"BIDMC_Tonsil_2","IDO1",0.077467325365586,FALSE,3,3
"BIDMC_Tonsil_2","CD138",0.105327525109419,FALSE,3,3
"BIDMC_Tonsil_2","NAKATPase",0.0914392642017375,FALSE,3,3
"BIDMC_Tonsil_2","CD45RA",0.147823469760544,FALSE,3,3
"BIDMC_Tonsil_2","Cytokeratin",0.145009727004236,FALSE,4,4
"BIDMC_Tonsil_3","CD3",0.278242684262282,FALSE,3,3
"BIDMC_Tonsil_3","CD45",0.12080634638713,FALSE,2,2
"BIDMC_Tonsil_3","CD15",0.625809287566302,FALSE,4,4
"BIDMC_Tonsil_3","CD8",0.4491148672158,FALSE,3,3
"BIDMC_Tonsil_3","CD11b",0.237284263886688,FALSE,2,2
"BIDMC_Tonsil_3","ToxTox2",0.18029961869297,FALSE,2,2
"BIDMC_Tonsil_3","CD20",0.183126334055272,FALSE,2,2
"BIDMC_Tonsil_3","CD11c",0.217261809546739,FALSE,2,2
"BIDMC_Tonsil_3","H3K27me3",0.116049285603525,FALSE,2,2
"BIDMC_Tonsil_3","Ki67",0.367183607115565,FALSE,3,3
"BIDMC_Tonsil_3","HLADRA",0.134570619415762,FALSE,2,2
"BIDMC_Tonsil_3","pS6",0.112651304303646,FALSE,2,2
"BIDMC_Tonsil_3","CD68",0.136514963058889,FALSE,1,1
"BIDMC_Tonsil_3","FoxP3",0.122739539032585,FALSE,2,2
"BIDMC_Tonsil_3","PD1",0.225017383043158,FALSE,2,2
"BIDMC_Tonsil_3","Pax5",0.166275286605006,FALSE,2,2
"BIDMC_Tonsil_3","H3K27ac",0.0979038336147226,FALSE,2,2
"BIDMC_Tonsil_3","GranzymeB",0.117727718470181,FALSE,2,2
"BIDMC_Tonsil_3","CD31",0.110899975097099,FALSE,2,2
"BIDMC_Tonsil_3","IDO1",0.0636769067913356,FALSE,2,2
"BIDMC_Tonsil_3","CD138",0.097219712377204,FALSE,2,2
"BIDMC_Tonsil_3","NAKATPase",0.0687784453978038,FALSE,2,2
"BIDMC_Tonsil_3","CD45RA",0.147434724359502,FALSE,2,2
"BIDMC_Tonsil_3","Cytokeratin",0.113557208697268,FALSE,3,3
"BIDMC_Tonsil_4","CD3",0.347109619448306,FALSE,4,4
"BIDMC_Tonsil_4","CD45",0.167890105876736,FALSE,4,4
"BIDMC_Tonsil_4","CD15",0.540311573353094,FALSE,2,2
"BIDMC_Tonsil_4","CD8",0.659223101110365,FALSE,4,4
"BIDMC_Tonsil_4","CD11b",0.442189291157473,FALSE,4,4
"BIDMC_Tonsil_4","ToxTox2",0.253101140857641,FALSE,4,4
"BIDMC_Tonsil_4","CD20",0.21973736311428,FALSE,4,4
"BIDMC_Tonsil_4","CD11c",0.49269879166922,FALSE,4,4
"BIDMC_Tonsil_4","H3K27me3",0.140018675757613,FALSE,4,4
"BIDMC_Tonsil_4","Ki67",0.479332255910731,FALSE,4,4
"BIDMC_Tonsil_4","HLADRA",0.146101315003216,FALSE,4,4
"BIDMC_Tonsil_4","pS6",0.135653026411084,FALSE,3,3
"BIDMC_Tonsil_4","CD68",0.206215673898481,FALSE,4,4
"BIDMC_Tonsil_4","FoxP3",0.310112657161799,FALSE,4,4
"BIDMC_Tonsil_4","PD1",0.391746677561029,FALSE,4,4
"BIDMC_Tonsil_4","Pax5",0.18683789736631,FALSE,4,4
"BIDMC_Tonsil_4","H3K27ac",0.139347157844611,FALSE,4,4
"BIDMC_Tonsil_4","GranzymeB",0.263784498901055,FALSE,4,4
"BIDMC_Tonsil_4","CD31",0.152537207415499,FALSE,4,4
"BIDMC_Tonsil_4","IDO1",0.218269382581596,FALSE,4,4
"BIDMC_Tonsil_4","CD138",0.139769415967073,FALSE,4,4
"BIDMC_Tonsil_4","NAKATPase",0.132212381107427,FALSE,4,4
"BIDMC_Tonsil_4","CD45RA",0.196990051728877,FALSE,4,4
"BIDMC_Tonsil_4","Cytokeratin",0.112333161992406,FALSE,2,2
