"Staining_condition","Marker","CV","Is_Excluded"
"BIDMC_Tonsil_1","CD3",0.239024894684445,FALSE
"BIDMC_Tonsil_1","CD45",0.114315039129032,FALSE
"BIDMC_Tonsil_1","CD15",0.533986768734295,FALSE
"BIDMC_Tonsil_1","CD8",0.402466420087189,FALSE
"BIDMC_Tonsil_1","CD11b",0.21427802146561,FALSE
"BIDMC_Tonsil_1","ToxTox2",0.166902228720566,FALSE
"BIDMC_Tonsil_1","CD20",0.170046224143123,FALSE
"BIDMC_Tonsil_1","CD11c",0.205142813762569,FALSE
"BIDMC_Tonsil_1","H3K27me3",0.108052986379637,FALSE
"BIDMC_Tonsil_1","Ki67",0.352010306128602,FALSE
"BIDMC_Tonsil_1","HLADRA",0.12933518475757,FALSE
"BIDMC_Tonsil_1","pS6",0.107397953673541,FALSE
"BIDMC_Tonsil_1","CD68",0.136867127836704,FALSE
"BIDMC_Tonsil_1","FoxP3",0.116268574851032,FALSE
"BIDMC_Tonsil_1","PD1",0.210128121912969,FALSE
"BIDMC_Tonsil_1","Pax5",0.159329743753592,FALSE
"BIDMC_Tonsil_1","H3K27ac",0.0859099366574169,FALSE
"BIDMC_Tonsil_1","GranzymeB",0.109904783200947,FALSE
"BIDMC_Tonsil_1","CD31",0.0974999370801856,FALSE
"BIDMC_Tonsil_1","IDO1",0.0615911164246714,FALSE
"BIDMC_Tonsil_1","CD138",0.0864754872396921,FALSE
"BIDMC_Tonsil_1","NAKATPase",0.0615207564403133,FALSE
"BIDMC_Tonsil_1","CD45RA",0.13906892086914,FALSE
"BIDMC_Tonsil_1","Cytokeratin",0.106017894211107,FALSE
"BIDMC_Tonsil_2","CD3",0.266764086797065,FALSE
"BIDMC_Tonsil_2","CD45",0.128872129238426,FALSE
"BIDMC_Tonsil_2","CD15",0.594047242102841,FALSE
"BIDMC_Tonsil_2","CD8",0.409664222999403,FALSE
"BIDMC_Tonsil_2","CD11b",0.247069750188599,FALSE
"BIDMC_Tonsil_2","ToxTox2",0.189281612322365,FALSE
"BIDMC_Tonsil_2","CD20",0.191259295115775,FALSE
"BIDMC_Tonsil_2","CD11c",0.224944613220448,FALSE
"BIDMC_Tonsil_2","H3K27me3",0.128916245489189,FALSE
"BIDMC_Tonsil_2","Ki67",0.353295169223707,FALSE
"BIDMC_Tonsil_2","HLADRA",0.142559143997552,FALSE
"BIDMC_Tonsil_2","pS6",0.135856470506147,FALSE
"BIDMC_Tonsil_2","CD68",0.159064555528645,FALSE
"BIDMC_Tonsil_2","FoxP3",0.145232377901272,FALSE
"BIDMC_Tonsil_2","PD1",0.240498157828926,FALSE
"BIDMC_Tonsil_2","Pax5",0.171760372899842,FALSE
"BIDMC_Tonsil_2","H3K27ac",0.122822169573534,FALSE
"BIDMC_Tonsil_2","GranzymeB",0.125410893482417,FALSE
"BIDMC_Tonsil_2","CD31",0.137811453815627,FALSE
"BIDMC_Tonsil_2","IDO1",0.077467325365586,FALSE
"BIDMC_Tonsil_2","CD138",0.105327525109419,FALSE
"BIDMC_Tonsil_2","NAKATPase",0.0914392642017375,FALSE
"BIDMC_Tonsil_2","CD45RA",0.147823469760544,FALSE
"BIDMC_Tonsil_2","Cytokeratin",0.145009727004236,FALSE
"BIDMC_Tonsil_3","CD3",0.278242684262282,FALSE
"BIDMC_Tonsil_3","CD45",0.12080634638713,FALSE
"BIDMC_Tonsil_3","CD15",0.625809287566302,FALSE
"BIDMC_Tonsil_3","CD8",0.4491148672158,FALSE
"BIDMC_Tonsil_3","CD11b",0.237284263886688,FALSE
"BIDMC_Tonsil_3","ToxTox2",0.18029961869297,FALSE
"BIDMC_Tonsil_3","CD20",0.183126334055272,FALSE
"BIDMC_Tonsil_3","CD11c",0.217261809546739,FALSE
"BIDMC_Tonsil_3","H3K27me3",0.116049285603525,FALSE
"BIDMC_Tonsil_3","Ki67",0.367183607115565,FALSE
"BIDMC_Tonsil_3","HLADRA",0.134570619415762,FALSE
"BIDMC_Tonsil_3","pS6",0.112651304303646,FALSE
"BIDMC_Tonsil_3","CD68",0.136514963058889,FALSE
"BIDMC_Tonsil_3","FoxP3",0.122739539032585,FALSE
"BIDMC_Tonsil_3","PD1",0.225017383043158,FALSE
"BIDMC_Tonsil_3","Pax5",0.166275286605006,FALSE
"BIDMC_Tonsil_3","H3K27ac",0.0979038336147226,FALSE
"BIDMC_Tonsil_3","GranzymeB",0.117727718470181,FALSE
"BIDMC_Tonsil_3","CD31",0.110899975097099,FALSE
"BIDMC_Tonsil_3","IDO1",0.0636769067913356,FALSE
"BIDMC_Tonsil_3","CD138",0.097219712377204,FALSE
"BIDMC_Tonsil_3","NAKATPase",0.0687784453978038,FALSE
"BIDMC_Tonsil_3","CD45RA",0.147434724359502,FALSE
"BIDMC_Tonsil_3","Cytokeratin",0.113557208697268,FALSE
"BIDMC_Tonsil_4","CD3",0.347109619448306,FALSE
"BIDMC_Tonsil_4","CD45",0.167890105876736,FALSE
"BIDMC_Tonsil_4","CD15",0.540311573353094,FALSE
"BIDMC_Tonsil_4","CD8",0.659223101110365,FALSE
"BIDMC_Tonsil_4","CD11b",0.442189291157473,FALSE
"BIDMC_Tonsil_4","ToxTox2",0.253101140857641,FALSE
"BIDMC_Tonsil_4","CD20",0.21973736311428,FALSE
"BIDMC_Tonsil_4","CD11c",0.49269879166922,FALSE
"BIDMC_Tonsil_4","H3K27me3",0.140018675757613,FALSE
"BIDMC_Tonsil_4","Ki67",0.479332255910731,FALSE
"BIDMC_Tonsil_4","HLADRA",0.146101315003216,FALSE
"BIDMC_Tonsil_4","pS6",0.135653026411084,FALSE
"BIDMC_Tonsil_4","CD68",0.206215673898481,FALSE
"BIDMC_Tonsil_4","FoxP3",0.310112657161799,FALSE
"BIDMC_Tonsil_4","PD1",0.391746677561029,FALSE
"BIDMC_Tonsil_4","Pax5",0.18683789736631,FALSE
"BIDMC_Tonsil_4","H3K27ac",0.139347157844611,FALSE
"BIDMC_Tonsil_4","GranzymeB",0.263784498901055,FALSE
"BIDMC_Tonsil_4","CD31",0.152537207415499,FALSE
"BIDMC_Tonsil_4","IDO1",0.218269382581596,FALSE
"BIDMC_Tonsil_4","CD138",0.139769415967073,FALSE
"BIDMC_Tonsil_4","NAKATPase",0.132212381107427,FALSE
"BIDMC_Tonsil_4","CD45RA",0.196990051728877,FALSE
"BIDMC_Tonsil_4","Cytokeratin",0.112333161992406,FALSE
