"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD11c","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.205142813762569,0.49269879166922,0.287555977906652,0,0
"CD8","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.402466420087189,0.659223101110365,0.256756681023176,0,0
"CD11b","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.21427802146561,0.442189291157473,0.227911269691863,0,0
"FoxP3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.116268574851032,0.310112657161799,0.193844082310767,0,0
"PD1","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.210128121912969,0.391746677561029,0.181618555648061,0,0
"IDO1","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.0615911164246714,0.218269382581596,0.156678266156925,0,0
"GranzymeB","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.109904783200947,0.263784498901055,0.153879715700108,0,0
"Ki67","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.352010306128602,0.479332255910731,0.127321949782129,0,0
"CD3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.239024894684445,0.347109619448306,0.108084724763861,0,0
"CD15","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.533986768734295,0.625809287566302,0.0918225188320065,0,0
"ToxTox2","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.166902228720566,0.253101140857641,0.0861989121370753,0,0
"NAKATPase","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.0615207564403133,0.132212381107427,0.0706916246671134,0,0
"CD68","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.136514963058889,0.206215673898481,0.0697007108395927,0,0
"CD45RA","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.13906892086914,0.196990051728877,0.0579211308597364,0,0
"CD31","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.0974999370801856,0.152537207415499,0.0550372703353133,0,0
"CD45","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.114315039129032,0.167890105876736,0.0535750667477041,0,0
"H3K27ac","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.0859099366574169,0.139347157844611,0.0534372211871944,0,0
"CD138","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.0864754872396921,0.139769415967073,0.0532939287273806,0,0
"CD20","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.170046224143123,0.21973736311428,0.0496911389711571,0,0
"Cytokeratin","BIDMC_Tonsil_1","BIDMC_Tonsil_2",0.106017894211107,0.145009727004236,0.038991832793129,0,0
"H3K27me3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.108052986379637,0.140018675757613,0.0319656893779769,0,0
"pS6","BIDMC_Tonsil_1","BIDMC_Tonsil_2",0.107397953673541,0.135856470506147,0.028458516832606,0,0
"Pax5","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.159329743753592,0.18683789736631,0.0275081536127181,0,0
"HLADRA","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.12933518475757,0.146101315003216,0.0167661302456464,0,0
