"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"BIDMC_13",25,24,1,0,134,5.36,4.33333333333333,1
"BIDMC_21",25,23,2,0,168,6.72,4.69565217391304,2
"BIDMC_5",25,24,1,0,182,7.28,6.33333333333333,1
"BIDMC_15",25,25,0,0,216,8.64,8.64,0
"BIDMC_23",25,25,0,0,247,9.88,9.88,0
"BIDMC_17",25,24,1,0,253,10.12,9.29166666666667,1
"BIDMC_24",25,25,0,0,254,10.16,10.16,0
"BIDMC_8",25,25,0,0,256,10.24,10.24,0
"BIDMC_7",25,25,0,0,257,10.28,10.28,0
"BIDMC_9",25,24,1,0,266,10.64,9.83333333333333,1
"BIDMC_22",25,25,0,0,268,10.72,10.72,0
"BIDMC_16",25,25,0,0,301,12.04,12.04,0
"BIDMC_14",25,25,0,0,305,12.2,12.2,0
"BIDMC_19",25,25,0,0,331,13.24,13.24,0
"BIDMC_1",25,23,2,0,340,13.6,12.1739130434783,2
"BIDMC_2",25,25,0,0,353,14.12,14.12,0
"BIDMC_6",25,25,0,0,361,14.44,14.44,0
"BIDMC_20",25,25,0,0,384,15.36,15.36,0
"BIDMC_3",25,25,0,0,399,15.96,15.96,0
"BIDMC_18",25,25,0,0,415,16.6,16.6,0
"BIDMC_4",25,25,0,0,446,17.84,17.84,0
"BIDMC_12",25,25,0,0,472,18.88,18.88,0
"BIDMC_11",25,25,0,0,476,19.04,19.04,0
"BIDMC_10",25,25,0,0,479,19.16,19.16,0
