"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD4","CD45","CD45RA","CD68","CD8","Cytokeratin","FoxP3","H3K27ac","H3K27me3","Pax5","CD11b","ToxTox2","Ki67","HLADRA","pS6","PD1","GranzymeB","IDO1","NAKATPase"
"BIDMC_1",0.22428445421984,0.102521149859912,0.725358552290141,0.284107069079284,0.408575967791767,0.0908920451436967,NA,0.147885419056606,0.183184014820133,0.230539456186426,0.730716993597065,0.153649661435637,0.400666333206336,0.0932181316490612,0.129641039703496,0.243022241670754,NA,0.182609489036293,0.462059205129867,0.157580167766128,0.124133069269305,0.345486057475343,0.221531760047833,0.0706108664662726,0.0676848871065105
"BIDMC_10",0.402359649925711,0.139808411365019,0.560507207606506,0.230153177000395,0.44534995637499,0.163613084602897,0.133119601161875,0.17287102384402,0.233825885605207,0.216400171727447,0.582464917501153,0.158166913065807,0.387491614863031,0.14430341578364,0.151662031803599,0.202746987311891,0.464124043477958,0.25214871781565,0.476666667058498,0.161844786798881,0.151666772530472,0.467685087010204,0.362389247592827,0.199635943601175,0.114740034519068
"BIDMC_11",0.497766284683365,0.105780784465041,1.61948548142602,0.27544193492504,0.461460074349357,0.160786448940417,0.123903116105031,0.157692739269961,0.157217094742337,0.317409315386513,0.737785824669392,0.166315689974771,1.54541461169719,0.12299459473102,0.161624262158336,0.157256973985631,1.97231854813824,0.287219131263386,0.433281441846328,0.171968958467791,0.146136147035765,0.485119823731555,0.40778300589016,0.215934668029079,0.100459149153978
"BIDMC_12",0.563462871800576,0.128430887626479,0.636353530412438,0.219686476972103,0.297356442490431,0.195210798361914,0.19733111842091,0.194953516001713,0.127259386527169,0.205750429169465,0.59554561368648,0.164684011490723,0.672835998564094,0.181425325936482,0.169729272975247,0.151009316628405,0.316801283206722,0.287148649507473,0.380268464655472,0.169049289591993,0.224937476114174,0.772071041214427,0.392910412498965,0.265236905163883,0.164452961647753
"BIDMC_13",0.215241911356179,0.0907762038449847,0.511710948061795,0.170435778171586,0.309419726361806,0.121571353466151,NA,0.119288230822166,0.159685303405136,0.136152528938437,0.403520278415897,0.161906699433419,0.149787583128808,0.100708471173709,0.122523129938694,0.166171099965668,0.22235393865525,0.169408282408183,0.352767484157059,0.135611926237205,0.103522043644968,0.277193078291557,0.12906149966957,0.0612426377624261,0.0607606456891105
"BIDMC_14",0.351490605856008,0.116717945557915,0.475929824789493,0.188026771577859,0.391444500948975,0.145076514035564,0.121269290361729,0.154863590538745,0.209679012665781,0.186507430574674,0.500711696146877,0.151412357213492,0.277269193988465,0.130805654644208,0.132447898105972,0.172694513808754,0.290113517869751,0.217137612847796,0.414951251161982,0.13887451972259,0.136939703796437,0.37310818866709,0.28214209222471,0.168678391677013,0.108473363223116
"BIDMC_15",0.359261598053651,0.0850353104076687,0.715439435948721,0.181980179070008,0.30051624950112,0.136336517587416,0.109577841896218,0.138352660142441,0.132039559945565,0.19303290182615,0.501533661845123,0.153963393720171,0.271048130575692,0.1097413115924,0.136521239811252,0.131152198872668,0.262328359870996,0.232506983836986,0.348805754615231,0.150199346346688,0.13056782364048,0.362891522241736,0.21744482562978,0.168047528347842,0.0880925550484959
"BIDMC_16",0.454398195816542,0.101722813538232,0.484385250074356,0.186985685813633,0.24264794192089,0.144813539134395,0.17408381690209,0.170053517777716,0.107139866749019,0.170186437764074,0.465986314843329,0.144231818656539,0.410822065159617,0.139109587322294,0.142550428430589,0.124278407859457,0.249238165282342,0.251662841751778,0.307780838002522,0.144050622655782,0.178929495506916,0.450485416614865,0.307953317876582,0.198741170787122,0.121116589499853
"BIDMC_17",0.233997465590181,0.107251324861571,0.666017004526031,0.1944108687493,0.330573654908293,0.130509200966658,NA,0.125071519850027,0.177393239070381,0.165259699536551,0.466388878818762,0.194516997213191,0.178952760925189,0.0994656757591994,0.126493105373788,0.188097038607491,0.301075959680181,0.197739966520304,0.387401769434259,0.149307281795421,0.135977870388858,0.28497799023349,0.15396354964122,0.0726901353677235,0.0754704619466818
"BIDMC_18",0.391568390263993,0.134457884150433,0.621009190558171,0.22086538964377,0.402349731398854,0.157327803560532,0.11507599883426,0.156562940117682,0.205857949888331,0.242991513207557,0.608240114704289,0.177283502931365,0.266873329935862,0.140262995713169,0.135031361397204,0.205814295545493,0.405883529410081,0.250118662238177,0.45237884352942,0.154752404847378,0.160783765929767,0.378200555285416,0.260581022965457,0.148939954303479,0.109725888956895
"BIDMC_19",0.386121406114309,0.102874822054603,0.768926497260334,0.202244129292051,0.351070140361044,0.155486489025539,0.114490935386905,0.151406159371001,0.14602723831427,0.209749714760677,0.569073847030428,0.154792362271622,0.272008657638428,0.126064211943906,0.152883796488703,0.141873506524224,0.259835144842619,0.241818372032002,0.403975056167537,0.149401774292742,0.148218908360449,0.457877220164337,0.240281116397048,0.169684103416347,0.0964043435017979
"BIDMC_2",0.409679489255502,0.104763277905316,0.563735332535323,0.213170862974634,0.539825256918662,0.125742472214744,0.117476353063112,0.178407208865626,0.196441035809499,0.177042513094933,0.568465827895477,0.134135990898414,0.369215489761768,0.123556608632674,0.151003222079925,0.196943544688149,0.38305578966529,0.241778070735381,0.432480437473456,0.153896130098042,0.133874719505185,0.479844475515444,0.295058468827429,0.140984571358283,0.0901729881289926
"BIDMC_20",0.502047650235282,0.107201998307823,0.808265352406851,0.212433469201393,0.267416091690815,0.142553336764836,0.168121328338201,0.174857634189054,0.115348884222115,0.195562941744459,0.641299056111088,0.148943075620419,0.327166926065213,0.134655139719358,0.148960749437497,0.125636421767229,0.336982497753553,0.290430305188444,0.365207588302487,0.149993843013953,0.187692601604115,0.475945547258838,0.312675599192043,0.18472986550304,0.119102859298532
"BIDMC_21",0.210257281633177,NA,0.50996232434381,0.163231280547956,0.277238898913179,0.128182288649446,NA,0.116607615745817,0.16432958378494,0.147803804409533,0.385519146326137,0.169010745868924,0.138751595499296,0.101542448213108,0.11422551835696,0.168111939795094,0.232821030894275,0.17822340345224,0.343973998847242,0.126452020730568,0.117594578955189,0.255946310160087,0.132693197616813,0.0735363702536117,0.0787479216392646
"BIDMC_22",0.316704671546584,0.128647089257655,0.4291809435696,0.179914399456201,0.326173496026807,0.155646566257082,0.117208398484873,0.143931305026606,0.197628226182374,0.194972562657744,0.472075782818719,0.175243113259974,0.19449323391682,0.138562045464609,0.124300683782749,0.181373577398033,0.277750515210776,0.21024102424534,0.384699174774285,0.134648281256465,0.140510354132648,0.308944389897569,0.221408697770495,0.14550172719764,0.116791074821136
"BIDMC_23",0.336389064591713,0.104705119171097,0.744175361851894,0.176147368123185,0.308097086159524,0.158727997252156,0.118349618759296,0.147272694382173,0.138356322992084,0.186784371713758,0.526845031833863,0.140608507117555,0.223726254859469,0.136830321031119,0.142463827677559,0.132264921188955,0.225193516486164,0.226460432556893,0.358958133406775,0.136279444917158,0.147805941446621,0.372820675966643,0.207018004997526,0.161664070067087,0.107913315759231
"BIDMC_24",0.39789331795887,0.101436624914611,0.586387539614861,0.174994353605589,0.23038964002319,0.138534861447894,0.168709723207045,0.162748940188813,0.105795680527326,0.162178952091224,0.478236177406507,0.154053085483623,0.239583664323806,0.135292120473775,0.146501589131098,0.111755846435408,0.250390059839353,0.243022691370179,0.319656028696005,0.133845689348537,0.168625626396049,0.340562876688601,0.261151246136711,0.18492106172637,0.120340364261299
"BIDMC_3",0.458178553711124,0.0928848743431591,0.973777516575797,0.205077471882613,0.447376057307044,0.118547845321788,0.129189639523244,0.169469327498916,0.154227807327174,0.209059967946209,0.739247867190608,0.133154860480209,0.359790032573415,0.124205912936386,0.15754785828201,0.151518968039408,0.343575593329014,0.300159312120328,0.462179038006722,0.152274599000647,0.145494445861839,0.627945216634323,0.293905798146312,0.189104168925399,0.101607955904278
"BIDMC_4",0.608577456051485,0.099894855058983,0.867428915556346,0.212641137162362,0.294064339742963,0.137916857431525,0.185847650682248,0.208947565813741,0.12889642549069,0.178566666866687,0.735753171800927,0.147327481259921,0.519815497885946,0.14978675803133,0.171000512114809,0.139430178407992,0.352899433731572,0.295522853646038,0.437122739507557,0.170333330993823,0.187952862318933,0.679356241187674,0.366808684446899,0.188388162102397,0.125738275499268
"BIDMC_5",0.207953164615262,0.095142466553893,0.601879825860034,0.183101717967629,0.32913303589126,0.103035813719498,NA,0.135994491104991,0.165645298682693,0.147244405421856,0.487365130072125,0.148839869763777,0.145343585889362,0.106873337241664,0.13891353407867,0.190483795220511,0.241287542349124,0.173725027643083,0.397337631949568,0.148184987743811,0.11402152160392,0.283906796119499,0.133202689602696,0.0628991865684701,0.0614247832762784
"BIDMC_6",0.374321578446859,0.103341349711293,0.42898695644947,0.194472185895795,0.385612399923557,0.147281013927714,0.131754767732803,0.151365253039215,0.237821347330344,0.196808691634687,0.55339922174525,0.157032468902342,0.254299889596171,0.143263386156822,0.151766688537785,0.171482480329145,0.318656945572896,0.219656805751598,0.446237739772343,0.153868829988317,0.139315318979079,0.408036928844987,0.292171711092202,0.17489296137357,0.114330989855622
"BIDMC_7",0.41809340085702,0.0819754438026128,0.685745178673418,0.185760080155866,0.312465187711065,0.105602579907858,0.111898959924284,0.153476876461877,0.132435062031146,0.190989529821583,0.586819582317346,0.1392984293893,0.291653755640037,0.116562677004006,0.140114114953128,0.139242868432033,0.247458896380427,0.272370220880018,0.403615883563036,0.151540226024607,0.133897062360329,0.431361027517865,0.229036326776437,0.163739015336418,0.0894128107894843
"BIDMC_8",0.436562091852996,0.0847638355050263,0.644458989161546,0.173447358490756,0.210230243558697,0.107971444871249,0.152032313070177,0.151503628425027,0.102269950437275,0.159338560227982,0.522931413493937,0.124268961062278,0.229624755113074,0.131857804023226,0.154246143735323,0.122636885917822,0.286900578438358,0.257331830065733,0.362818413474565,0.152965845018639,0.170456687560005,0.389895756777937,0.269884175939125,0.167022012282638,0.113101921101691
"BIDMC_9",0.247783837442265,0.109316030320644,0.57607493752093,0.201335562764036,0.356736042308037,0.130255559314367,NA,0.132874486018084,0.190821395658281,0.159956105913111,0.452456751532865,0.176957639386079,0.20717637468492,0.107274441264394,0.141272236272881,0.191889371901817,0.262628247325615,0.187821197116144,0.435199626823293,0.150849511875581,0.129799546352304,0.306807763088666,0.161539655842291,0.0721794572302917,0.0742322025668799
