"Staining_condition","Marker","CV","Is_Excluded"
"BIDMC_1","CD3",0.408575967791767,FALSE
"BIDMC_1","CD45",0.147885419056606,FALSE
"BIDMC_1","CD15",0.725358552290141,FALSE
"BIDMC_1","CD4",NA,TRUE
"BIDMC_1","CD8",0.730716993597065,FALSE
"BIDMC_1","CD11b",NA,TRUE
"BIDMC_1","ToxTox2",0.182609489036293,FALSE
"BIDMC_1","CD20",0.284107069079284,FALSE
"BIDMC_1","CD11c",0.22428445421984,FALSE
"BIDMC_1","H3K27me3",0.129641039703496,FALSE
"BIDMC_1","Ki67",0.462059205129867,FALSE
"BIDMC_1","HLADRA",0.157580167766128,FALSE
"BIDMC_1","pS6",0.124133069269305,FALSE
"BIDMC_1","CD68",0.230539456186426,FALSE
"BIDMC_1","FoxP3",0.400666333206336,FALSE
"BIDMC_1","PD1",0.345486057475343,FALSE
"BIDMC_1","Pax5",0.243022241670754,FALSE
"BIDMC_1","H3K27ac",0.0932181316490612,FALSE
"BIDMC_1","GranzymeB",0.221531760047833,FALSE
"BIDMC_1","CD31",0.0908920451436967,FALSE
"BIDMC_1","IDO1",0.0706108664662726,FALSE
"BIDMC_1","CD138",0.102521149859912,FALSE
"BIDMC_1","NAKATPase",0.0676848871065105,FALSE
"BIDMC_1","CD45RA",0.183184014820133,FALSE
"BIDMC_1","Cytokeratin",0.153649661435637,FALSE
"BIDMC_10","CD3",0.44534995637499,FALSE
"BIDMC_10","CD45",0.17287102384402,FALSE
"BIDMC_10","CD15",0.560507207606506,FALSE
"BIDMC_10","CD4",0.133119601161875,FALSE
"BIDMC_10","CD8",0.582464917501153,FALSE
"BIDMC_10","CD11b",0.464124043477958,FALSE
"BIDMC_10","ToxTox2",0.25214871781565,FALSE
"BIDMC_10","CD20",0.230153177000395,FALSE
"BIDMC_10","CD11c",0.402359649925711,FALSE
"BIDMC_10","H3K27me3",0.151662031803599,FALSE
"BIDMC_10","Ki67",0.476666667058498,FALSE
"BIDMC_10","HLADRA",0.161844786798881,FALSE
"BIDMC_10","pS6",0.151666772530472,FALSE
"BIDMC_10","CD68",0.216400171727447,FALSE
"BIDMC_10","FoxP3",0.387491614863031,FALSE
"BIDMC_10","PD1",0.467685087010204,FALSE
"BIDMC_10","Pax5",0.202746987311891,FALSE
"BIDMC_10","H3K27ac",0.14430341578364,FALSE
"BIDMC_10","GranzymeB",0.362389247592827,FALSE
"BIDMC_10","CD31",0.163613084602897,FALSE
"BIDMC_10","IDO1",0.199635943601175,FALSE
"BIDMC_10","CD138",0.139808411365019,FALSE
"BIDMC_10","NAKATPase",0.114740034519068,FALSE
"BIDMC_10","CD45RA",0.233825885605207,FALSE
"BIDMC_10","Cytokeratin",0.158166913065807,FALSE
"BIDMC_11","CD3",0.461460074349357,FALSE
"BIDMC_11","CD45",0.157692739269961,FALSE
"BIDMC_11","CD15",1.61948548142602,FALSE
"BIDMC_11","CD4",0.123903116105031,FALSE
"BIDMC_11","CD8",0.737785824669392,FALSE
"BIDMC_11","CD11b",1.97231854813824,FALSE
"BIDMC_11","ToxTox2",0.287219131263386,FALSE
"BIDMC_11","CD20",0.27544193492504,FALSE
"BIDMC_11","CD11c",0.497766284683365,FALSE
"BIDMC_11","H3K27me3",0.161624262158336,FALSE
"BIDMC_11","Ki67",0.433281441846328,FALSE
"BIDMC_11","HLADRA",0.171968958467791,FALSE
"BIDMC_11","pS6",0.146136147035765,FALSE
"BIDMC_11","CD68",0.317409315386513,FALSE
"BIDMC_11","FoxP3",1.54541461169719,FALSE
"BIDMC_11","PD1",0.485119823731555,FALSE
"BIDMC_11","Pax5",0.157256973985631,FALSE
"BIDMC_11","H3K27ac",0.12299459473102,FALSE
"BIDMC_11","GranzymeB",0.40778300589016,FALSE
"BIDMC_11","CD31",0.160786448940417,FALSE
"BIDMC_11","IDO1",0.215934668029079,FALSE
"BIDMC_11","CD138",0.105780784465041,FALSE
"BIDMC_11","NAKATPase",0.100459149153978,FALSE
"BIDMC_11","CD45RA",0.157217094742337,FALSE
"BIDMC_11","Cytokeratin",0.166315689974771,FALSE
"BIDMC_12","CD3",0.297356442490431,FALSE
"BIDMC_12","CD45",0.194953516001713,FALSE
"BIDMC_12","CD15",0.636353530412438,FALSE
"BIDMC_12","CD4",0.19733111842091,FALSE
"BIDMC_12","CD8",0.59554561368648,FALSE
"BIDMC_12","CD11b",0.316801283206722,FALSE
"BIDMC_12","ToxTox2",0.287148649507473,FALSE
"BIDMC_12","CD20",0.219686476972103,FALSE
"BIDMC_12","CD11c",0.563462871800576,FALSE
"BIDMC_12","H3K27me3",0.169729272975247,FALSE
"BIDMC_12","Ki67",0.380268464655472,FALSE
"BIDMC_12","HLADRA",0.169049289591993,FALSE
"BIDMC_12","pS6",0.224937476114174,FALSE
"BIDMC_12","CD68",0.205750429169465,FALSE
"BIDMC_12","FoxP3",0.672835998564094,FALSE
"BIDMC_12","PD1",0.772071041214427,FALSE
"BIDMC_12","Pax5",0.151009316628405,FALSE
"BIDMC_12","H3K27ac",0.181425325936482,FALSE
"BIDMC_12","GranzymeB",0.392910412498965,FALSE
"BIDMC_12","CD31",0.195210798361914,FALSE
"BIDMC_12","IDO1",0.265236905163883,FALSE
"BIDMC_12","CD138",0.128430887626479,FALSE
"BIDMC_12","NAKATPase",0.164452961647753,FALSE
"BIDMC_12","CD45RA",0.127259386527169,FALSE
"BIDMC_12","Cytokeratin",0.164684011490723,FALSE
"BIDMC_13","CD3",0.309419726361806,FALSE
"BIDMC_13","CD45",0.119288230822166,FALSE
"BIDMC_13","CD15",0.511710948061795,FALSE
"BIDMC_13","CD4",NA,TRUE
"BIDMC_13","CD8",0.403520278415897,FALSE
"BIDMC_13","CD11b",0.22235393865525,FALSE
"BIDMC_13","ToxTox2",0.169408282408183,FALSE
"BIDMC_13","CD20",0.170435778171586,FALSE
"BIDMC_13","CD11c",0.215241911356179,FALSE
"BIDMC_13","H3K27me3",0.122523129938694,FALSE
"BIDMC_13","Ki67",0.352767484157059,FALSE
"BIDMC_13","HLADRA",0.135611926237205,FALSE
"BIDMC_13","pS6",0.103522043644968,FALSE
"BIDMC_13","CD68",0.136152528938437,FALSE
"BIDMC_13","FoxP3",0.149787583128808,FALSE
"BIDMC_13","PD1",0.277193078291557,FALSE
"BIDMC_13","Pax5",0.166171099965668,FALSE
"BIDMC_13","H3K27ac",0.100708471173709,FALSE
"BIDMC_13","GranzymeB",0.12906149966957,FALSE
"BIDMC_13","CD31",0.121571353466151,FALSE
"BIDMC_13","IDO1",0.0612426377624261,FALSE
"BIDMC_13","CD138",0.0907762038449847,FALSE
"BIDMC_13","NAKATPase",0.0607606456891105,FALSE
"BIDMC_13","CD45RA",0.159685303405136,FALSE
"BIDMC_13","Cytokeratin",0.161906699433419,FALSE
"BIDMC_14","CD3",0.391444500948975,FALSE
"BIDMC_14","CD45",0.154863590538745,FALSE
"BIDMC_14","CD15",0.475929824789493,FALSE
"BIDMC_14","CD4",0.121269290361729,FALSE
"BIDMC_14","CD8",0.500711696146877,FALSE
"BIDMC_14","CD11b",0.290113517869751,FALSE
"BIDMC_14","ToxTox2",0.217137612847796,FALSE
"BIDMC_14","CD20",0.188026771577859,FALSE
"BIDMC_14","CD11c",0.351490605856008,FALSE
"BIDMC_14","H3K27me3",0.132447898105972,FALSE
"BIDMC_14","Ki67",0.414951251161982,FALSE
"BIDMC_14","HLADRA",0.13887451972259,FALSE
"BIDMC_14","pS6",0.136939703796437,FALSE
"BIDMC_14","CD68",0.186507430574674,FALSE
"BIDMC_14","FoxP3",0.277269193988465,FALSE
"BIDMC_14","PD1",0.37310818866709,FALSE
"BIDMC_14","Pax5",0.172694513808754,FALSE
"BIDMC_14","H3K27ac",0.130805654644208,FALSE
"BIDMC_14","GranzymeB",0.28214209222471,FALSE
"BIDMC_14","CD31",0.145076514035564,FALSE
"BIDMC_14","IDO1",0.168678391677013,FALSE
"BIDMC_14","CD138",0.116717945557915,FALSE
"BIDMC_14","NAKATPase",0.108473363223116,FALSE
"BIDMC_14","CD45RA",0.209679012665781,FALSE
"BIDMC_14","Cytokeratin",0.151412357213492,FALSE
"BIDMC_15","CD3",0.30051624950112,FALSE
"BIDMC_15","CD45",0.138352660142441,FALSE
"BIDMC_15","CD15",0.715439435948721,FALSE
"BIDMC_15","CD4",0.109577841896218,FALSE
"BIDMC_15","CD8",0.501533661845123,FALSE
"BIDMC_15","CD11b",0.262328359870996,FALSE
"BIDMC_15","ToxTox2",0.232506983836986,FALSE
"BIDMC_15","CD20",0.181980179070008,FALSE
"BIDMC_15","CD11c",0.359261598053651,FALSE
"BIDMC_15","H3K27me3",0.136521239811252,FALSE
"BIDMC_15","Ki67",0.348805754615231,FALSE
"BIDMC_15","HLADRA",0.150199346346688,FALSE
"BIDMC_15","pS6",0.13056782364048,FALSE
"BIDMC_15","CD68",0.19303290182615,FALSE
"BIDMC_15","FoxP3",0.271048130575692,FALSE
"BIDMC_15","PD1",0.362891522241736,FALSE
"BIDMC_15","Pax5",0.131152198872668,FALSE
"BIDMC_15","H3K27ac",0.1097413115924,FALSE
"BIDMC_15","GranzymeB",0.21744482562978,FALSE
"BIDMC_15","CD31",0.136336517587416,FALSE
"BIDMC_15","IDO1",0.168047528347842,FALSE
"BIDMC_15","CD138",0.0850353104076687,FALSE
"BIDMC_15","NAKATPase",0.0880925550484959,FALSE
"BIDMC_15","CD45RA",0.132039559945565,FALSE
"BIDMC_15","Cytokeratin",0.153963393720171,FALSE
"BIDMC_16","CD3",0.24264794192089,FALSE
"BIDMC_16","CD45",0.170053517777716,FALSE
"BIDMC_16","CD15",0.484385250074356,FALSE
"BIDMC_16","CD4",0.17408381690209,FALSE
"BIDMC_16","CD8",0.465986314843329,FALSE
"BIDMC_16","CD11b",0.249238165282342,FALSE
"BIDMC_16","ToxTox2",0.251662841751778,FALSE
"BIDMC_16","CD20",0.186985685813633,FALSE
"BIDMC_16","CD11c",0.454398195816542,FALSE
"BIDMC_16","H3K27me3",0.142550428430589,FALSE
"BIDMC_16","Ki67",0.307780838002522,FALSE
"BIDMC_16","HLADRA",0.144050622655782,FALSE
"BIDMC_16","pS6",0.178929495506916,FALSE
"BIDMC_16","CD68",0.170186437764074,FALSE
"BIDMC_16","FoxP3",0.410822065159617,FALSE
"BIDMC_16","PD1",0.450485416614865,FALSE
"BIDMC_16","Pax5",0.124278407859457,FALSE
"BIDMC_16","H3K27ac",0.139109587322294,FALSE
"BIDMC_16","GranzymeB",0.307953317876582,FALSE
"BIDMC_16","CD31",0.144813539134395,FALSE
"BIDMC_16","IDO1",0.198741170787122,FALSE
"BIDMC_16","CD138",0.101722813538232,FALSE
"BIDMC_16","NAKATPase",0.121116589499853,FALSE
"BIDMC_16","CD45RA",0.107139866749019,FALSE
"BIDMC_16","Cytokeratin",0.144231818656539,FALSE
"BIDMC_17","CD3",0.330573654908293,FALSE
"BIDMC_17","CD45",0.125071519850027,FALSE
"BIDMC_17","CD15",0.666017004526031,FALSE
"BIDMC_17","CD4",NA,TRUE
"BIDMC_17","CD8",0.466388878818762,FALSE
"BIDMC_17","CD11b",0.301075959680181,FALSE
"BIDMC_17","ToxTox2",0.197739966520304,FALSE
"BIDMC_17","CD20",0.1944108687493,FALSE
"BIDMC_17","CD11c",0.233997465590181,FALSE
"BIDMC_17","H3K27me3",0.126493105373788,FALSE
