marker,.y.,n,statistic,df,p,method,p.adj,p.adj.signif
CD11b,value,8308355,3758071.6891691,23,0,Kruskal-Wallis,0,****
CD11c,value,8308355,2467035.168250994,23,0,Kruskal-Wallis,0,****
CD138,value,8308355,3446952.342595683,23,0,Kruskal-Wallis,0,****
CD15,value,8308355,2453692.121227912,23,0,Kruskal-Wallis,0,****
CD20,value,8308355,1747461.5154470063,23,0,Kruskal-Wallis,0,****
CD3,value,8308355,1128598.4260651332,23,0,Kruskal-Wallis,0,****
CD31,value,8308355,3466457.710161857,23,0,Kruskal-Wallis,0,****
CD4,value,8308355,5604411.101423607,23,0,Kruskal-Wallis,0,****
CD45,value,8308355,1501175.5172807176,23,0,Kruskal-Wallis,0,****
CD45RA,value,8308355,2250030.1013751333,23,0,Kruskal-Wallis,0,****
CD68,value,8308355,1598540.5625828058,23,0,Kruskal-Wallis,0,****
CD8,value,8308355,605209.6235416649,23,0,Kruskal-Wallis,0,****
Cytokeratin,value,8308355,2911722.7144567124,23,0,Kruskal-Wallis,0,****
FoxP3,value,8308355,5448358.842001358,23,0,Kruskal-Wallis,0,****
GranzymeB,value,8308355,3349506.649144297,23,0,Kruskal-Wallis,0,****
H3K27ac,value,8308355,4357273.341698135,23,0,Kruskal-Wallis,0,****
H3K27me3,value,8308355,2242044.9706588476,23,0,Kruskal-Wallis,0,****
HLADRA,value,8308355,1956060.7720853025,23,0,Kruskal-Wallis,0,****
Hoechst,value,8308355,589.2285214975975,23,8.279999999999999e-110,Kruskal-Wallis,8.279999999999999e-110,****
IDO1,value,8308355,4917326.917139361,23,0,Kruskal-Wallis,0,****
Ki67,value,8308355,372211.80884365283,23,0,Kruskal-Wallis,0,****
NAKATPase,value,8308355,4599578.524609733,23,0,Kruskal-Wallis,0,****
PD1,value,8308355,2981390.8286970593,23,0,Kruskal-Wallis,0,****
Pax5,value,8308355,879231.6023208054,23,0,Kruskal-Wallis,0,****
ToxTox2,value,8308355,1453199.5402559265,23,0,Kruskal-Wallis,0,****
pS6,value,8308355,2183470.25021064,23,0,Kruskal-Wallis,0,****
