"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","BIDMC_10","BIDMC_11",1.39998244984124,"large",1.39480267014304,1.40516222953944
"CD11b","BIDMC_10","BIDMC_1",2.15365594677153,"large",2.14771228819661,2.15959960534645
"CD11b","BIDMC_12","BIDMC_1",3.14917300899338,"large",3.1420865203535,3.15625949763327
"CD11b","BIDMC_13","BIDMC_14",1.13644539667039,"large",1.13133544638406,1.14155534695672
"CD11b","BIDMC_13","BIDMC_18",1.49525641740892,"large",1.48988267469583,1.500630160122
"CD11b","BIDMC_13","BIDMC_1",4.49354094803457,"large",4.48462180059719,4.50246009547195
"CD11b","BIDMC_13","BIDMC_20",1.36528238571215,"large",1.36009231299329,1.37047245843101
"CD11b","BIDMC_13","BIDMC_22",0.856910742585219,"large",0.85198542393909,0.861836061231348
"CD11b","BIDMC_13","BIDMC_2",1.48873698512531,"large",1.48337495565159,1.49409901459902
"CD11b","BIDMC_13","BIDMC_3",1.25318228452398,"large",1.24796366207663,1.25840090697132
"CD11b","BIDMC_13","BIDMC_4",1.71811955541786,"large",1.71257594320011,1.72366316763561
"CD11b","BIDMC_13","BIDMC_6",1.84876864686717,"large",1.84320100317253,1.85433629056182
"CD11b","BIDMC_13","BIDMC_8",1.51968409808532,"large",1.51432428042817,1.52504391574247
"CD11b","BIDMC_14","BIDMC_1",3.35092075357395,"large",3.34354146264733,3.35830004450056
"CD11b","BIDMC_15","BIDMC_18",0.918941834889998,"large",0.91397763503792,0.923906034742077
"CD11b","BIDMC_15","BIDMC_1",3.80209233710885,"large",3.79418223577701,3.8100024384407
"CD11b","BIDMC_15","BIDMC_2",0.898341315508319,"large",0.893393795076402,0.903288835940235
"CD11b","BIDMC_15","BIDMC_4",1.08452841410372,"large",1.07948572988147,1.08957109832597
"CD11b","BIDMC_15","BIDMC_6",1.17757641285046,"large",1.17256011437759,1.18259271132334
"CD11b","BIDMC_15","BIDMC_8",0.852921378121988,"large",0.848020810262071,0.857821945981905
"CD11b","BIDMC_16","BIDMC_18",0.838949114163344,"large",0.83396918049735,0.843929047829339
"CD11b","BIDMC_16","BIDMC_1",3.85266113118878,"large",3.84459258768626,3.86072967469131
"CD11b","BIDMC_16","BIDMC_2",0.816791657449251,"large",0.811828302914637,0.821755011983865
"CD11b","BIDMC_16","BIDMC_4",1.00842717753327,"large",1.00337199879515,1.0134823562714
"CD11b","BIDMC_16","BIDMC_6",1.10370425267084,"large",1.09867565430342,1.10873285103826
"CD11b","BIDMC_17","BIDMC_18",0.842275286817656,"large",0.837292226632355,0.847258347002957
"CD11b","BIDMC_17","BIDMC_1",3.49846656191104,"large",3.49086944559158,3.50606367823051
"CD11b","BIDMC_17","BIDMC_2",0.820682426639333,"large",0.815715723056852,0.825649130221814
"CD11b","BIDMC_17","BIDMC_4",0.987237420082954,"large",0.982192556318995,0.992282283846913
"CD11b","BIDMC_17","BIDMC_6",1.06849443723943,"large",1.06348513371896,1.07350374075991
"CD11b","BIDMC_18","BIDMC_1",2.54383960484675,"large",2.53742556605077,2.55025364364272
"CD11b","BIDMC_19","BIDMC_1",3.96039313213793,"large",3.95229844351612,3.96848782075974
"CD11b","BIDMC_19","BIDMC_20",1.01708394536249,"large",1.01216597301872,1.02200191770626
"CD11b","BIDMC_19","BIDMC_2",1.14840190728168,"large",1.14333040569602,1.15347340886734
"CD11b","BIDMC_19","BIDMC_3",0.916882077565073,"large",0.911914396025152,0.921849759104995
"CD11b","BIDMC_19","BIDMC_4",1.34108163156535,"large",1.3358889934723,1.34627426965839
"CD11b","BIDMC_19","BIDMC_6",1.44261209466441,"large",1.43743213079142,1.44779205853741
"CD11b","BIDMC_19","BIDMC_8",1.12889395507319,"large",1.12385987976267,1.13392803038371
"CD11b","BIDMC_21","BIDMC_2",1.31130233514531,"large",1.30608821496341,1.31651645532722
"CD11b","BIDMC_21","BIDMC_3",1.0737538845872,"large",1.06866572221596,1.07884204695845
"CD11b","BIDMC_21","BIDMC_4",1.52747594302899,"large",1.52210762400052,1.53284426205746
"CD11b","BIDMC_21","BIDMC_6",1.64651906418319,"large",1.64114312544763,1.65189500291876
"CD11b","BIDMC_21","BIDMC_8",1.31853871162535,"large",1.31334535410359,1.32373206914712
"CD11b","BIDMC_22","BIDMC_4",0.846167354670389,"large",0.84124204460989,0.851092664730888
"CD11b","BIDMC_22","BIDMC_6",0.9267871164654,"large",0.921902953532907,0.931671279397892
"CD11b","BIDMC_23","BIDMC_2",1.52829326852175,"large",1.52290881665839,1.5336777203851
"CD11b","BIDMC_23","BIDMC_3",1.29559493966385,"large",1.29035543308073,1.30083444624697
