"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD11b","BIDMC_13","BIDMC_1",0.22235393865525,1.97231854813824,1.74996460948299,1,1
"FoxP3","BIDMC_21","BIDMC_11",0.138751595499296,1.54541461169719,1.4066630161979,0,0
"CD15","BIDMC_6","BIDMC_11",0.42898695644947,1.61948548142602,1.19049852497655,0,0
"PD1","BIDMC_21","BIDMC_12",0.255946310160087,0.772071041214427,0.51612473105434,0,0
"CD11c","BIDMC_5","BIDMC_4",0.207953164615262,0.608577456051485,0.400624291436223,0,0
"CD8","BIDMC_21","BIDMC_3",0.385519146326137,0.739247867190608,0.353728720864471,0,0
"CD3","BIDMC_8","BIDMC_2",0.210230243558697,0.539825256918662,0.329595013359965,0,0
"GranzymeB","BIDMC_13","BIDMC_11",0.12906149966957,0.40778300589016,0.27872150622059,0,0
"IDO1","BIDMC_13","BIDMC_12",0.0612426377624261,0.265236905163883,0.203994267401457,0,0
"CD68","BIDMC_13","BIDMC_11",0.136152528938437,0.317409315386513,0.181256786448076,0,0
"Ki67","BIDMC_16","BIDMC_10",0.307780838002522,0.476666667058498,0.168885829055976,0,0
"CD45RA","BIDMC_8","BIDMC_6",0.102269950437275,0.237821347330344,0.135551396893069,0,0
"Pax5","BIDMC_24","BIDMC_1",0.111755846435408,0.243022241670754,0.131266395235347,0,0
"ToxTox2","BIDMC_13","BIDMC_3",0.169408282408183,0.300159312120328,0.130751029712145,0,0
"pS6","BIDMC_13","BIDMC_12",0.103522043644968,0.224937476114174,0.121415432469206,0,0
"CD20","BIDMC_21","BIDMC_1",0.163231280547956,0.284107069079284,0.120875788531329,0,0
"CD31","BIDMC_1","BIDMC_12",0.0908920451436967,0.195210798361914,0.104318753218218,0,0
"NAKATPase","BIDMC_13","BIDMC_12",0.0607606456891105,0.164452961647753,0.103692315958642,0,0
"CD45","BIDMC_21","BIDMC_4",0.116607615745817,0.208947565813741,0.0923399500679247,0,0
"H3K27ac","BIDMC_1","BIDMC_12",0.0932181316490612,0.181425325936482,0.088207194287421,0,0
"CD4","BIDMC_15","BIDMC_1",0.109577841896218,0.19733111842091,0.0877532765246927,6,6
"Cytokeratin","BIDMC_8","BIDMC_17",0.124268961062278,0.194516997213191,0.0702480361509127,0,0
"CD138","BIDMC_7","BIDMC_21",0.0819754438026128,0.139808411365019,0.0578329675624064,1,1
"H3K27me3","BIDMC_21","BIDMC_4",0.11422551835696,0.171000512114809,0.0567749937578483,0,0
"HLADRA","BIDMC_21","BIDMC_11",0.126452020730568,0.171968958467791,0.0455169377372225,0,0
