"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"BIDMC_Slide1","CD3",0.135444625924079,FALSE,0.683426396992974
"BIDMC_Slide1","CD45",0.143585763690486,FALSE,-0.122924542174437
"BIDMC_Slide1","CD15",0.0621205113040011,FALSE,-0.477150931627639
"BIDMC_Slide1","CD4",NA,TRUE,NA
"BIDMC_Slide1","CD8",0.113251986565837,FALSE,1.31596340369225
"BIDMC_Slide1","CD11b",NA,TRUE,NA
"BIDMC_Slide1","Tox/Tox2",0.066810834148997,FALSE,-1.05485844508504
"BIDMC_Slide1","CD20",0.146741703061248,FALSE,2.58857289321407
"BIDMC_Slide1","CD11c",0.0263472584637444,FALSE,-1.31396436318826
"BIDMC_Slide1","H3K27me3",0.147218820547393,FALSE,-0.90492802520489
"BIDMC_Slide1","Ki67",0.130810573800201,FALSE,0.756009965602779
"BIDMC_Slide1","HLADRA",0.142147023139107,FALSE,0.670231290619243
"BIDMC_Slide1","pS6",0.0808935338810868,FALSE,-0.562356663133769
"BIDMC_Slide1","CD68",0.126341241665619,FALSE,1.01804201000874
"BIDMC_Slide1","FOXP3",0.089174763180271,FALSE,0.330161919144061
"BIDMC_Slide1","PD1",0.0449302293648652,FALSE,-0.94877663871701
"BIDMC_Slide1","Pax5",0.261335344764838,FALSE,2.69163519135595
"BIDMC_Slide1","H3K27ac",0.0674436694510237,FALSE,-1.12570219705633
"BIDMC_Slide1","Granzyme B",0.0634864557058914,FALSE,-0.365486165959332
"BIDMC_Slide1","CD31",0.049429021975364,FALSE,-1.60214229817355
"BIDMC_Slide1","IDO1",0.0383354022159375,FALSE,-1.36961820025756
"BIDMC_Slide1","CD138",0.145934995222692,FALSE,0.181997844239124
"BIDMC_Slide1","Na/KATPase",0.057955844880478,FALSE,-1.19028278467576
"BIDMC_Slide1","CD45RA",0.193923262317022,FALSE,0.56397723101178
"BIDMC_Slide1","CK",0.228145493718819,FALSE,-0.152965577931961
"BIDMC_Slide10","CD3",0.1503370792618,FALSE,1.1604712377118
"BIDMC_Slide10","CD45",0.173226993545061,FALSE,0.945164844418394
"BIDMC_Slide10","CD15",0.0620516882137019,FALSE,-0.479787819203905
"BIDMC_Slide10","CD4",0.163951652858734,FALSE,-0.0666828974772526
"BIDMC_Slide10","CD8",0.0831246724869477,FALSE,-0.0392583048047975
"BIDMC_Slide10","CD11b",0.0736838486911616,FALSE,-0.0113382407324353
"BIDMC_Slide10","Tox/Tox2",0.0990407874761652,FALSE,0.332234706864216
"BIDMC_Slide10","CD20",0.109245575142202,FALSE,0.966383344855057
"BIDMC_Slide10","CD11c",0.0577699239233813,FALSE,0.0813672323436836
"BIDMC_Slide10","H3K27me3",0.192011364452728,FALSE,0.563950972437111
"BIDMC_Slide10","Ki67",0.141581658073121,FALSE,1.35065848589249
"BIDMC_Slide10","HLADRA",0.152528316245499,FALSE,1.27953542233457
"BIDMC_Slide10","pS6",0.10007849481367,FALSE,0.199028771979598
"BIDMC_Slide10","CD68",0.119072524457594,FALSE,0.750363425017119
"BIDMC_Slide10","FOXP3",0.0942035080731191,FALSE,0.405593729884797
"BIDMC_Slide10","PD1",0.0868227100536551,FALSE,0.307957948539041
"BIDMC_Slide10","Pax5",0.205635354624697,FALSE,1.3222061160202
"BIDMC_Slide10","H3K27ac",0.118855202847051,FALSE,0.918299642484155
"BIDMC_Slide10","Granzyme B",0.119817866610017,FALSE,1.37753627795507
"BIDMC_Slide10","CD31",0.109087463207859,FALSE,1.24520743976753
"BIDMC_Slide10","IDO1",0.143835882447704,FALSE,0.93298079757729
"BIDMC_Slide10","CD138",0.226276720508763,FALSE,2.7184580323593
"BIDMC_Slide10","Na/KATPase",0.119884402917116,FALSE,0.799383405953822
"BIDMC_Slide10","CD45RA",0.264395514984361,FALSE,1.96436015478802
"BIDMC_Slide10","CK",0.265801586789176,FALSE,0.872175335281996
"BIDMC_Slide11","CD3",0.175484423478935,FALSE,1.96600747438939
"BIDMC_Slide11","CD45",0.150466044275361,FALSE,0.124998864024952
"BIDMC_Slide11","CD15",0.162091666297696,FALSE,3.35314345709623
"BIDMC_Slide11","CD4",0.139868817942124,FALSE,-0.494412276497223
"BIDMC_Slide11","CD8",0.133162535292153,FALSE,2.21160274914918
"BIDMC_Slide11","CD11b",0.686558419824661,FALSE,4.55186606577754
"BIDMC_Slide11","Tox/Tox2",0.122875605769365,FALSE,1.35802313717458
"BIDMC_Slide11","CD20",0.146365426908118,FALSE,2.57229411252978
"BIDMC_Slide11","CD11c",0.0952323329791439,FALSE,1.74489520604129
"BIDMC_Slide11","H3K27me3",0.207043384296615,FALSE,1.05689502775777
"BIDMC_Slide11","Ki67",0.14046753676483,FALSE,1.28915023188468
"BIDMC_Slide11","HLADRA",0.152935407145068,FALSE,1.30342860833259
"BIDMC_Slide11","pS6",0.0948734498288225,FALSE,-0.00754164817915531
"BIDMC_Slide11","CD68",0.186540579814971,FALSE,3.23494950442329
"BIDMC_Slide11","FOXP3",0.337458089338846,FALSE,4.05444327919265
"BIDMC_Slide11","PD1",0.103910292008613,FALSE,0.820569159483966
"BIDMC_Slide11","Pax5",0.142832833056844,FALSE,-0.221844409357489
"BIDMC_Slide11","H3K27ac",0.0912123322774907,FALSE,-0.180715978371206
"BIDMC_Slide11","Granzyme B",0.12755704599883,FALSE,1.6170041548584
"BIDMC_Slide11","CD31",0.107845594258604,FALSE,1.18593610860018
"BIDMC_Slide11","IDO1",0.152945131850182,FALSE,1.13179457073827
"BIDMC_Slide11","CD138",0.140343060700615,FALSE,0.00545546555208902
"BIDMC_Slide11","Na/KATPase",0.0974572335718677,FALSE,0.0788340824677971
"BIDMC_Slide11","CD45RA",0.163516147659512,FALSE,-0.040254966995094
"BIDMC_Slide11","CK",0.241702625013757,FALSE,0.216110680996102
"BIDMC_Slide12","CD3",0.113914827923295,FALSE,-0.00623022472550667
"BIDMC_Slide12","CD45",0.199944429501631,FALSE,1.90789850702931
"BIDMC_Slide12","CD15",0.0958584198350488,FALSE,0.815483146091096
"BIDMC_Slide12","CD4",0.283170217600321,FALSE,2.05072906175189
"BIDMC_Slide12","CD8",0.108429618275761,FALSE,1.09903805229961
"BIDMC_Slide12","CD11b",0.06916479224739,FALSE,-0.0449852197340954
"BIDMC_Slide12","Tox/Tox2",0.127826754996531,FALSE,1.57110768984418
"BIDMC_Slide12","CD20",0.104688216173535,FALSE,0.76921898422949
"BIDMC_Slide12","CD11c",0.105402441515788,FALSE,2.19650150880375
"BIDMC_Slide12","H3K27me3",0.237207054887598,FALSE,2.04605032816951
"BIDMC_Slide12","Ki67",0.131098486224222,FALSE,0.771904994606256
"BIDMC_Slide12","HLADRA",0.157725867780013,FALSE,1.58459275886547
"BIDMC_Slide12","pS6",0.170961661667136,FALSE,3.01213905281827
"BIDMC_Slide12","CD68",0.122346188855226,FALSE,0.870919752717974
"BIDMC_Slide12","FOXP3",0.159529778138328,FALSE,1.38549606037786
"BIDMC_Slide12","PD1",0.183802304345295,FALSE,3.21725356437438
"BIDMC_Slide12","Pax5",0.142686867553215,FALSE,-0.225433088712057
