"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Novartis_LuCa_Citra_20min","CD3",0.0840892549301494,FALSE,1.10296098065328
"Novartis_LuCa_Citra_20min","CD11c",0.0624154225686013,FALSE,1.38507385402565
"Novartis_LuCa_Citra_20min","Ki67",0.114933438376285,FALSE,1.40058242851617
"Novartis_LuCa_Citra_20min","ECadherin",0.194675293971642,FALSE,1.46810570837186
"Novartis_LuCa_Citra_20min","CD15",0.231556113222956,FALSE,1.36562977832978
"Novartis_LuCa_Tris_10min","CD3",0.0740341607147992,FALSE,0.587747609858089
"Novartis_LuCa_Tris_10min","CD11c",0.0450556262662746,FALSE,-0.330722337993755
"Novartis_LuCa_Tris_10min","Ki67",0.0666420443940145,FALSE,-0.0980636820476221
"Novartis_LuCa_Tris_10min","ECadherin",0.116616358844033,FALSE,-0.202119154654335
"Novartis_LuCa_Tris_10min","CD15",0.139067528817441,FALSE,-0.523122870802367
"Novartis_LuCa_Tris_20min","CD3",0.0447719665283222,FALSE,-0.91161911717493
"Novartis_LuCa_Tris_20min","CD11c",0.0384516103772876,FALSE,-0.983445740793187
"Novartis_LuCa_Tris_20min","Ki67",0.0391364812035043,FALSE,-0.951654806575081
"Novartis_LuCa_Tris_20min","ECadherin",0.0948426253571711,FALSE,-0.668011124243866
"Novartis_LuCa_Tris_20min","CD15",0.168698277068314,FALSE,0.0819805007578066
"Novartis_LuCa_Tris_40min","CD3",0.0473584639498973,FALSE,-0.779089473336441
"Novartis_LuCa_Tris_40min","CD11c",0.0476843549150367,FALSE,-0.0709057752387139
"Novartis_LuCa_Tris_40min","Ki67",0.0584959739078606,FALSE,-0.350863939893464
"Novartis_LuCa_Tris_40min","ECadherin",0.0981157844842476,FALSE,-0.597975429473662
"Novartis_LuCa_Tris_40min","CD15",0.11941347940053,FALSE,-0.924487408285225
