"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Novartis_Lung_Cancer_slide1","CD3",0.312892618758983,FALSE,2,2
"Novartis_Lung_Cancer_slide1","CD11c",0.160330406192544,FALSE,2,2
"Novartis_Lung_Cancer_slide1","Ki67",0.213090201930664,FALSE,1,1
"Novartis_Lung_Cancer_slide1","ECadherin",0.58265142833879,FALSE,2,2
"Novartis_Lung_Cancer_slide1","CD15",0.25562398352665,FALSE,3,3
"Novartis_Lung_Cancer_slide2","CD3",0.248306214884825,FALSE,1,1
"Novartis_Lung_Cancer_slide2","CD11c",0.138631094686213,FALSE,1,1
"Novartis_Lung_Cancer_slide2","Ki67",0.214201689062644,FALSE,2,2
"Novartis_Lung_Cancer_slide2","ECadherin",0.442737062335626,FALSE,1,1
"Novartis_Lung_Cancer_slide2","CD15",0.176956053462782,FALSE,1,1
"Novartis_Lung_Cancer_slide24","CD3",0.540942841406263,FALSE,4,4
"Novartis_Lung_Cancer_slide24","CD11c",0.225317280138378,FALSE,4,4
"Novartis_Lung_Cancer_slide24","Ki67",0.580775876397108,FALSE,4,4
"Novartis_Lung_Cancer_slide24","ECadherin",0.938486938840161,FALSE,4,4
"Novartis_Lung_Cancer_slide24","CD15",0.317485628617885,FALSE,4,4
"Novartis_Lung_Cancer_slide3","CD3",0.486301157304674,FALSE,3,3
"Novartis_Lung_Cancer_slide3","CD11c",0.18486480511452,FALSE,3,3
"Novartis_Lung_Cancer_slide3","Ki67",0.320478460113334,FALSE,3,3
"Novartis_Lung_Cancer_slide3","ECadherin",0.654078863974015,FALSE,3,3
"Novartis_Lung_Cancer_slide3","CD15",0.216497576572673,FALSE,2,2
