"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD3","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.291286381867704,0.481322907257674,0.190036525389971,0,0
"Ki67","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.276212363500895,0.426515844720738,0.150303481219843,1,1
"ECadherin","Novartis_Tonsil_slide2","Novartis_Tonsil_slide3",0.655000407924591,0.792541663809522,0.137541255884931,0,0
"CD15","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.175727325182573,0.298825804448771,0.123098479266198,0,0
"GranzymeB","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.0972115082435929,0.177572498233396,0.0803609899898035,0,0
"CD11c","Novartis_Tonsil_slide2","Novartis_Tonsil_slide1",0.19353146574731,0.264868587013458,0.0713371212661475,0,0
"HLADR","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.0929549418425033,0.152366605269557,0.059411663427054,0,0
"CD68","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.0649233575182353,0.113309969245285,0.0483866117270501,0,0
"CD45RA","Novartis_Tonsil_slide2","Novartis_Tonsil_slide24",0.053188008491884,0.0838115920176299,0.0306235835257459,0,0
"CD8","Novartis_Tonsil_slide1","Novartis_Tonsil_slide2",0.244712334699274,0.262737890725917,0.0180255560266435,2,2
