"Staining_condition","Marker","CV","Is_Excluded"
"Run1","CD3",0.24061265195874,FALSE
"Run1","CD45",0.163016890154842,FALSE
"Run1","CD15",0.533675421195381,FALSE
"Run1","CD8",0.402363361386936,FALSE
"Run1","CD11b",0.21391612422672,FALSE
"Run1","ToxTox2",0.167356529777227,FALSE
"Run1","CD20",0.174537881489941,FALSE
"Run1","CD11c",0.205203467092308,FALSE
"Run1","H3K27me3",0.17907761839517,FALSE
"Run1","Ki67",0.352316365899805,FALSE
"Run1","HLADRA",0.165742924734273,FALSE
"Run1","pS6",0.107142587318431,FALSE
"Run1","CD68",0.139523019425481,FALSE
"Run1","FoxP3",0.116304477903194,FALSE
"Run1","PD1",0.210025273288668,FALSE
"Run1","Pax5",0.168150356879164,FALSE
"Run1","H3K27ac",0.0884226609255499,FALSE
"Run1","GranzymeB",0.126134800120477,FALSE
"Run1","CD31",0.0983687524393866,FALSE
"Run1","IDO1",0.108018461835536,FALSE
"Run1","CD138",0.116141923221039,FALSE
"Run1","NAKATPase",0.0849854646195761,FALSE
"Run1","CD45RA",0.157309843894458,FALSE
"Run1","Cytokeratin",0.120109349637034,FALSE
"Run2","CD3",0.249030611122238,FALSE
"Run2","CD45",0.157862341015437,FALSE
"Run2","CD15",0.897599898994333,FALSE
"Run2","CD8",0.483084271472253,FALSE
"Run2","CD11b",0.262702191161827,FALSE
"Run2","ToxTox2",0.184224253302853,FALSE
"Run2","CD20",0.183908460617212,FALSE
"Run2","CD11c",0.190450148197954,FALSE
"Run2","H3K27me3",0.15935521319564,FALSE
"Run2","Ki67",0.39415227128503,FALSE
"Run2","HLADRA",0.1782936248735,FALSE
"Run2","pS6",0.121438989365561,FALSE
"Run2","CD68",0.164057232017205,FALSE
"Run2","FoxP3",0.130207111731612,FALSE
"Run2","PD1",0.256609933930954,FALSE
"Run2","Pax5",0.191268961460113,FALSE
"Run2","H3K27ac",0.106361219420464,FALSE
"Run2","GranzymeB",0.135731168962073,FALSE
"Run2","CD31",0.114436128706901,FALSE
"Run2","IDO1",0.122210411510733,FALSE
"Run2","CD138",0.126391411399576,FALSE
"Run2","NAKATPase",0.0987488359828074,FALSE
"Run2","CD45RA",0.177964207374174,FALSE
"Run2","Cytokeratin",0.152823435411999,FALSE
