"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD15","Run1","Run2",0.533675421195381,0.897599898994333,0.363924477798952,0,0
"CD8","Run1","Run2",0.402363361386936,0.483084271472253,0.0807209100853177,0,0
"CD11b","Run1","Run2",0.21391612422672,0.262702191161827,0.0487860669351068,0,0
"PD1","Run1","Run2",0.210025273288668,0.256609933930954,0.0465846606422859,0,0
"Ki67","Run1","Run2",0.352316365899805,0.39415227128503,0.0418359053852254,0,0
"Cytokeratin","Run1","Run2",0.120109349637034,0.152823435411999,0.032714085774965,0,0
"CD68","Run1","Run2",0.139523019425481,0.164057232017205,0.0245342125917241,0,0
"Pax5","Run1","Run2",0.168150356879164,0.191268961460113,0.0231186045809491,0,0
"CD45RA","Run1","Run2",0.157309843894458,0.177964207374174,0.0206543634797161,0,0
"H3K27me3","Run2","Run1",0.15935521319564,0.17907761839517,0.0197224051995303,0,0
"H3K27ac","Run1","Run2",0.0884226609255499,0.106361219420464,0.0179385584949144,0,0
"ToxTox2","Run1","Run2",0.167356529777227,0.184224253302853,0.0168677235256257,0,0
"CD31","Run1","Run2",0.0983687524393866,0.114436128706901,0.0160673762675148,0,0
"CD11c","Run2","Run1",0.190450148197954,0.205203467092308,0.0147533188943545,0,0
"pS6","Run1","Run2",0.107142587318431,0.121438989365561,0.0142964020471302,0,0
"IDO1","Run1","Run2",0.108018461835536,0.122210411510733,0.0141919496751967,0,0
"FoxP3","Run1","Run2",0.116304477903194,0.130207111731612,0.0139026338284182,0,0
"NAKATPase","Run1","Run2",0.0849854646195761,0.0987488359828074,0.0137633713632313,0,0
"HLADRA","Run1","Run2",0.165742924734273,0.1782936248735,0.0125507001392267,0,0
"CD138","Run1","Run2",0.116141923221039,0.126391411399576,0.0102494881785375,0,0
"GranzymeB","Run1","Run2",0.126134800120477,0.135731168962073,0.00959636884159565,0,0
"CD20","Run1","Run2",0.174537881489941,0.183908460617212,0.00937057912727085,0,0
"CD3","Run1","Run2",0.24061265195874,0.249030611122238,0.00841795916349766,0,0
"CD45","Run2","Run1",0.157862341015437,0.163016890154842,0.00515454913940502,0,0
