"Staining_condition","Marker","CV","Is_Excluded"
"Roche_Intestine_Citra_20min","CD8",0.0740460785939961,FALSE
"Roche_Intestine_Citra_20min","CD3",0.130989909744945,FALSE
"Roche_Intestine_Citra_20min","CD20",0.0999365407573919,FALSE
"Roche_Intestine_Citra_20min","CD34",0.236202392997604,FALSE
"Roche_Intestine_Citra_20min","CD45",0.101068019616203,FALSE
"Roche_Intestine_Citra_20min","CD4",0.179403559182247,FALSE
"Roche_Intestine_Citra_20min","Iba1",0.303623809560951,FALSE
"Roche_Intestine_Citra_20min","Ki67",0.197310084700729,FALSE
"Roche_Intestine_Citra_20min","S100b",0.347359038992848,FALSE
"Roche_Intestine_Citra_20min","CK",0.072159698645303,FALSE
"Roche_Intestine_Citra_20min","CD68",0.134484972463927,FALSE
"Roche_Intestine_Citra_20min","Vimentin",0.144836675305092,FALSE
"Roche_Intestine_Tris_10min","CD8",0.0501720645083033,FALSE
"Roche_Intestine_Tris_10min","CD3",0.100835999705466,FALSE
"Roche_Intestine_Tris_10min","CD20",0.0526151510368276,FALSE
"Roche_Intestine_Tris_10min","CD34",0.136801070729007,FALSE
"Roche_Intestine_Tris_10min","CD45",0.0499028547897429,FALSE
"Roche_Intestine_Tris_10min","CD4",0.0945746574265404,FALSE
"Roche_Intestine_Tris_10min","Iba1",0.108343826814496,FALSE
"Roche_Intestine_Tris_10min","Ki67",0.0844504230756633,FALSE
"Roche_Intestine_Tris_10min","S100b",0.109555743584355,FALSE
"Roche_Intestine_Tris_10min","CK",0.0412939377154767,FALSE
"Roche_Intestine_Tris_10min","CD68",0.0796912901141271,FALSE
"Roche_Intestine_Tris_10min","Vimentin",0.0301278517005946,FALSE
"Roche_Intestine_Tris_20min","CD8",0.0786709032181803,FALSE
"Roche_Intestine_Tris_20min","CD3",0.123097513208057,FALSE
"Roche_Intestine_Tris_20min","CD20",0.144587329529652,FALSE
"Roche_Intestine_Tris_20min","CD34",0.173989570783636,FALSE
"Roche_Intestine_Tris_20min","CD45",0.0692655118490584,FALSE
"Roche_Intestine_Tris_20min","CD4",0.145320484852398,FALSE
"Roche_Intestine_Tris_20min","Iba1",0.139427522211143,FALSE
"Roche_Intestine_Tris_20min","Ki67",0.119913296229976,FALSE
"Roche_Intestine_Tris_20min","S100b",0.181304137486436,FALSE
"Roche_Intestine_Tris_20min","CK",0.188116406171541,FALSE
"Roche_Intestine_Tris_20min","CD68",0.146215436789891,FALSE
"Roche_Intestine_Tris_20min","Vimentin",0.156032414621446,FALSE
"Roche_Intestine_Tris_40min","CD8",0.0762263015751723,FALSE
"Roche_Intestine_Tris_40min","CD3",0.13172226666046,FALSE
"Roche_Intestine_Tris_40min","CD20",0.0987534131965902,FALSE
"Roche_Intestine_Tris_40min","CD34",0.188113874598565,FALSE
"Roche_Intestine_Tris_40min","CD45",0.0914886025282367,FALSE
"Roche_Intestine_Tris_40min","CD4",0.156035632867279,FALSE
"Roche_Intestine_Tris_40min","Iba1",0.121945594493344,FALSE
"Roche_Intestine_Tris_40min","Ki67",0.153862096609758,FALSE
"Roche_Intestine_Tris_40min","S100b",0.216259964191905,FALSE
"Roche_Intestine_Tris_40min","CK",0.0425776092321135,FALSE
"Roche_Intestine_Tris_40min","CD68",0.116609659556182,FALSE
"Roche_Intestine_Tris_40min","Vimentin",0.039098779010052,FALSE
