"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"Ki67","Roche_Tonsil_3","Roche_Tonsil_24",0.230272872970546,0.594829399874083,0.364556526903537,0,0
"Iba1","Roche_Tonsil_2","Roche_Tonsil_24",0.0658348030461743,0.429628178458313,0.363793375412138,0,0
"S100b","Roche_Tonsil_3","Roche_Tonsil_24",0.55435796592941,0.914907012393982,0.360549046464573,0,0
"CD8","Roche_Tonsil_3","Roche_Tonsil_24",0.110301643895484,0.34868062137226,0.238378977476776,0,0
"PanCytokeratin","Roche_Tonsil_2","Roche_Tonsil_1",0.270007204438584,0.498231878957292,0.228224674518708,0,0
"CD20","Roche_Tonsil_2","Roche_Tonsil_24",0.175891365570766,0.300591283819598,0.124699918248832,0,0
"CD4","Roche_Tonsil_2","Roche_Tonsil_24",0.0712548725807763,0.195558921855521,0.124304049274745,0,0
"Vimentin","Roche_Tonsil_2","Roche_Tonsil_24",0.0946572140959979,0.169515612984362,0.0748583988883641,0,0
"CD3e","Roche_Tonsil_2","Roche_Tonsil_24",0.180605296372082,0.245086443082695,0.0644811467106125,0,0
"CD68","Roche_Tonsil_2","Roche_Tonsil_24",0.0675052329510061,0.123909959485952,0.0564047265349463,0,0
"CD34","Roche_Tonsil_1","Roche_Tonsil_24",0.122645575458378,0.175524502630994,0.0528789271726154,0,0
"CD45","Roche_Tonsil_1","Roche_Tonsil_24",0.07637658141068,0.123454851127417,0.0470782697167372,0,0
