"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Roche_Tonsil_Citra_20min","CD8",0.283276861260106,FALSE,1.49253237202849
"Roche_Tonsil_Citra_20min","CD3",0.359451748873224,FALSE,1.4910011451227
"Roche_Tonsil_Citra_20min","CD20",0.259768892160927,FALSE,1.49544440644103
"Roche_Tonsil_Citra_20min","CD34",0.334428367459521,FALSE,1.49939198778822
"Roche_Tonsil_Citra_20min","CD45",0.13958435581768,FALSE,1.49771190573101
"Roche_Tonsil_Citra_20min","CD4",0.280703218531924,FALSE,1.49462848275975
"Roche_Tonsil_Citra_20min","Iba1",0.53970202039893,FALSE,1.48498314776896
"Roche_Tonsil_Citra_20min","Ki67",0.185512679262506,FALSE,1.43916972624672
"Roche_Tonsil_Citra_20min","S100b",0.321885782367435,FALSE,1.0469690275273
"Roche_Tonsil_Citra_20min","CK",0.160915982259945,FALSE,0.3249229264602
"Roche_Tonsil_Citra_20min","CD68",0.235027585870709,FALSE,1.49001494190194
"Roche_Tonsil_Citra_20min","Vimentin",0.146258412947452,FALSE,1.31498799967921
"Roche_Tonsil_Tris_10min","CD8",0.0606955623531053,FALSE,-0.636345304864679
"Roche_Tonsil_Tris_10min","CD3",0.244041570000893,FALSE,-0.343609445966206
"Roche_Tonsil_Tris_10min","CD20",0.151566798796965,FALSE,-0.389020019349519
"Roche_Tonsil_Tris_10min","CD34",0.147020927062181,FALSE,-0.460652893080917
"Roche_Tonsil_Tris_10min","CD45",0.0741058873337246,FALSE,-0.573920923635063
"Roche_Tonsil_Tris_10min","CD4",0.0825956389863858,FALSE,-0.512444452744108
"Roche_Tonsil_Tris_10min","Iba1",0.118586897475285,FALSE,-0.420404431485024
"Roche_Tonsil_Tris_10min","Ki67",0.0515068863934323,FALSE,-0.823660206334205
"Roche_Tonsil_Tris_10min","S100b",0.0991192812200847,FALSE,-1.3425806925264
"Roche_Tonsil_Tris_10min","CK",0.078518732235226,FALSE,-0.869541484620204
"Roche_Tonsil_Tris_10min","CD68",0.0899521578585626,FALSE,-0.626816363275553
"Roche_Tonsil_Tris_10min","Vimentin",0.0744741853230749,FALSE,-0.724600170826907
"Roche_Tonsil_Tris_20min","CD8",0.0802713418906833,FALSE,-0.449112863190661
"Roche_Tonsil_Tris_20min","CD3",0.23065185976105,FALSE,-0.556458125845655
"Roche_Tonsil_Tris_20min","CD20",0.141534298406912,FALSE,-0.563747600850099
"Roche_Tonsil_Tris_20min","CD34",0.140626726106755,FALSE,-0.527528150665991
"Roche_Tonsil_Tris_20min","CD45",0.0770229310698027,FALSE,-0.481630378234833
"Roche_Tonsil_Tris_20min","CD4",0.0948519832656022,FALSE,-0.388272641915548
"Roche_Tonsil_Tris_20min","Iba1",0.129297266689798,FALSE,-0.371944038210906
"Roche_Tonsil_Tris_20min","Ki67",0.0717210070439764,FALSE,-0.482323341042541
"Roche_Tonsil_Tris_20min","S100b",0.253887344727952,FALSE,0.317570097308265
"Roche_Tonsil_Tris_20min","CK",0.22609678642275,FALSE,1.26981066039205
"Roche_Tonsil_Tris_20min","CD68",0.10914670209531,FALSE,-0.346744040307407
"Roche_Tonsil_Tris_20min","Vimentin",0.108400976801716,FALSE,0.239353678828566
"Roche_Tonsil_Tris_40min","CD8",0.0846666246608037,FALSE,-0.40707420397315
"Roche_Tonsil_Tris_40min","CD3",0.228483106578229,FALSE,-0.590933573310844
"Roche_Tonsil_Tris_40min","CD20",0.142744141489297,FALSE,-0.542676786241409
"Roche_Tonsil_Tris_40min","CD34",0.142186877079732,FALSE,-0.511210944041308
"Roche_Tonsil_Tris_40min","CD45",0.0782704592711148,FALSE,-0.442160603861117
"Roche_Tonsil_Tris_40min","CD4",0.0745544676413512,FALSE,-0.593911388100099
"Roche_Tonsil_Tris_40min","Iba1",0.0584205171526386,FALSE,-0.692634678073026
"Roche_Tonsil_Tris_40min","Ki67",0.0923970647376402,FALSE,-0.133186178869978
"Roche_Tonsil_Tris_40min","S100b",0.222234694043254,FALSE,-0.0219584323091613
"Roche_Tonsil_Tris_40min","CK",0.0884763266526207,FALSE,-0.725192102232046
"Roche_Tonsil_Tris_40min","CD68",0.097515721829209,FALSE,-0.516454538318978
"Roche_Tonsil_Tris_40min","Vimentin",0.0707736884450296,FALSE,-0.829741507680868
