"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"S100b","Roche_18","Roche_10",1.95553449806041,7.43515178428699,5.47961728622658,0,0
"CD20","Roche_18","Roche_6",0.191120439218291,1.35903919476645,1.16791875554816,0,0
"CD3e","Roche_22","Roche_10",0.212365981204153,0.953629375485604,0.74126339428145,0,0
"CD8","Roche_22","Roche_10",0.403203900536879,1.09402476493414,0.690820864397261,0,0
"CD45","Roche_14","Roche_10",0.395149950112156,0.889470685393604,0.494320735281448,0,0
"MHCII","Roche_6","Roche_18",0.295275491441951,0.475483077511289,0.180207586069338,0,0
"CD34","Roche_14","Roche_2",0.101092828679978,0.268777496197447,0.167684667517468,0,0
"CD4","Roche_14","Roche_10",0.0998604727326109,0.252941301082537,0.153080828349926,0,0
"Vimentin","Roche_22","Roche_10",0.179271355367641,0.272434485688647,0.0931631303210058,0,0
"Iba1","Roche_22","Roche_18",0.196337357483447,0.253484804774787,0.0571474472913394,0,0
