"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Roche_intestine_1","CD8",0.346697840409222,FALSE,3,3
"Roche_intestine_1","CD3e",0.170029850272143,FALSE,3,3
"Roche_intestine_1","CD20",0.258062913558452,FALSE,3,3
"Roche_intestine_1","CD34",0.176046458413205,FALSE,2,2
"Roche_intestine_1","CD45",0.240062964209328,FALSE,2,2
"Roche_intestine_1","CD4",0.149235513358688,FALSE,3,3
"Roche_intestine_1","Iba1",0.139181723337656,FALSE,3,3
"Roche_intestine_1","Ki67",0.461925942733105,FALSE,2,2
"Roche_intestine_1","S100b",0.630821342920592,FALSE,2,2
"Roche_intestine_1","PanCytokeratin",0.552603348778144,FALSE,4,4
"Roche_intestine_1","CD68",0.158819634909859,FALSE,4,4
"Roche_intestine_1","Vimentin",0.390437838961389,FALSE,3,3
"Roche_intestine_2","CD8",0.30857136789095,FALSE,2,2
"Roche_intestine_2","CD3e",0.168913255165646,FALSE,2,2
"Roche_intestine_2","CD20",0.193132559198064,FALSE,2,2
"Roche_intestine_2","CD34",0.184984613036954,FALSE,3,3
"Roche_intestine_2","CD45",0.256843667651738,FALSE,3,3
"Roche_intestine_2","CD4",0.146876001076763,FALSE,2,2
"Roche_intestine_2","Iba1",0.130202231235653,FALSE,2,2
"Roche_intestine_2","Ki67",0.522598919632749,FALSE,3,3
"Roche_intestine_2","S100b",0.791502641490229,FALSE,3,3
"Roche_intestine_2","PanCytokeratin",0.264044265926505,FALSE,1,1
"Roche_intestine_2","CD68",0.121934140646608,FALSE,2,2
"Roche_intestine_2","Vimentin",0.210895184833801,FALSE,2,2
"Roche_intestine_24","CD8",0.418131577849095,FALSE,4,4
"Roche_intestine_24","CD3e",0.201667459769981,FALSE,4,4
"Roche_intestine_24","CD20",0.269335972989453,FALSE,4,4
"Roche_intestine_24","CD34",0.219577596575281,FALSE,4,4
"Roche_intestine_24","CD45",0.348715956411578,FALSE,4,4
"Roche_intestine_24","CD4",0.186296025480219,FALSE,4,4
"Roche_intestine_24","Iba1",0.271761528358869,FALSE,4,4
"Roche_intestine_24","Ki67",0.792949677465939,FALSE,4,4
"Roche_intestine_24","S100b",1.07076321756537,FALSE,4,4
"Roche_intestine_24","PanCytokeratin",0.435277085406358,FALSE,3,3
"Roche_intestine_24","CD68",0.156111689653898,FALSE,3,3
"Roche_intestine_24","Vimentin",0.447285514858912,FALSE,4,4
"Roche_intestine_3","CD8",0.270684081310397,FALSE,1,1
"Roche_intestine_3","CD3e",0.158900925725689,FALSE,1,1
"Roche_intestine_3","CD20",0.160856707397292,FALSE,1,1
"Roche_intestine_3","CD34",0.15892920794545,FALSE,1,1
"Roche_intestine_3","CD45",0.197089904187016,FALSE,1,1
"Roche_intestine_3","CD4",0.11750727522214,FALSE,1,1
"Roche_intestine_3","Iba1",0.126977561611368,FALSE,1,1
"Roche_intestine_3","Ki67",0.379351547124466,FALSE,1,1
"Roche_intestine_3","S100b",0.556833139555264,FALSE,1,1
"Roche_intestine_3","PanCytokeratin",0.282002037449915,FALSE,2,2
"Roche_intestine_3","CD68",0.107227921820558,FALSE,1,1
"Roche_intestine_3","Vimentin",0.199984669649352,FALSE,1,1
