"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD20","Stanford_OSCC_3","Stanford_OSCC_24",0.248761920851898,0.514671819341681,0.265909898489783,0,0
"Ki67","Stanford_OSCC_2","Stanford_OSCC_24",0.184074875441044,0.442711016665208,0.258636141224164,0,0
"aSMA","Stanford_OSCC_3","Stanford_OSCC_24",0.23042998430619,0.468483252135119,0.238053267828929,0,0
"Podoplanin","Stanford_OSCC_2","Stanford_OSCC_24",0.217120279628612,0.401254719784708,0.184134440156097,0,0
"CD14","Stanford_OSCC_3","Stanford_OSCC_24",0.185038930314318,0.367041601472413,0.182002671158095,0,0
"CD45RA","Stanford_OSCC_3","Stanford_OSCC_24",0.0808122459870994,0.251926554445532,0.171114308458432,0,0
"pS6","Stanford_OSCC_3","Stanford_OSCC_24",0.268300009132886,0.437801566001666,0.169501556868779,0,0
"CD163","Stanford_OSCC_3","Stanford_OSCC_24",0.11183275180941,0.28109383424406,0.16926108243465,0,0
"CD66a","Stanford_OSCC_2","Stanford_OSCC_24",0.223500825623338,0.387480630542264,0.163979804918926,0,0
"CD45RO","Stanford_OSCC_3","Stanford_OSCC_24",0.147020475352171,0.295036113172986,0.148015637820815,0,0
"CD31","Stanford_OSCC_3","Stanford_OSCC_24",0.259056497853318,0.406147954761915,0.147091456908598,0,0
"Collagen1","Stanford_OSCC_2","Stanford_OSCC_24",0.137692918784009,0.279088936288608,0.1413960175046,0,0
"CD8a","Stanford_OSCC_3","Stanford_OSCC_24",0.16421354932449,0.293818316080566,0.129604766756076,0,0
"CD209","Stanford_OSCC_3","Stanford_OSCC_24",0.0899901962227081,0.218768879661182,0.128778683438474,0,0
"HLADR","Stanford_OSCC_2","Stanford_OSCC_24",0.278211468553933,0.396464544490181,0.118253075936248,0,0
"CD11b","Stanford_OSCC_3","Stanford_OSCC_24",0.0755454566247294,0.18966040113304,0.114114944508311,0,0
"CD68","Stanford_OSCC_2","Stanford_OSCC_24",0.167084920506852,0.279893196173396,0.112808275666544,0,0
"SOX9","Stanford_OSCC_3","Stanford_OSCC_24",0.167935831964224,0.279350426015089,0.111414594050865,0,0
"FoxP3","Stanford_OSCC_3","Stanford_OSCC_1",0.146364874178989,0.25612910357418,0.109764229395191,0,0
"PanCK","Stanford_OSCC_2","Stanford_OSCC_1",0.209862045671577,0.309270002992433,0.0994079573208564,0,0
"CD44","Stanford_OSCC_2","Stanford_OSCC_24",0.154701578869392,0.248972912447311,0.0942713335779194,0,0
"CD16","Stanford_OSCC_3","Stanford_OSCC_24",0.118768283995163,0.212190943982413,0.0934226599872496,0,0
"Neurofilamen","Stanford_OSCC_3","Stanford_OSCC_24",0.0752246524371111,0.161096899865693,0.085872247428582,0,0
"CD4","Stanford_OSCC_3","Stanford_OSCC_24",0.113714585347121,0.197448645385061,0.0837340600379404,0,0
"CD3","Stanford_OSCC_3","Stanford_OSCC_24",0.157603670554619,0.230070006252059,0.0724663356974392,0,0
"TenascinC","Stanford_OSCC_3","Stanford_OSCC_24",0.158771622356058,0.229937984095012,0.0711663617389545,0,0
"CD11c","Stanford_OSCC_2","Stanford_OSCC_24",0.164536604774395,0.22869494257163,0.0641583377972348,0,0
"pMK2","Stanford_OSCC_3","Stanford_OSCC_24",0.171296513900363,0.232722509069247,0.0614259951688839,0,0
"CD15","Stanford_OSCC_2","Stanford_OSCC_24",0.240557571646355,0.289289529712084,0.0487319580657285,0,0
"VEGF","Stanford_OSCC_3","Stanford_OSCC_24",0.089466227752555,0.138121282724672,0.0486550549721168,0,0
"pCREB","Stanford_OSCC_3","Stanford_OSCC_1",0.207576989300076,0.23533143477466,0.0277544454745847,0,0
"Desmin","Stanford_OSCC_2","Stanford_OSCC_24",0.214055954585974,0.241400391029305,0.0273444364433309,0,0
