"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.7168433748409,"large",1.69170639503213,1.74198035464967
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.53295682528505,"large",1.50867360255659,1.5572400480135
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.29720137882392,"large",2.27059162791166,2.32381112973619
"CD11b","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.081850920456611,"",-0.103446197973434,-0.0602556429397885
"CD11b","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.678994784249177,"medium",0.657490913956402,0.700498654541953
"CD11b","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.739200139344072,"medium",0.717736253015317,0.760664025672826
"CD11c","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.172619756801766,"small",0.151090211500562,0.194149302102971
"CD11c","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.203403829405847,"medium",0.181999275238588,0.224808383573106
"CD11c","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.405552241208616,"medium",0.384672702485596,0.426431779931636
"CD11c","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.0117671761559541,"small",-0.0098192528682256,0.0333536051801338
"CD11c","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.234297255112536,"medium",0.213312704890184,0.255281805334889
"CD11c","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.240676292846148,"medium",0.219832243123492,0.261520342568803
"CD14","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.381426543423396,"medium",0.359742534580484,0.403110552266308
"CD14","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.716180420387291,"medium",0.694157281683604,0.738203559090978
"CD14","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.29046895256122,"large",1.26775688777611,1.31318101734634
"CD14","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.311629035026448,"medium",0.289912191038331,0.333345879014565
"CD14","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.900865445104214,"large",0.878923246659977,0.92280764354845
"CD14","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.618289581735113,"medium",0.597031946315083,0.639547217155144
"CD15","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.0233372187954339,"small",0.00184690690631958,0.0448275306845482
"CD15","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",-0.15402149009185,"",-0.175402542228663,-0.132640437955037
"CD15","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.946513533291271,"large",0.924721676045639,0.968305390536903
"CD15","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.183447838525911,"",-0.205079428361418,-0.161816248690405
"CD15","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.951481448154232,"large",0.929423482071605,0.973539414236858
"CD15","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.12487149234463,"large",1.10252663625214,1.14721634843712
"CD16","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.486664363149079,"medium",0.464859152040799,0.50846957425736
"CD16","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.455885745159165,"medium",0.434260803809513,0.477510686508817
"CD16","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.87832510156611,"large",0.856685738218969,0.899964464913251
"CD16","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.0237467595603212,"",-0.0453337624576953,-0.00215975666294715
"CD16","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.391399610584986,"medium",0.370288196619774,0.412511024550199
"CD16","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.412813536982828,"medium",0.391825128844371,0.433801945121285
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.03380324908883,"large",1.01092386980727,1.0566826283704
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.655894759063001,"medium",0.633978867957794,0.677810650168208
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.64892944624719,"large",1.6250146115718,1.67284428092257
"CD163","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.286676179795186,"",-0.308372997119204,-0.264979362471167
"CD163","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.559173660860837,"medium",0.537858026611787,0.580489295109888
"CD163","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.8338432962478,"large",0.812194030308383,0.855492562187218
"CD20","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.633261642103918,"medium",0.611240291990028,0.655282992217807
"CD20","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.560025823799875,"medium",0.538261969634314,0.581789677965436
"CD20","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.566036516002233,"medium",0.54495917508008,0.587113856924387
"CD20","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.127208452734558,"",-0.148816512102743,-0.105600393366373
"CD20","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.234481797967595,"medium",0.213497135758678,0.255466460176511
"CD20","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.31235895435954,"medium",0.291463916892813,0.333253991826268
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.23918071822682,"large",1.21572010824207,1.26264132821157
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.858201403228266,"large",0.835890938048641,0.880511868407891
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.24885536251167,"large",2.2224663353272,2.27524438969614
"CD209","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.244512373468636,"",-0.266179112331128,-0.222845634606144
"CD209","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.862693370642935,"large",0.840834671724266,0.884552069561603
"CD209","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.07336534814275,"large",1.05115691755994,1.09557377872556
"CD3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.00935357074326633,"small",-0.012136127476138,0.0308432689626707
"CD3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",-0.295669999473241,"",-0.31713574595255,-0.274204252993931
"CD3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.618692698045154,"medium",0.59753673717336,0.639848658916949
"CD3","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.288305146269825,"",-0.310003220547515,-0.266607071992135
"CD3","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.586901790737546,"medium",0.56554569658327,0.608257884891822
"CD3","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.841100470756639,"large",0.81943613925469,0.862764802258587
"CD31","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.109408514250687,"small",0.0879028700863794,0.130914158414994
"CD31","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",-0.146009497221918,"",-0.167387346585221,-0.124631647858614
"CD31","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.868513115919067,"large",0.846894842064388,0.890131389773746
"CD31","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.248036911172062,"",-0.26970598293884,-0.226367839405285
"CD31","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.753235605952176,"medium",0.731597832669714,0.774873379234638
"CD31","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.975914287038488,"large",0.953948551690457,0.99788002238652
"CD4","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.636799616176351,"medium",0.614772380301106,0.658826852051597
"CD4","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.45423908634016,"medium",0.4326161191652,0.475862053515119
"CD4","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.42626245743143,"large",1.40312215653439,1.44940275832847
"CD4","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.159194339284345,"",-0.180814739866113,-0.137573938702576
"CD4","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.689940144320031,"medium",0.668417354663419,0.711462933976642
"CD4","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.854103214939808,"large",0.832411590521079,0.875794839358536
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.811869220824624,"large",0.789512293910573,0.834226147738675
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.09722896213299,"large",1.07432951395536,1.12012841031063
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.56562859595292,"large",1.54201362505075,1.58924356685508
"CD44","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.191128488184457,"small",0.169493026013528,0.212763950355386
"CD44","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.835316058087434,"large",0.813515206450546,0.857116909724321
"CD44","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.728993680363784,"medium",0.707548541892904,0.750438818834664
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.53152750814039,"large",1.50709115293424,1.55596386334653
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.69542056867245,"large",1.6705297001275,1.72031143721741
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.19754851597915,"large",2.17139056531568,2.22370646664262
"CD45RA","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.125298719111708,"small",0.103691309572801,0.146906128650615
"CD45RA","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.06331282861435,"large",1.04097910711979,1.08564655010892
"CD45RA","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.97643635600449,"large",0.954469375168728,0.998403336840252
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.969916681810984,"large",0.947199284896007,0.992634078725962
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.934485573061836,"large",0.912001184941071,0.9569699611826
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.21599424815399,"large",1.19350197407896,1.23848652222903
"CD45RO","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.123784097850762,"",-0.145390998981852,-0.102177196719673
"CD45RO","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.351935896853863,"medium",0.330862262334513,0.373009531373213
"CD45RO","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.481062361894056,"medium",0.459996078449901,0.50212864533821
"CD56","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.421723066656234,"medium",0.399996042883404,0.443450090429063
"CD56","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.767174553404581,"medium",0.745053794268164,0.789295312540998
"CD56","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.99050131997735,"large",1.96524096922611,2.0157616707286
"CD56","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.321059599251594,"medium",0.299334756681054,0.342784441822135
"CD56","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.57940379716215,"large",1.55546860546307,1.60333898886122
"CD56","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.33554011043703,"large",1.31258104889609,1.35849917197798
"CD66a","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.251031632555568,"medium",0.229457620782417,0.272605644328718
"CD66a","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.223329287283489,"medium",0.201913420584038,0.244745153982941
"CD66a","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.834951364397668,"large",0.813403584954662,0.856499143840674
"CD66a","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.0560671028242171,"",-0.0776575849980779,-0.0344766206503563
"CD66a","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.626944690599517,"medium",0.605526860018481,0.648362521180552
"CD66a","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.705859526000184,"medium",0.684455975274239,0.727263076726129
"CD68","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.342929535697403,"medium",0.321282657868864,0.364576413525942
"CD68","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.351303760166253,"medium",0.329790303312448,0.372817217020058
"CD68","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.964690525936019,"large",0.942856284679941,0.986524767192096
"CD68","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.0195701811988403,"",-0.0411569400621164,0.00201657766443581
"CD68","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.668207682916711,"medium",0.646722178337366,0.689693187496055
"CD68","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.71950840828677,"medium",0.698080473684426,0.740936342889115
"CD8","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.270784897236119,"medium",0.249197106629551,0.292372687842688
"CD8","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.296824285683368,"medium",0.275357631679047,0.318290939687689
"CD8","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.707317200642934,"medium",0.686013924515328,0.72862047677054
"CD8","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",0.018426756103013,"small",-0.00315994415569663,0.0400134563617226
"CD8","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.48899251256092,"medium",0.467770831568759,0.510214193553082
"CD8","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.482319930579833,"medium",0.461252103522936,0.50338775763673
"Collagen","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",-0.0366848892131708,"",-0.0581762765478776,-0.015193501878464
"Collagen","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",-0.645476659781477,"",-0.667374922140171,-0.623578397422782
"Collagen","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.83602055178784,"large",1.81139084456703,1.86065025900866
"Collagen","Stanford_OSCC_Tris_20min","Stanford_OSCC_Tris_40min",-0.657272638465155,"",-0.679433961958821,-0.635111314971489
"Collagen","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.94837386287875,"large",1.92300438571126,1.97374334004624
"Collagen","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",2.60831539374325,"large",2.58009144892961,2.63653933855689
"Desmin","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",-0.358494950696838,"",-0.380156373929304,-0.336833527464372
"Desmin","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",-0.36417946791188,"",-0.385705118968364,-0.342653816855396
"Desmin","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.58697419978194,"medium",0.565866399427467,0.608082000136412
