"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.7168433748409,"large",1.69170639503213,1.74198035464967
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.53295682528505,"large",1.50867360255659,1.5572400480135
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.29720137882392,"large",2.27059162791166,2.32381112973619
"CD14","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.29046895256122,"large",1.26775688777611,1.31318101734634
"CD14","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.900865445104214,"large",0.878923246659977,0.92280764354845
"CD15","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.946513533291271,"large",0.924721676045639,0.968305390536903
"CD15","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.951481448154232,"large",0.929423482071605,0.973539414236858
"CD15","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.12487149234463,"large",1.10252663625214,1.14721634843712
"CD16","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.87832510156611,"large",0.856685738218969,0.899964464913251
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.03380324908883,"large",1.01092386980727,1.0566826283704
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.64892944624719,"large",1.6250146115718,1.67284428092257
"CD163","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.8338432962478,"large",0.812194030308383,0.855492562187218
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.23918071822682,"large",1.21572010824207,1.26264132821157
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.858201403228266,"large",0.835890938048641,0.880511868407891
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.24885536251167,"large",2.2224663353272,2.27524438969614
"CD209","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.862693370642935,"large",0.840834671724266,0.884552069561603
"CD209","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.07336534814275,"large",1.05115691755994,1.09557377872556
"CD3","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.841100470756639,"large",0.81943613925469,0.862764802258587
"CD31","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.868513115919067,"large",0.846894842064388,0.890131389773746
"CD31","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.975914287038488,"large",0.953948551690457,0.99788002238652
"CD4","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.42626245743143,"large",1.40312215653439,1.44940275832847
"CD4","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.854103214939808,"large",0.832411590521079,0.875794839358536
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.811869220824624,"large",0.789512293910573,0.834226147738675
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.09722896213299,"large",1.07432951395536,1.12012841031063
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.56562859595292,"large",1.54201362505075,1.58924356685508
"CD44","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.835316058087434,"large",0.813515206450546,0.857116909724321
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.53152750814039,"large",1.50709115293424,1.55596386334653
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.69542056867245,"large",1.6705297001275,1.72031143721741
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.19754851597915,"large",2.17139056531568,2.22370646664262
"CD45RA","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.06331282861435,"large",1.04097910711979,1.08564655010892
"CD45RA","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.97643635600449,"large",0.954469375168728,0.998403336840252
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.969916681810984,"large",0.947199284896007,0.992634078725962
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",0.934485573061836,"large",0.912001184941071,0.9569699611826
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.21599424815399,"large",1.19350197407896,1.23848652222903
"CD56","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.99050131997735,"large",1.96524096922611,2.0157616707286
"CD56","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.57940379716215,"large",1.55546860546307,1.60333898886122
"CD56","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.33554011043703,"large",1.31258104889609,1.35849917197798
"CD66a","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.834951364397668,"large",0.813403584954662,0.856499143840674
"CD68","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.964690525936019,"large",0.942856284679941,0.986524767192096
"Collagen","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.83602055178784,"large",1.81139084456703,1.86065025900866
"Collagen","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.94837386287875,"large",1.92300438571126,1.97374334004624
"Collagen","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",2.60831539374325,"large",2.58009144892961,2.63653933855689
"Desmin","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.93251034046367,"large",0.91049643407719,0.95452424685015
"Desmin","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.940750405126949,"large",0.918867183371744,0.962633626882154
"FOXP3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.43916669560759,"large",1.4150564338164,1.46327695739878
"FOXP3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.21628512938751,"large",1.19304558480669,1.23952467396833
"FOXP3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.48774254711513,"large",2.46023607481165,2.51524901941862
"FOXP3","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.10217687046565,"large",1.07989281080266,1.12446093012863
"Granzyme B","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.72138358567734,"large",2.69272377263542,2.75004339871925
"Granzyme B","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",2.54694229276823,"large",2.51883897931047,2.575045606226
"Granzyme B","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",2.72509245141249,"large",2.69628227479099,2.75390262803399
"Ki67","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.870530381099875,"large",0.848907789088595,0.892152973111156
"Ki67","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.885879699086707,"large",0.863970674087057,0.907788724086356
"Ki67","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.0317064924923,"large",1.00960430685515,1.05380867812944
"Neurofilament","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.13015937357738,"large",1.10716886667427,1.15314988048048
"Neurofilament","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.68120630661268,"large",2.6527487646391,2.70966384858625
"Neurofilament","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",2.25200106761992,"large",2.22530090481381,2.27870123042603
"Neurofilament","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.78192143874689,"large",1.75738934995135,1.80645352754242
"PD1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",2.75723850564054,"large",2.72723121015523,2.78724580112584
"PD1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",2.53937044382328,"large",2.51067962142309,2.56806126622347
"PD1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",3.37828722620379,"large",3.34612119256737,3.41045325984021
"PD1","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",0.804883582830717,"large",0.783145016079589,0.826622149581844
"PD1","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.930902742047891,"large",0.909042139824727,0.952763344271055
"PDL1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.91141847879062,"large",1.88548394069028,1.93735301689096
"PDL1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.50083942016028,"large",1.47667076517253,1.52500807514803
"PDL1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.81541613498912,"large",2.7862768805547,2.84455538942353
"PDL1","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.99687519819943,"large",0.974858989947121,1.01889140645174
"PanCK","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.803149482394606,"large",0.78156260321979,0.824736361569422
"Podoplanin","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.42630503306054,"large",1.40316459248936,1.44944547363173
"Podoplanin","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.16646275433028,"large",1.14385101316469,1.18907449549587
"Podoplanin","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.998403794739452,"large",0.976383868318174,1.02042372116073
"SOX9","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.868294614928864,"large",0.845815689061262,0.890773540796465
"SOX9","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.172536148038,"large",1.14942505579136,1.19564724028464
"SOX9","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.54497210965751,"large",2.51718837312923,2.5727558461858
"SOX9","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.61693157695331,"large",1.59286063526909,1.64100251863753
"SOX9","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.2988886725103,"large",1.27604277457798,1.32173457044261
"TenascinC","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.948512620990428,"large",0.92584742858391,0.971177813396946
"TenascinC","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.53808551690647,"large",2.51033533021498,2.56583570359796
"TenascinC","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.63234679339374,"large",1.60821939237606,1.65647419441142
"TenascinC","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.83101224125318,"large",1.80628685338438,1.85573762912198
"VEGF","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.18914614972028,"large",2.16302572540193,2.21526657403862
"VEGF","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.7691056413338,"large",1.74446007072309,1.79375121194452
"VEGF","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.62500319785113,"large",1.60106319673416,1.6489431989681
"aSMA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.02365297400594,"large",1.00079994223714,1.04650600577474
"aSMA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.32904457517718,"large",1.30621441344687,1.35187473690748
"aSMA","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.807622341296557,"large",0.786026505358627,0.829218177234486
"pMK2","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",1.39734031683355,"large",1.37429412650474,1.42038650716237
"pNFkB","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.42682330003622,"large",1.40275540394957,1.45089119612288
"pNFkB","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.91375671410145,"large",1.88797981603069,1.9395336121722
"pNFkB","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",3.20718044643309,"large",3.17596060791425,3.23840028495193
"pNFkB","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.80482098112105,"large",1.7800351199231,1.829606842319
"pNFkB","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.21058556953714,"large",1.18800152507395,1.23316961400032
"pSTAT1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.80835682899919,"large",1.78285229837513,1.83386135962325
"pSTAT1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",2.14744415561601,"large",2.12063900813488,2.17424930309713
"pSTAT1","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.59286551686407,"large",2.56484707428624,2.62088395944189
"pSTAT1","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.00533263852947,"large",0.983145280039195,1.02751999701975
"pSTAT1","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.841509757121351,"large",0.819844572384187,0.863174941858515
"pSTAT3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",1.43623303251118,"large",1.41213286610259,1.46033319891978
"pSTAT3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",1.37935557501928,"large",1.355602885741,1.40310826429755
"pSTAT3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",2.42034482061889,"large",2.39316027789399,2.4475293633438
"pSTAT3","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.11695186060206,"large",1.09447634639133,1.1394273748128
"pSTAT3","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.20197093719407,"large",1.17941160781192,1.22453026657622
"pSTAT5","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",3.30154286820252,"large",3.26851692269042,3.33456881371463
"pSTAT5","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_40min",3.65345045822507,"large",3.61857616696866,3.68832474948149
"pSTAT5","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",3.89253352701832,"large",3.85740998386654,3.92765707017011
"pSTAT5","Stanford_OSCC_Tris_20min","Stanford_OSCC_Citra_20min",1.1907971260032,"large",1.16811657751942,1.21347767448697
"pSTAT5","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",1.05188964999075,"large",1.02973645164878,1.07404284833271
