"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"Ki67","Stanford_Tonsil_2","Stanford_Tonsil_24",0.153397572795799,0.491802945179141,0.338405372383343,0,0
"CD68","Stanford_Tonsil_1","Stanford_Tonsil_24",0.145767286895933,0.38312914554463,0.237361858648698,0,0
"pS6","Stanford_Tonsil_2","Stanford_Tonsil_24",0.160842768133588,0.350410558926179,0.189567790792591,0,0
"aSMA","Stanford_Tonsil_3","Stanford_Tonsil_1",0.211987972148026,0.396811416966849,0.184823444818823,0,0
"CD15","Stanford_Tonsil_1","Stanford_Tonsil_24",0.17468385699623,0.355343895633091,0.180660038636861,0,0
"Collagen1","Stanford_Tonsil_2","Stanford_Tonsil_24",0.141095086054182,0.31896339142691,0.177868305372728,0,0
"GRZB","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0760036763858295,0.250183168191911,0.174179491806082,0,0
"CD163","Stanford_Tonsil_2","Stanford_Tonsil_24",0.119006883963588,0.277480054905983,0.158473170942395,0,0
"HLADR","Stanford_Tonsil_2","Stanford_Tonsil_24",0.204325343896408,0.358950492481694,0.154625148585285,0,0
"CD31","Stanford_Tonsil_2","Stanford_Tonsil_24",0.194464572868272,0.337709328550838,0.143244755682566,0,0
"CD66a","Stanford_Tonsil_2","Stanford_Tonsil_24",0.189430148451836,0.330072919213221,0.140642770761385,0,0
"CD11c","Stanford_Tonsil_2","Stanford_Tonsil_24",0.131868955157149,0.270835452471197,0.138966497314048,0,0
"CD11b","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0804182937062236,0.207149435455951,0.126731141749727,0,0
"CD8a","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0897075898807671,0.20352334402998,0.113815754149213,0,0
"pMK2","Stanford_Tonsil_2","Stanford_Tonsil_24",0.144871530157964,0.244756702503008,0.0998851723450445,2,2
"PDL1","Stanford_Tonsil_2","Stanford_Tonsil_24",0.108096061037019,0.20335800234063,0.0952619413036109,0,0
"PD1","Stanford_Tonsil_2","Stanford_Tonsil_24",0.10110905302805,0.183109773671713,0.0820007206436637,2,2
"CD20","Stanford_Tonsil_2","Stanford_Tonsil_24",0.147141251395907,0.224838790124789,0.0776975387288825,0,0
"CD45RA","Stanford_Tonsil_2","Stanford_Tonsil_1",0.220463255176623,0.295643418899657,0.0751801637230343,0,0
"Podoplanin","Stanford_Tonsil_1","Stanford_Tonsil_24",0.0785386732799003,0.150878924859772,0.0723402515798714,0,0
"CD3","Stanford_Tonsil_2","Stanford_Tonsil_24",0.104049914936508,0.176347483744573,0.0722975688080651,0,0
"CD209","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0937438609545203,0.162834951421348,0.0690910904668282,2,2
"CD45RO","Stanford_Tonsil_3","Stanford_Tonsil_24",0.256323983078143,0.319153393999405,0.062829410921262,0,0
"PanCK","Stanford_Tonsil_24","Stanford_Tonsil_1",0.173125153686884,0.235691778125927,0.0625666244390421,0,0
"CD16","Stanford_Tonsil_2","Stanford_Tonsil_24",0.102422008097639,0.163767545150598,0.0613455370529596,2,2
"CD4","Stanford_Tonsil_2","Stanford_Tonsil_24",0.116291685069474,0.170256917560146,0.0539652324906725,1,1
"pSTAT3","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0847453249207138,0.132352923439205,0.0476075985184908,2,2
"SOX9","Stanford_Tonsil_2","Stanford_Tonsil_24",0.159355967816695,0.201962989433044,0.0426070216163495,1,1
"CD44","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0883827609278118,0.124300498264093,0.0359177373362816,0,0
"CD14","Stanford_Tonsil_2","Stanford_Tonsil_24",0.0755435557003115,0.108387317313229,0.0328437616129176,0,0
"TenascinC","Stanford_Tonsil_2","Stanford_Tonsil_24",0.162638363937907,0.188318219659378,0.0256798557214716,2,2
