"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.702875994642131,"medium",0.602072734637299,0.803679254646964
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.36379857181167,"large",1.27627218941203,1.45132495421131
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.88200341256425,"large",1.7813013194868,1.98270550564171
"CD11b","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",0.305731001671507,"medium",0.212672693344307,0.398789309998706
"CD11b","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.731321003210964,"medium",0.631635031683226,0.831006974738703
"CD11b","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.58305621098071,"medium",0.503972809722668,0.662139612238752
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.829210264062157,"large",0.727328020249159,0.931092507875154
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",0.241032089197881,"medium",0.161711198624861,0.320352979770901
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.07686158024611,"large",0.987142383065816,1.1665807774264
"CD11c","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.62346825378762,"",-0.717955576238712,-0.528980931336529
"CD11c","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.219529471668108,"medium",0.122519269005141,0.316539674331074
"CD11c","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.871852407903774,"large",0.790833164909686,0.952871650897862
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.18931559618736,"large",1.08347948389836,1.29515170847635
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.26056407987031,"large",1.17422164388914,1.34690651585149
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.07460789648662,"large",1.97063718316357,2.17857860980967
"CD14","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.0439097674269657,"",-0.136520513047242,0.0487009781933111
"CD14","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.788602045670948,"medium",0.688444898858293,0.888759192483602
"CD14","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.916866668760259,"large",0.835481716314325,0.998251621206194
"CD15","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.373403976178532,"medium",0.274608043702327,0.472199908654736
"CD15","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",0.165682344081311,"small",0.0865083668528406,0.244856321309782
"CD15","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.69404816406594,"medium",0.607709323742871,0.780387004389009
"CD15","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.231045207608499,"",-0.323907780446119,-0.138182634770878
"CD15","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.471197676687396,"medium",0.373223259416519,0.569172093958273
"CD15","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.657646952611851,"medium",0.57813312546145,0.737160779762251
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",2.20735708941088,"large",2.08444100598617,2.33027317283559
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.44750684015705,"large",1.35896491020803,1.53604877010608
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.13996048958595,"large",2.03483339438298,2.24508758478892
"CD16","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.448733986658765,"",-0.542317033327725,-0.355150939989805
"CD16","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.168292713019634,"small",0.0713933395633637,0.265192086475904
"CD16","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.591975299803602,"medium",0.512843037619638,0.671107561987565
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.14045462244369,"large",1.03522790204479,1.2456813428426
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.32387142968464,"large",1.23681207266287,1.41093078670642
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.35341835909076,"large",1.26046909243946,1.44636762574206
"CD163","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",0.299540215752366,"medium",0.206500185051532,0.3925802464532
"CD163","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.418007899551426,"medium",0.320294882889774,0.515720916213077
"CD163","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.158228586396274,"small",0.080627749993856,0.235829422798692
"CD20","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",-0.494493965129358,"",-0.593889034673935,-0.395098895584781
"CD20","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",-0.501148874436109,"",-0.581389062979841,-0.420908685892378
"CD20","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.291047999675822,"medium",0.206751602417735,0.37534439693391
"CD20","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.00698886482272253,"",-0.0995904001143916,0.0856126704689466
"CD20","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.849016842599362,"large",0.748326937904429,0.949706747294294
"CD20","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.831350111546656,"large",0.75064550790715,0.912054715186163
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.24141811274118,"large",1.1349081166718,1.34792810881056
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.20550653770004,"large",1.1197635937732,1.29124948162687
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.65141362768662,"large",1.55432788255185,1.74849937282139
"CD209","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",-0.0203896718984847,"",-0.112993005461698,0.0722136616647281
"CD209","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.583064627246392,"medium",0.484441409180249,0.681687845312535
"CD209","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.642424779997151,"medium",0.563002799507624,0.721846760486679
"CD3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",-0.821651483223217,"",-0.923464509722818,-0.719838456723616
"CD3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",-0.298586361729807,"",-0.378055861340332,-0.219116862119282
"CD3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.128754259873502,"small",0.0448133786021839,0.21269514114482
"CD3","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",0.791845572844198,"medium",0.696220381775789,0.887470763912606
"CD3","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.944022763939542,"large",0.842422098916496,1.04562342896259
"CD3","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.45120352173766,"medium",0.372758679944288,0.529648363531033
