"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_IMC_Tonsil_Citra_20min","CD68",0.0784253707273883,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","aSMA",0.424113032797891,FALSE,2,2
"Stanford_IMC_Tonsil_Citra_20min","CD45RO",0.33454845432813,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD45RA",0.203924693689007,FALSE,2,2
"Stanford_IMC_Tonsil_Citra_20min","CD14",0.303168906097703,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD209",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","CD16",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","CD163",0.18817181917921,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","pS6",0.29436842796163,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD11b",0.240979554527105,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","PDL1",0.133102126867205,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","PD1",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","pSTAT3",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","CD4",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","pMK2",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","CD31",0.298639679446078,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","CD20",0.287154312792208,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","CD8a",0.33986320961025,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD3",0.23905901199602,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","Granzyme B",0.296763180213114,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","Ki67",0.105508089618235,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","Collagen",0.374172814017489,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD44",0.238475639081865,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD66a",0.320013632145118,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","CD11c",0.212796433727898,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","HLADR",0.25001217198842,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","SOX9",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","TenascinC",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Citra_20min","PanCK",0.227735496591681,FALSE,3,3
"Stanford_IMC_Tonsil_Citra_20min","CD15",0.107323507635902,FALSE,4,4
"Stanford_IMC_Tonsil_Citra_20min","Podoplanin",0.273504021243892,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_10min","CD68",0.0128367385398602,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","aSMA",0.211289104657971,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD45RO",0.197455504048997,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD45RA",0.199127759806611,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD14",0.171692726397468,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD209",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","CD16",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","CD163",0.0753876302952982,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","pS6",0.192285299258888,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD11b",0.101119770819821,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","PDL1",0.0660671684594569,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","PD1",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","pSTAT3",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","CD4",0.173560265951117,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","pMK2",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","CD31",0.263208878771014,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_10min","CD20",0.301828362724708,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_10min","CD8a",0.249131434856452,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_10min","CD3",0.226216599044824,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_10min","Granzyme B",0.120235564318588,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_10min","Ki67",0.0286932610894317,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_10min","Collagen",0.189874575488184,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_10min","CD44",0.196372556568073,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_10min","CD66a",0.201743467335479,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","CD11c",0.142037675060508,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","HLADR",0.231632525468735,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_10min","SOX9",0.187606096438412,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_10min","TenascinC",NA,TRUE,NA,10
"Stanford_IMC_Tonsil_Tris_10min","PanCK",0.226131411948028,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_10min","CD15",0.0492984416388869,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_10min","Podoplanin",0.137362354043268,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD68",0.0181428282736424,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","aSMA",0.532493297494533,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","CD45RO",0.325204377484857,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","CD45RA",0.220823579986087,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","CD14",0.265775084055037,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","CD209",0.174950499055732,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","CD16",0.127514910567913,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD163",0.133878801359678,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","pS6",0.293705071637714,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","CD11b",0.284104195844397,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","PDL1",0.100648445740685,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","PD1",0.17226802353616,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","pSTAT3",0.14345929244716,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD4",0.176175676368155,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","pMK2",0.199746908225474,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD31",0.310391737470473,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","CD20",0.236212642553658,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD8a",0.204007522983428,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","CD3",0.125805029426,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","Granzyme B",0.118012259498196,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","Ki67",0.0357995441819029,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","Collagen",0.149404900236628,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD44",0.184361016360242,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD66a",0.215563241646788,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_20min","CD11c",0.21624985525658,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","HLADR",0.304969961914521,FALSE,4,4
"Stanford_IMC_Tonsil_Tris_20min","SOX9",0.265754840092074,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","TenascinC",0.0177591784485085,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_20min","PanCK",0.157486863164611,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","CD15",0.0350676597981023,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_20min","Podoplanin",0.203930533063596,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","CD68",0.0172800553121592,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","aSMA",0.456191166795195,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","CD45RO",0.311231954068385,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD45RA",0.212049956412746,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","CD14",0.212467023150896,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD209",0.167129884628298,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","CD16",0.136895881101549,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD163",0.15129047360615,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","pS6",0.24403100225577,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD11b",0.18039417158922,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","PDL1",0.12503757175813,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","PD1",0.1125757781228,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","pSTAT3",0.159377385325128,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD4",0.17992069739599,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","pMK2",0.258274444035126,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD31",0.247416952849252,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","CD20",0.245889493341077,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD8a",0.179499126997051,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","CD3",0.12958106553501,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","Granzyme B",0.104449097384892,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","Ki67",0.023198207286559,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","Collagen",0.16442770851513,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD44",0.213072371165772,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","CD66a",0.206929760887166,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","CD11c",0.149093641882257,FALSE,2,2
"Stanford_IMC_Tonsil_Tris_40min","HLADR",0.215762416574698,FALSE,1,1
"Stanford_IMC_Tonsil_Tris_40min","SOX9",0.271874922983733,FALSE,3,3
"Stanford_IMC_Tonsil_Tris_40min","TenascinC",0.01479856194863,FALSE,1,1
