marker,.y.,n,statistic,df,p,method,p.adj,p.adj.signif
CD11b,value,4304,1437.172517787041,3,2.53e-311,Kruskal-Wallis,4.322083333333e-311,****
CD11c,value,4304,720.2012763106683,3,8.739999999999997e-156,Kruskal-Wallis,1.0858787878787876e-155,****
CD14,value,4304,1614.297853632601,3,0,Kruskal-Wallis,0,****
CD15,value,4304,769.4780520945114,3,1.7999999999999994e-166,Kruskal-Wallis,2.3806451612903217e-166,****
CD16,value,4304,1881.3444928834053,3,0,Kruskal-Wallis,0,****
CD163,value,4304,1196.0497668968826,3,5.279999999999997e-259,Kruskal-Wallis,8.017777777777774e-259,****
CD20,value,4304,538.2931563379868,3,2.3999999999999996e-116,Kruskal-Wallis,2.733333333333333e-116,****
CD209,value,4304,1440.9106197129681,3,3.91e-312,Kruskal-Wallis,6.970000000005e-312,****
CD3,value,4304,448.5445662229694,3,6.74e-97,Kruskal-Wallis,7.272105263157894e-97,****
CD31,value,4304,688.7054014261702,3,5.899999999999999e-149,Kruskal-Wallis,7.11470588235294e-149,****
CD4,value,4304,881.3330987341053,3,9.909999999999995e-191,Kruskal-Wallis,1.354366666666666e-190,****
CD44,value,4304,1413.376695682351,3,3.6899999999999975e-306,Kruskal-Wallis,6.051599999999996e-306,****
CD45RA,value,4304,767.1187148117702,3,5.849999999999998e-166,Kruskal-Wallis,7.495312499999997e-166,****
CD45RO,value,4304,1483.7497327688795,3,1.98e-321,Kruskal-Wallis,3.69e-321,****
CD56,value,4304,1775.205886630439,3,0,Kruskal-Wallis,0,****
CD66a,value,4304,1329.6884040223347,3,5.319999999999997e-288,Kruskal-Wallis,8.389230769230764e-288,****
CD68,value,4304,2369.195743244307,3,0,Kruskal-Wallis,0,****
CD8a,value,4304,107.09720702220864,3,4.6199999999999997e-23,Kruskal-Wallis,4.735499999999999e-23,****
Collagen,value,4304,503.1760819312275,3,9.779999999999998e-109,Kruskal-Wallis,1.0837297297297295e-108,****
Desmin,value,4304,1176.2076408583391,3,1.0599999999999995e-254,Kruskal-Wallis,1.5521428571428563e-254,****
FOXP3,value,4304,1760.1452932569832,3,0,Kruskal-Wallis,0,****
Granzyme B,value,4304,2136.937887111738,3,0,Kruskal-Wallis,0,****
HLADR,value,4304,366.24569270250447,3,4.5299999999999995e-79,Kruskal-Wallis,4.762307692307692e-79,****
Hoechst,value,4304,19.36358708180133,3,2.3e-4,Kruskal-Wallis,2.3e-4,***
Ki67,value,4304,1758.5054882442837,3,0,Kruskal-Wallis,0,****
Neurofilament,value,4304,2343.1506422644,3,0,Kruskal-Wallis,0,****
PD1,value,4304,1744.6784443017116,3,0,Kruskal-Wallis,0,****
PDL1,value,4304,1529.2877834587327,3,0,Kruskal-Wallis,0,****
PanCK,value,4304,1493.7549410326583,3,1.5e-323,Kruskal-Wallis,3e-323,****
Podoplanin,value,4304,1510.8872443342657,3,0,Kruskal-Wallis,0,****
SOX9,value,4304,2138.6498782560525,3,0,Kruskal-Wallis,0,****
TenascinC,value,4304,1530.3674163628148,3,0,Kruskal-Wallis,0,****
VEGF,value,4304,1874.7721818464295,3,0,Kruskal-Wallis,0,****
aSMA,value,4304,680.1619256900922,3,4.199999999999999e-147,Kruskal-Wallis,4.919999999999999e-147,****
pCREB,value,4304,2125.146504925472,3,0,Kruskal-Wallis,0,****
pMK2,value,4304,1121.4544633584583,3,8.059999999999997e-243,Kruskal-Wallis,1.1395172413793099e-242,****
pNFkB,value,4304,2496.8123984496347,3,0,Kruskal-Wallis,0,****
pS6,value,4304,1608.6871403099913,3,0,Kruskal-Wallis,0,****
pSTAT1,value,4304,2228.2385781021476,3,0,Kruskal-Wallis,0,****
pSTAT3,value,4304,1871.8441170856279,3,0,Kruskal-Wallis,0,****
pSTAT5,value,4304,2387.7197483953373,3,0,Kruskal-Wallis,0,****
