"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"aSMA","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.211289104657971,0.532493297494533,0.321204192836562,0,0
"Collagen","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.149404900236628,0.374172814017489,0.224767913780861,0,0
"Granzyme B","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.104449097384892,0.296763180213114,0.192314082828222,0,0
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.101119770819821,0.284104195844397,0.182984425024576,0,0
"CD8a","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.179499126997051,0.33986320961025,0.160364082613199,0,0
"CD45RO","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.197455504048997,0.33454845432813,0.137092950279133,0,0
"Podoplanin","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.137362354043268,0.273504021243892,0.136141667200623,0,0
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.171692726397468,0.303168906097703,0.131476179700235,0,0
"CD66a","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.201743467335479,0.320013632145118,0.118270164809639,0,0
"CD3","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.125805029426,0.23905901199602,0.11325398257002,0,0
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.0753876302952982,0.18817181917921,0.112784188883912,0,0
"PanCK","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_40min",0.157486863164611,0.270104667966115,0.112617804801504,0,0
"pS6","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.192285299258888,0.29436842796163,0.102083128702742,0,0
"HLADR","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Tris_20min",0.215762416574698,0.304969961914521,0.0892075453398235,0,0
"SOX9","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.187606096438412,0.271874922983733,0.0842688265453204,1,1
"Ki67","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.023198207286559,0.105508089618235,0.0823098823316757,0,0
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.142037675060508,0.21624985525658,0.0742121801960719,0,0
"CD15","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.0350676597981023,0.107323507635902,0.0722558478377998,0,0
"PDL1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.0660671684594569,0.133102126867205,0.0670349584077477,0,0
"CD20","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Tris_10min",0.236212642553658,0.301828362724708,0.0656157201710497,0,0
"CD68","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.0128367385398602,0.0784253707273883,0.065588632187528,0,0
"CD31","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Tris_20min",0.247416952849252,0.310391737470473,0.0629747846212202,0,0
"PD1","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.1125757781228,0.17226802353616,0.05969224541336,2,2
"pMK2","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.199746908225474,0.258274444035126,0.0585275358096522,2,2
"CD44","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.184361016360242,0.238475639081865,0.0541146227216232,0,0
"CD45RA","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.199127759806611,0.220823579986087,0.0216958201794764,0,0
"pSTAT3","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.14345929244716,0.159377385325128,0.0159180928779681,2,2
"CD16","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.127514910567913,0.136895881101549,0.00938097053363562,2,2
"CD209","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.167129884628298,0.174950499055732,0.00782061442743318,2,2
"CD4","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.173560265951117,0.17992069739599,0.00636043144487317,1,1
"TenascinC","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.01479856194863,0.0177591784485085,0.0029606164998785,2,2
