"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD8","Stanford_MIBI_Colon_1","Stanford_MIBI_Colon_24",2.12357262729214,2.60038186945979,0.476809242167651,1,1
"MastCellTryptase_MastCellChymase","Stanford_MIBI_Colon_3","Stanford_MIBI_Colon_2",0.535563557792222,0.8543574085176,0.318793850725378,1,1
"CD68","Stanford_MIBI_Colon_2","Stanford_MIBI_Colon_24",1.04073346223951,1.34237369557609,0.301640233336586,0,0
"IDO","Stanford_MIBI_Colon_3","Stanford_MIBI_Colon_24",0.415524725954249,0.698820935987411,0.283296210033162,0,0
"CD56","Stanford_MIBI_Colon_1","Stanford_MIBI_Colon_24",0.433195271446449,0.686838352793101,0.253643081346652,0,0
"CD163","Stanford_MIBI_Colon_3","Stanford_MIBI_Colon_24",0.670737205806664,0.908704141760404,0.237966935953741,0,0
"SMA","Stanford_MIBI_Colon_1","Stanford_MIBI_Colon_24",0.486886968819934,0.72361099412453,0.236724025304596,0,0
"CD31","Stanford_MIBI_Colon_1","Stanford_MIBI_Colon_24",1.09305229135128,1.29888158384428,0.205829292493002,0,0
"Vimentin","Stanford_MIBI_Colon_2","Stanford_MIBI_Colon_24",0.535827585789622,0.722772749683382,0.186945163893761,0,0
"CD4","Stanford_MIBI_Colon_1","Stanford_MIBI_Colon_24",0.941170991053026,0.949347820931644,0.00817682987861768,2,2
