"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_MIBI_Colon_Citra_20min","Vimentin",0.373323930648869,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","aSMA",0.206995801719818,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","Mast Cell Tryptase",0.190264419363364,FALSE,3,3
"Stanford_MIBI_Colon_Citra_20min","IDO",0.320420654364146,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","CD163",0.51294120535968,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","CD68",0.73086589855866,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","CD56",0.32123484161005,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","CD31",0.700674621000953,FALSE,4,4
"Stanford_MIBI_Colon_Citra_20min","CD8",NA,TRUE,NA,10
"Stanford_MIBI_Colon_Citra_20min","CD4",NA,TRUE,NA,10
"Stanford_MIBI_Colon_Tris_10min","Vimentin",0.173980247869121,FALSE,1,1
"Stanford_MIBI_Colon_Tris_10min","aSMA",0.101357731887773,FALSE,3,3
"Stanford_MIBI_Colon_Tris_10min","Mast Cell Tryptase",0.0865867839578309,FALSE,1,1
"Stanford_MIBI_Colon_Tris_10min","IDO",0.128904963056354,FALSE,1,1
"Stanford_MIBI_Colon_Tris_10min","CD163",0.251507363263747,FALSE,1,1
"Stanford_MIBI_Colon_Tris_10min","CD68",0.46157164814321,FALSE,3,3
"Stanford_MIBI_Colon_Tris_10min","CD56",0.135140435668356,FALSE,2,2
"Stanford_MIBI_Colon_Tris_10min","CD31",0.546608946340561,FALSE,3,3
"Stanford_MIBI_Colon_Tris_10min","CD8",1.54955879490312,FALSE,3,3
"Stanford_MIBI_Colon_Tris_10min","CD4",NA,TRUE,NA,10
"Stanford_MIBI_Colon_Tris_20min","Vimentin",0.230151413636797,FALSE,3,3
"Stanford_MIBI_Colon_Tris_20min","aSMA",0.0694683026885324,FALSE,1,1
"Stanford_MIBI_Colon_Tris_20min","Mast Cell Tryptase",0.111668440637713,FALSE,2,2
"Stanford_MIBI_Colon_Tris_20min","IDO",0.170593552507296,FALSE,3,3
"Stanford_MIBI_Colon_Tris_20min","CD163",0.322911338121918,FALSE,2,2
"Stanford_MIBI_Colon_Tris_20min","CD68",0.418753318108698,FALSE,1,1
"Stanford_MIBI_Colon_Tris_20min","CD56",0.104982328481559,FALSE,1,1
"Stanford_MIBI_Colon_Tris_20min","CD31",0.428860679449336,FALSE,1,1
"Stanford_MIBI_Colon_Tris_20min","CD8",1.22336677576991,FALSE,1,1
"Stanford_MIBI_Colon_Tris_20min","CD4",0.429040827769699,FALSE,1,1
"Stanford_MIBI_Colon_Tris_40min","Vimentin",0.183279746523403,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","aSMA",0.0948925002292431,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","Mast Cell Tryptase",NA,TRUE,NA,10
"Stanford_MIBI_Colon_Tris_40min","IDO",0.151259543880959,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","CD163",0.344220564007425,FALSE,3,3
"Stanford_MIBI_Colon_Tris_40min","CD68",0.431242112964558,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","CD56",0.19340469619536,FALSE,3,3
"Stanford_MIBI_Colon_Tris_40min","CD31",0.510022319119228,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","CD8",1.32818756853283,FALSE,2,2
"Stanford_MIBI_Colon_Tris_40min","CD4",0.555155029376094,FALSE,2,2
