"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"GranzymeB","Stanford_MIBI_Liver_24","Stanford_MIBI_Liver_3",1.43522000970469,1.84276228936411,0.407542279659423,0,0
"CD8","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_24",1.08118487842685,1.43556200888554,0.354377130458694,1,1
"SMA","Stanford_MIBI_Liver_3","Stanford_MIBI_Liver_24",0.807975940863842,1.14771456912887,0.339738628265033,0,0
"HLADR","Stanford_MIBI_Liver_1","Stanford_MIBI_Liver_24",0.568863182320011,0.804447889103136,0.235584706783125,0,0
"MastCellTryptase_MastCellChymase","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_1",0.316836463857072,0.511539207907942,0.19470274405087,0,0
"CD163","Stanford_MIBI_Liver_1","Stanford_MIBI_Liver_2",0.462780319530937,0.652268984650878,0.189488665119942,0,0
"HLA1ABC","Stanford_MIBI_Liver_1","Stanford_MIBI_Liver_2",0.500567349842046,0.679434213538827,0.17886686369678,0,0
"CD4","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_3",0.617627313748227,0.763002136823692,0.145374823075465,0,0
"CD14","Stanford_MIBI_Liver_24","Stanford_MIBI_Liver_2",0.348997782741916,0.454976526850886,0.105978744108969,0,0
"CD45","Stanford_MIBI_Liver_3","Stanford_MIBI_Liver_24",0.473504758907099,0.57874495860385,0.105240199696751,0,0
"Vimentin","Stanford_MIBI_Liver_1","Stanford_MIBI_Liver_3",0.633958681436261,0.694480016945384,0.0605213355091226,0,0
"CD68","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_1",0.655496320541947,0.711410779963597,0.055914459421651,0,0
"Calprotectin","Stanford_MIBI_Liver_1","Stanford_MIBI_Liver_2",1.34955705370746,1.40100470318908,0.0514476494816258,0,0
"CD31","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_24",0.864469181231849,0.894100214663639,0.0296310334317906,1,1
"CD3e","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_24",0.602217691189754,0.622149911496049,0.0199322203062946,2,2
