"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"GranzymeB","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.761706277736428,1.18054463280874,0.418838355072308,0,0
"Calprotectin","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.708608639235376,0.937854719785921,0.229246080550545,0,0
"CD14","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.301907909105216,0.500488098725976,0.19858018962076,0,0
"CD8","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.531190779776076,0.701037930943118,0.169847151167042,0,0
"CD68","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.378248595295932,0.539854146633883,0.161605551337951,0,0
"PD1","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.590243204504635,0.742954108210262,0.152710903705627,0,0
"Vimentin","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.1908497979453,0.333639189279633,0.142789391334333,0,0
"HLA1ABC","Stanford_MIBI_LymphNode_24","Stanford_MIBI_LymphNode_1",0.235984085892707,0.375259916369727,0.139275830477019,0,0
"MastCellTryptase_MastCellChymase","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.310671953039229,0.448251019060012,0.137579066020783,0,0
"CD11c","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_24",0.541085300582379,0.67572080508048,0.134635504498101,0,0
"SMA","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_24",0.416818773363718,0.550120556854049,0.133301783490331,0,0
"ICOS","Stanford_MIBI_LymphNode_1","Stanford_MIBI_LymphNode_24",0.252402873925313,0.378304952013583,0.125902078088271,0,0
"CD3e","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.358538965259203,0.477047643299042,0.118508678039839,0,0
"IDO","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_1",0.211752703448667,0.323432154935274,0.111679451486607,0,0
"HLADR","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.363279184302126,0.465817380140204,0.102538195838078,0,0
"FOXP3","Stanford_MIBI_LymphNode_2","Stanford_MIBI_LymphNode_24",0.413675765623858,0.513348245103434,0.0996724794795765,1,1
"CD45","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.152011990417064,0.245077246534663,0.0930652561176,0,0
"CD20","Stanford_MIBI_LymphNode_24","Stanford_MIBI_LymphNode_1",0.326357045266103,0.399583392617299,0.0732263473511966,0,0
"CD31","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_24",0.413245374989124,0.475685631528752,0.0624402565396283,0,0
"CD4","Stanford_MIBI_LymphNode_1","Stanford_MIBI_LymphNode_24",0.350703652979068,0.408721260872285,0.0580176078932163,0,0
"Ki67","Stanford_MIBI_LymphNode_3","Stanford_MIBI_LymphNode_1",0.310369200203007,0.32644218773571,0.0160729875327024,0,0
