"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_MIBI_Slide2","Vimentin",0.117506541934876,FALSE,4,4
"Stanford_MIBI_Slide2","aSMA",0.0738794369654047,FALSE,2,2
"Stanford_MIBI_Slide2","PD1",0.344278047392279,FALSE,3,3
"Stanford_MIBI_Slide2","Mast Cell Tryptase",0.183145912210399,FALSE,4,4
"Stanford_MIBI_Slide2","Ki67",0.151453420662295,FALSE,3,3
"Stanford_MIBI_Slide2","IDO",0.144013838090532,FALSE,4,4
"Stanford_MIBI_Slide2","ICOS",0.0812463677261783,FALSE,1,1
"Stanford_MIBI_Slide2","HLADR",0.242010303116136,FALSE,4,4
"Stanford_MIBI_Slide2","HLA1 ABC",0.203150372335525,FALSE,4,4
"Stanford_MIBI_Slide2","Granzyme B",0.47915891447771,FALSE,2,2
"Stanford_MIBI_Slide2","FOXP3",0.284479156127333,FALSE,2,2
"Stanford_MIBI_Slide2","CD68",0.180794849964045,FALSE,3,3
"Stanford_MIBI_Slide2","CD45",0.0694051699846688,FALSE,4,4
"Stanford_MIBI_Slide2","CD31",0.156824041234519,FALSE,3,3
"Stanford_MIBI_Slide2","CD20",0.159926154668199,FALSE,4,4
"Stanford_MIBI_Slide2","CD14",0.237419432990702,FALSE,3,3
"Stanford_MIBI_Slide2","CD11c",0.391728937387242,FALSE,3,3
"Stanford_MIBI_Slide2","CD8",0.328769210222924,FALSE,3,3
"Stanford_MIBI_Slide2","CD4",0.127469249112732,FALSE,2,2
"Stanford_MIBI_Slide2","CD3e",0.197630552809224,FALSE,3,3
"Stanford_MIBI_Slide2","Calprotein",0.587582243758376,FALSE,3,3
"Stanford_MIBI_Slide3","Vimentin",0.0519410673474049,FALSE,3,3
"Stanford_MIBI_Slide3","aSMA",0.0648894349229754,FALSE,1,1
"Stanford_MIBI_Slide3","PD1",0.287933767087286,FALSE,1,1
"Stanford_MIBI_Slide3","Mast Cell Tryptase",0.0811661007538514,FALSE,2,2
"Stanford_MIBI_Slide3","Ki67",0.119299093850917,FALSE,1,1
"Stanford_MIBI_Slide3","IDO",0.0528909321341664,FALSE,1,1
"Stanford_MIBI_Slide3","ICOS",0.0874041600584081,FALSE,2,2
"Stanford_MIBI_Slide3","HLADR",0.176174022408394,FALSE,2,2
"Stanford_MIBI_Slide3","HLA1 ABC",0.126123608817351,FALSE,3,3
"Stanford_MIBI_Slide3","Granzyme B",0.408510078935899,FALSE,1,1
"Stanford_MIBI_Slide3","FOXP3",0.238767050940489,FALSE,1,1
"Stanford_MIBI_Slide3","CD68",0.106588801645928,FALSE,1,1
"Stanford_MIBI_Slide3","CD45",0.0450122152506957,FALSE,2,2
"Stanford_MIBI_Slide3","CD31",0.113427006616654,FALSE,1,1
"Stanford_MIBI_Slide3","CD20",0.13728210774893,FALSE,3,3
"Stanford_MIBI_Slide3","CD14",0.162645600641865,FALSE,2,2
"Stanford_MIBI_Slide3","CD11c",0.34560624613761,FALSE,2,2
"Stanford_MIBI_Slide3","CD8",0.261764712901867,FALSE,1,1
"Stanford_MIBI_Slide3","CD4",0.116557671641417,FALSE,1,1
"Stanford_MIBI_Slide3","CD3e",0.134933627199214,FALSE,1,1
"Stanford_MIBI_Slide3","Calprotein",0.52707424470867,FALSE,1,1
"Stanford_MIBI_Slide4","Vimentin",0.033496768262034,FALSE,1,1
"Stanford_MIBI_Slide4","aSMA",0.0745579225119914,FALSE,3,3
"Stanford_MIBI_Slide4","PD1",0.325698662253595,FALSE,2,2
"Stanford_MIBI_Slide4","Mast Cell Tryptase",0.0684865724958544,FALSE,1,1
"Stanford_MIBI_Slide4","Ki67",0.134025065588053,FALSE,2,2
"Stanford_MIBI_Slide4","IDO",0.0639819425815747,FALSE,2,2
"Stanford_MIBI_Slide4","ICOS",0.103275318561958,FALSE,3,3
"Stanford_MIBI_Slide4","HLADR",0.136108190738702,FALSE,1,1
"Stanford_MIBI_Slide4","HLA1 ABC",0.0915219197307894,FALSE,1,1
"Stanford_MIBI_Slide4","Granzyme B",0.479734405674159,FALSE,3,3
"Stanford_MIBI_Slide4","FOXP3",0.319057596354048,FALSE,3,3
"Stanford_MIBI_Slide4","CD68",0.140427525763388,FALSE,2,2
"Stanford_MIBI_Slide4","CD45",0.0382026668800863,FALSE,1,1
"Stanford_MIBI_Slide4","CD31",0.130558058866163,FALSE,2,2
"Stanford_MIBI_Slide4","CD20",0.13084629379731,FALSE,1,1
"Stanford_MIBI_Slide4","CD14",0.126404742663357,FALSE,1,1
"Stanford_MIBI_Slide4","CD11c",0.333002423844534,FALSE,1,1
"Stanford_MIBI_Slide4","CD8",0.320684561384718,FALSE,2,2
"Stanford_MIBI_Slide4","CD4",0.147835197244727,FALSE,3,3
"Stanford_MIBI_Slide4","CD3e",0.163938349276007,FALSE,2,2
"Stanford_MIBI_Slide4","Calprotein",0.550711942314314,FALSE,2,2
"Stanford_MIBI_Slide5","Vimentin",0.0488678085754822,FALSE,2,2
"Stanford_MIBI_Slide5","aSMA",0.107084523997229,FALSE,4,4
"Stanford_MIBI_Slide5","PD1",0.503803870770647,FALSE,4,4
"Stanford_MIBI_Slide5","Mast Cell Tryptase",0.169748805867789,FALSE,3,3
"Stanford_MIBI_Slide5","Ki67",0.178222557683157,FALSE,4,4
"Stanford_MIBI_Slide5","IDO",0.111627523251474,FALSE,3,3
"Stanford_MIBI_Slide5","ICOS",0.177067036485352,FALSE,4,4
"Stanford_MIBI_Slide5","HLADR",0.238021723215665,FALSE,3,3
"Stanford_MIBI_Slide5","HLA1 ABC",0.101769909383577,FALSE,2,2
"Stanford_MIBI_Slide5","Granzyme B",0.77727740421625,FALSE,4,4
"Stanford_MIBI_Slide5","FOXP3",NA,TRUE,NA,10
"Stanford_MIBI_Slide5","CD68",0.222302425181427,FALSE,4,4
"Stanford_MIBI_Slide5","CD45",0.0625725201928222,FALSE,3,3
"Stanford_MIBI_Slide5","CD31",0.206850043170082,FALSE,4,4
"Stanford_MIBI_Slide5","CD20",0.131142773754886,FALSE,2,2
"Stanford_MIBI_Slide5","CD14",0.248550063409652,FALSE,4,4
"Stanford_MIBI_Slide5","CD11c",0.44288095463729,FALSE,4,4
