"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_Orion_TMA_CA20min","CD68",0.336575070033812,FALSE
"Stanford_Orion_TMA_CA20min","PanCK",0.26270318326374,FALSE
"Stanford_Orion_TMA_CA20min","CD163",0.139945142833417,FALSE
"Stanford_Orion_TMA_CA20min","CD8a",0.197039212518851,FALSE
"Stanford_Orion_TMA_CA20min","CD4",NA,TRUE
"Stanford_Orion_TMA_CA20min","PDL1",NA,TRUE
"Stanford_Orion_TMA_CA20min","CD3e",0.428021169605058,FALSE
"Stanford_Orion_TMA_CA20min","CD45RO",NA,TRUE
"Stanford_Orion_TMA_CA20min","PD1",NA,TRUE
"Stanford_Orion_TMA_CA20min","CD31",0.439730716416368,FALSE
"Stanford_Orion_TMA_CA20min","SMA",0.362980909742312,FALSE
"Stanford_Orion_TMA_CA20min","HLAABC",0.255649369054601,FALSE
"Stanford_Orion_TMA_CA20min","Vimentin",0.385408565403324,FALSE
"Stanford_Orion_TMA_Tris10min","CD68",0.943222351182065,FALSE
"Stanford_Orion_TMA_Tris10min","PanCK",0.782294551873561,FALSE
"Stanford_Orion_TMA_Tris10min","CD163",0.403765393817162,FALSE
"Stanford_Orion_TMA_Tris10min","CD8a",0.333830239855506,FALSE
"Stanford_Orion_TMA_Tris10min","CD4",0.638230075846572,FALSE
"Stanford_Orion_TMA_Tris10min","PDL1",0.624021311283887,FALSE
"Stanford_Orion_TMA_Tris10min","CD3e",1.03898605622456,FALSE
"Stanford_Orion_TMA_Tris10min","CD45RO",NA,TRUE
"Stanford_Orion_TMA_Tris10min","PD1",0.617863763909073,FALSE
"Stanford_Orion_TMA_Tris10min","CD31",1.33583778352275,FALSE
"Stanford_Orion_TMA_Tris10min","SMA",1.13595821983023,FALSE
"Stanford_Orion_TMA_Tris10min","HLAABC",0.460297592520021,FALSE
"Stanford_Orion_TMA_Tris10min","Vimentin",0.704099308397284,FALSE
"Stanford_Orion_TMA_Tris20min","CD68",0.927323151555592,FALSE
"Stanford_Orion_TMA_Tris20min","PanCK",0.638931426681442,FALSE
"Stanford_Orion_TMA_Tris20min","CD163",0.438378126965403,FALSE
"Stanford_Orion_TMA_Tris20min","CD8a",0.24462817159303,FALSE
"Stanford_Orion_TMA_Tris20min","CD4",0.327351814212479,FALSE
"Stanford_Orion_TMA_Tris20min","PDL1",0.45450088303177,FALSE
"Stanford_Orion_TMA_Tris20min","CD3e",0.700698119474001,FALSE
"Stanford_Orion_TMA_Tris20min","CD45RO",0.370162515699623,FALSE
"Stanford_Orion_TMA_Tris20min","PD1",0.338994567591991,FALSE
"Stanford_Orion_TMA_Tris20min","CD31",1.0926126216951,FALSE
"Stanford_Orion_TMA_Tris20min","SMA",0.934687644329264,FALSE
"Stanford_Orion_TMA_Tris20min","HLAABC",0.153265622477481,FALSE
"Stanford_Orion_TMA_Tris20min","Vimentin",0.470578482845451,FALSE
"Stanford_Orion_TMA_Tris40min","CD68",0.472980291260857,FALSE
"Stanford_Orion_TMA_Tris40min","PanCK",0.364682407043955,FALSE
"Stanford_Orion_TMA_Tris40min","CD163",0.297925226722566,FALSE
"Stanford_Orion_TMA_Tris40min","CD8a",0.172110199043188,FALSE
"Stanford_Orion_TMA_Tris40min","CD4",0.200793396740502,FALSE
"Stanford_Orion_TMA_Tris40min","PDL1",0.191891566878309,FALSE
"Stanford_Orion_TMA_Tris40min","CD3e",0.420313635338014,FALSE
"Stanford_Orion_TMA_Tris40min","CD45RO",0.198893981009255,FALSE
"Stanford_Orion_TMA_Tris40min","PD1",0.175862007620251,FALSE
"Stanford_Orion_TMA_Tris40min","CD31",0.6924641902587,FALSE
"Stanford_Orion_TMA_Tris40min","SMA",0.62629772271355,FALSE
"Stanford_Orion_TMA_Tris40min","HLAABC",0.141564939284658,FALSE
"Stanford_Orion_TMA_Tris40min","Vimentin",0.344174769628988,FALSE
