"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD31","Stanford_Orion_TMA_CA20min","Stanford_Orion_TMA_Tris10min",0.439730716416368,1.33583778352275,0.896107067106385,0,0
"SMA","Stanford_Orion_TMA_CA20min","Stanford_Orion_TMA_Tris10min",0.362980909742312,1.13595821983023,0.772977310087921,0,0
"CD3e","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_Tris10min",0.420313635338014,1.03898605622456,0.618672420886547,0,0
"CD68","Stanford_Orion_TMA_CA20min","Stanford_Orion_TMA_Tris10min",0.336575070033812,0.943222351182065,0.606647281148253,0,0
"PanCK","Stanford_Orion_TMA_CA20min","Stanford_Orion_TMA_Tris10min",0.26270318326374,0.782294551873561,0.519591368609821,0,0
"PD1","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_CA20min",0.175862007620251,0.617863763909073,0.442001756288822,1,1
"CD4","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_CA20min",0.200793396740502,0.638230075846572,0.43743667910607,1,1
"PDL1","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_CA20min",0.191891566878309,0.624021311283887,0.432129744405578,1,1
"Vimentin","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_Tris10min",0.344174769628988,0.704099308397284,0.359924538768296,0,0
"HLAABC","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_Tris10min",0.141564939284658,0.460297592520021,0.318732653235363,0,0
"CD163","Stanford_Orion_TMA_CA20min","Stanford_Orion_TMA_Tris20min",0.139945142833417,0.438378126965403,0.298432984131987,0,0
"CD45RO","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_CA20min",0.198893981009255,0.370162515699623,0.171268534690368,2,2
"CD8a","Stanford_Orion_TMA_Tris40min","Stanford_Orion_TMA_Tris10min",0.172110199043188,0.333830239855506,0.161720040812318,0,0
