"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"PD1","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.150313055901082,0.470295928093017,0.319982872191935,0,0
"PDL1","Stanford_Orion_LymphNode_Tris_10min","Stanford_Orion_LymphNode_Citra_20min",0.204169737084715,0.467305698976707,0.263135961891993,0,0
"CD4","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.208835394045195,0.462035794520704,0.253200400475509,0,0
"aSMA","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.438834186785219,0.691163931464735,0.252329744679516,0,0
"CD68","Stanford_Orion_LymphNode_Tris_20min","Stanford_Orion_LymphNode_Tris_10min",0.27568521732835,0.461896371529444,0.186211154201093,0,0
"CD31","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.46703769503732,0.623628529663656,0.156590834626335,0,0
"CD8a","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.42432436943784,0.579808849091262,0.155484479653422,0,0
"Vimentin","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Tris_10min",0.268917700820127,0.418720720954881,0.149803020134754,0,0
"CD3e","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.326242451404476,0.4641808350787,0.137938383674224,0,0
"CD163","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Tris_10min",0.565192567513764,0.694511597097405,0.129319029583641,0,0
"HLA ABC","Stanford_Orion_LymphNode_Tris_40min","Stanford_Orion_LymphNode_Citra_20min",0.179064783182067,0.274976908861992,0.0959121256799245,0,0
"CD45RO","Stanford_Orion_LymphNode_Tris_20min","Stanford_Orion_LymphNode_Citra_20min",0.0639454067764625,0.0727316790306376,0.00878627225417515,1,1
