"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Stanford_23",12,12,0,0,29,2.41666666666667,2.41666666666667,0
"Stanford_7",12,12,0,0,41,3.41666666666667,3.41666666666667,0
"Stanford_14",12,12,0,0,63,5.25,5.25,0
"Stanford_15",12,12,0,0,70,5.83333333333333,5.83333333333333,0
"Stanford_16",12,12,0,0,70,5.83333333333333,5.83333333333333,0
"Stanford_6",12,12,0,0,76,6.33333333333333,6.33333333333333,0
"Stanford_5",12,12,0,0,86,7.16666666666667,7.16666666666667,0
"Stanford_13",12,12,0,0,90,7.5,7.5,0
"Stanford_21",12,12,0,0,94,7.83333333333333,7.83333333333333,0
"Stanford_24",12,12,0,0,94,7.83333333333333,7.83333333333333,0
"Stanford_8",12,11,1,0,109,9.08333333333333,8.27272727272727,1
"Stanford_22",12,12,0,0,120,10,10,0
