"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_13","CD68",0.120381177347711,FALSE,3,3
"Stanford_13","CD163",0.406163168148464,FALSE,6,6
"Stanford_13","CD8a",0.13141675545408,FALSE,8,8
"Stanford_13","CD4",0.212597184665221,FALSE,3,3
"Stanford_13","PDL1",0.233563952883758,FALSE,5,5
"Stanford_13","CD3e",0.391154879535687,FALSE,8,8
"Stanford_13","CD45RO",0.216212608894538,FALSE,5,5
"Stanford_13","PD1",0.241698912563517,FALSE,10,10
"Stanford_13","CD31",0.576286549746204,FALSE,9,9
"Stanford_13","SMA",0.416460069103371,FALSE,10,10
"Stanford_13","HLAABC",0.34549768816505,FALSE,12,12
"Stanford_13","Vimentin",0.374823813658066,FALSE,11,11
"Stanford_14","CD68",0.179508985190516,FALSE,9,9
"Stanford_14","CD163",0.40224502317832,FALSE,5,5
"Stanford_14","CD8a",0.125582418296458,FALSE,6,6
"Stanford_14","CD4",0.25850632249371,FALSE,8,8
"Stanford_14","PDL1",0.238055689868143,FALSE,6,6
"Stanford_14","CD3e",0.350114772341387,FALSE,3,3
"Stanford_14","CD45RO",0.238080909778012,FALSE,6,6
"Stanford_14","PD1",0.1705977519661,FALSE,4,4
"Stanford_14","CD31",0.381946904048028,FALSE,6,6
"Stanford_14","SMA",0.220033320457846,FALSE,6,6
"Stanford_14","HLAABC",0.206221808639363,FALSE,2,2
"Stanford_14","Vimentin",0.229075852282516,FALSE,2,2
"Stanford_15","CD68",0.161893378863261,FALSE,7,7
"Stanford_15","CD163",0.394602920165581,FALSE,4,4
"Stanford_15","CD8a",0.12886950582508,FALSE,7,7
"Stanford_15","CD4",0.255477237991915,FALSE,6,6
"Stanford_15","PDL1",0.27453366937665,FALSE,9,9
"Stanford_15","CD3e",0.382081603620293,FALSE,7,7
"Stanford_15","CD45RO",0.338485153367829,FALSE,9,9
"Stanford_15","PD1",0.157635749709149,FALSE,2,2
"Stanford_15","CD31",0.407336057468695,FALSE,7,7
"Stanford_15","SMA",0.188376514156434,FALSE,2,2
"Stanford_15","HLAABC",0.22781721199,FALSE,4,4
"Stanford_15","Vimentin",0.274261663566461,FALSE,6,6
"Stanford_16","CD68",0.174258833497719,FALSE,8,8
"Stanford_16","CD163",0.387405018247727,FALSE,3,3
"Stanford_16","CD8a",0.317193326753804,FALSE,12,12
"Stanford_16","CD4",0.247953358117209,FALSE,5,5
"Stanford_16","PDL1",0.252062613291571,FALSE,7,7
"Stanford_16","CD3e",0.374550420719354,FALSE,5,5
"Stanford_16","CD45RO",0.350585959979882,FALSE,10,10
"Stanford_16","PD1",0.210561069269148,FALSE,6,6
"Stanford_16","CD31",0.368452392999304,FALSE,5,5
"Stanford_16","SMA",0.197740629729433,FALSE,4,4
"Stanford_16","HLAABC",0.199982814707596,FALSE,1,1
"Stanford_16","Vimentin",0.238560880736807,FALSE,4,4
"Stanford_21","CD68",0.150915982180644,FALSE,6,6
"Stanford_21","CD163",0.420075770953007,FALSE,7,7
"Stanford_21","CD8a",0.138734156691754,FALSE,11,11
"Stanford_21","CD4",0.263559880398474,FALSE,9,9
"Stanford_21","PDL1",0.225444905413624,FALSE,3,3
"Stanford_21","CD3e",0.393206837687791,FALSE,9,9
