"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD31","Stanford_8","Stanford_22",0.241783466343439,1.09521843208264,0.8534349657392,0,0
"CD45RO","Stanford_23","Stanford_8",0.120288588935355,0.588188898313944,0.467900309378589,0,0
"CD163","Stanford_23","Stanford_8",0.288449537728235,0.659828052663616,0.371378514935382,0,0
"Vimentin","Stanford_23","Stanford_8",0.167038625474858,0.494720946907897,0.327682321433039,0,0
"PDL1","Stanford_23","Stanford_8",0.139094067741379,0.466333068025399,0.32723900028402,1,1
"SMA","Stanford_23","Stanford_5",0.132264852816578,0.458044134360218,0.325779281543641,0,0
"CD68","Stanford_7","Stanford_6",0.0955815508120123,0.393714146972223,0.298132596160211,0,0
"CD3e","Stanford_23","Stanford_8",0.261517310646318,0.527667931785718,0.266150621139399,0,0
"PD1","Stanford_8","Stanford_5",0.0988850914786727,0.364152922925729,0.265267831447057,0,0
"CD4","Stanford_23","Stanford_8",0.17790138073541,0.429650506504812,0.251749125769402,0,0
"CD8a","Stanford_8","Stanford_16",0.101375250947685,0.317193326753804,0.21581807580612,0,0
"HLAABC","Stanford_16","Stanford_13",0.199982814707596,0.34549768816505,0.145514873457454,0,0
