"Staining_condition","CD68","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1","CD31","SMA","HLAABC","Vimentin","Total_Z_Rank"
"Stanford_23",2,1,4,1,1,1,1,5,3,1,8,1,29
"Stanford_7",1,2,5,2,2,2,2,7,2,3,10,3,41
"Stanford_14",9,5,6,8,6,3,6,4,6,6,2,2,63
"Stanford_15",7,4,7,6,9,7,9,2,7,2,4,6,70
"Stanford_16",8,3,12,5,7,5,10,6,5,4,1,4,70
"Stanford_6",12,10,3,7,8,6,8,3,4,5,5,5,76
"Stanford_5",5,8,9,4,4,4,3,12,11,12,7,7,86
"Stanford_13",3,6,8,3,5,8,5,10,9,10,12,11,90
"Stanford_8",10,12,1,12,NA,12,12,1,1,7,11,12,91
"Stanford_21",6,7,11,9,3,9,4,8,10,8,9,10,94
"Stanford_24",4,9,2,11,11,11,7,9,8,11,3,8,94
"Stanford_22",11,11,10,10,10,10,11,11,12,9,6,9,120
