"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"UKentucky_SCC_1","CD68",0.176239856655259,FALSE,2,2
"UKentucky_SCC_1","FoxP3",0.283701487071405,FALSE,3,3
"UKentucky_SCC_1","MHC",0.175826472294259,FALSE,2,2
"UKentucky_SCC_1","CD20",0.217990420355034,FALSE,3,3
"UKentucky_SCC_1","CD206",0.0655784669092019,FALSE,1,1
"UKentucky_SCC_1","CD45",0.166661542695909,FALSE,3,3
"UKentucky_SCC_1","CD4",0.35365415149636,FALSE,1,1
"UKentucky_SCC_1","CD8",0.150146541052227,FALSE,3,3
"UKentucky_SCC_1","CD86",0.156973627468672,FALSE,2,2
"UKentucky_SCC_1","Ki67",0.428245871380447,FALSE,2,2
"UKentucky_SCC_1","SMA",0.0807382512306601,FALSE,2,2
"UKentucky_SCC_1","PDL1",0.214444116037188,FALSE,1,1
"UKentucky_SCC_1","Vimentin",0.19428084379978,FALSE,2,2
"UKentucky_SCC_1","CD27",0.268995050913891,FALSE,1,1
"UKentucky_SCC_1","CK",0.370654626750657,FALSE,2,2
"UKentucky_SCC_1","GZMB",0.145945886833486,FALSE,1,1
"UKentucky_SCC_1","CD3",0.278978940257825,FALSE,1,1
"UKentucky_SCC_1","PD1",0.193152069520034,FALSE,1,1
"UKentucky_SCC_2","CD68",0.15600377666326,FALSE,1,1
"UKentucky_SCC_2","FoxP3",0.221415941349866,FALSE,1,1
"UKentucky_SCC_2","MHC",0.162848139340034,FALSE,1,1
"UKentucky_SCC_2","CD20",0.20055307080524,FALSE,1,1
"UKentucky_SCC_2","CD206",0.0718410297648419,FALSE,2,2
"UKentucky_SCC_2","CD45",0.152955747490797,FALSE,1,1
"UKentucky_SCC_2","CD4",0.361339983612654,FALSE,2,2
"UKentucky_SCC_2","CD8",0.139897477606969,FALSE,2,2
"UKentucky_SCC_2","CD86",0.158935522405953,FALSE,3,3
"UKentucky_SCC_2","Ki67",0.387674421887303,FALSE,1,1
"UKentucky_SCC_2","SMA",0.103515015888572,FALSE,3,3
"UKentucky_SCC_2","PDL1",0.218636557945235,FALSE,2,2
"UKentucky_SCC_2","Vimentin",0.192712216220383,FALSE,1,1
"UKentucky_SCC_2","CD27",0.290003744847276,FALSE,2,2
"UKentucky_SCC_2","CK",0.331875954998323,FALSE,1,1
"UKentucky_SCC_2","GZMB",0.151171567042402,FALSE,2,2
"UKentucky_SCC_2","CD3",0.288219426922228,FALSE,2,2
"UKentucky_SCC_2","PD1",0.195826632079121,FALSE,2,2
"UKentucky_SCC_24","CD68",0.346211598057971,FALSE,4,4
"UKentucky_SCC_24","FoxP3",0.40128212105603,FALSE,4,4
"UKentucky_SCC_24","MHC",0.246065446038901,FALSE,4,4
"UKentucky_SCC_24","CD20",0.260611264515976,FALSE,4,4
"UKentucky_SCC_24","CD206",0.168384383133485,FALSE,4,4
"UKentucky_SCC_24","CD45",0.235593297413747,FALSE,4,4
"UKentucky_SCC_24","CD4",0.422619888901645,FALSE,3,3
"UKentucky_SCC_24","CD8",0.220560194658281,FALSE,4,4
"UKentucky_SCC_24","CD86",0.25411280431062,FALSE,4,4
"UKentucky_SCC_24","Ki67",0.511492576095932,FALSE,4,4
"UKentucky_SCC_24","SMA",0.124428859980889,FALSE,4,4
"UKentucky_SCC_24","PDL1",0.302803543601016,FALSE,4,4
"UKentucky_SCC_24","Vimentin",0.232132939936834,FALSE,4,4
"UKentucky_SCC_24","CD27",0.30150242144169,FALSE,3,3
"UKentucky_SCC_24","CK",0.493473572463861,FALSE,4,4
"UKentucky_SCC_24","GZMB",0.238975104276175,FALSE,4,4
"UKentucky_SCC_24","CD3",0.37330697466969,FALSE,4,4
"UKentucky_SCC_24","PD1",0.276896312680552,FALSE,4,4
"UKentucky_SCC_3","CD68",0.197165662193414,FALSE,3,3
"UKentucky_SCC_3","FoxP3",0.251664389023858,FALSE,2,2
"UKentucky_SCC_3","MHC",0.17791694556077,FALSE,3,3
"UKentucky_SCC_3","CD20",0.20794767083567,FALSE,2,2
"UKentucky_SCC_3","CD206",0.0719543426590525,FALSE,3,3
"UKentucky_SCC_3","CD45",0.153763660883115,FALSE,2,2
"UKentucky_SCC_3","CD4",0.433678940978536,FALSE,4,4
"UKentucky_SCC_3","CD8",0.132072401427657,FALSE,1,1
"UKentucky_SCC_3","CD86",0.15441649588348,FALSE,1,1
"UKentucky_SCC_3","Ki67",0.467386425579507,FALSE,3,3
"UKentucky_SCC_3","SMA",0.0794654928857879,FALSE,1,1
"UKentucky_SCC_3","PDL1",0.258128347551328,FALSE,3,3
"UKentucky_SCC_3","Vimentin",0.197034807345458,FALSE,3,3
"UKentucky_SCC_3","CD27",0.306863380182661,FALSE,4,4
"UKentucky_SCC_3","CK",0.410336565570975,FALSE,3,3
"UKentucky_SCC_3","GZMB",0.152580029619539,FALSE,3,3
"UKentucky_SCC_3","CD3",0.311244648532588,FALSE,3,3
"UKentucky_SCC_3","PD1",0.231733501126824,FALSE,3,3
