"Staining_condition","Marker","CV","Is_Excluded"
"UK_Skin_Citra_20min","CD68",0.292218322741338,FALSE
"UK_Skin_Citra_20min","FOXP3",0.411124370945985,FALSE
"UK_Skin_Citra_20min","MHCII",0.159551111087021,FALSE
"UK_Skin_Citra_20min","CD20",0.167221341144947,FALSE
"UK_Skin_Citra_20min","CD206",0.163102190536145,FALSE
"UK_Skin_Citra_20min","CD45",0.116232649096578,FALSE
"UK_Skin_Citra_20min","CD4",0.379639399795543,FALSE
"UK_Skin_Citra_20min","CD8",0.111780418673657,FALSE
"UK_Skin_Citra_20min","CD86",0.26164011114351,FALSE
"UK_Skin_Citra_20min","Ki67",0.457430297664446,FALSE
"UK_Skin_Citra_20min","aSMA",0.0904369047942473,FALSE
"UK_Skin_Citra_20min","PDL1",0.33111485547197,FALSE
"UK_Skin_Citra_20min","Vimentin",0.166884425787008,FALSE
"UK_Skin_Citra_20min","CD27",0.257483144497602,FALSE
"UK_Skin_Citra_20min","CK",0.456204579209364,FALSE
"UK_Skin_Citra_20min","Granzyme B",0.259465488177846,FALSE
"UK_Skin_Citra_20min","CD3",0.378488502165671,FALSE
"UK_Skin_Citra_20min","PD1",0.288406739679755,FALSE
"UK_Skin_Tris_10min","CD68",0.154254996049644,FALSE
"UK_Skin_Tris_10min","FOXP3",0.284254449095056,FALSE
"UK_Skin_Tris_10min","MHCII",0.105176947471746,FALSE
"UK_Skin_Tris_10min","CD20",0.124754687108118,FALSE
"UK_Skin_Tris_10min","CD206",0.0640527698210016,FALSE
"UK_Skin_Tris_10min","CD45",0.0656315001014459,FALSE
"UK_Skin_Tris_10min","CD4",0.401480656116911,FALSE
"UK_Skin_Tris_10min","CD8",0.05793708482631,FALSE
"UK_Skin_Tris_10min","CD86",0.160260736868271,FALSE
"UK_Skin_Tris_10min","Ki67",0.423313927803636,FALSE
"UK_Skin_Tris_10min","aSMA",0.0535483709609967,FALSE
"UK_Skin_Tris_10min","PDL1",0.295803207460614,FALSE
"UK_Skin_Tris_10min","Vimentin",0.134788065278192,FALSE
"UK_Skin_Tris_10min","CD27",0.268580953033585,FALSE
"UK_Skin_Tris_10min","CK",0.378594064871277,FALSE
"UK_Skin_Tris_10min","Granzyme B",0.160917108208658,FALSE
"UK_Skin_Tris_10min","CD3",0.319444677462106,FALSE
"UK_Skin_Tris_10min","PD1",0.246562484434678,FALSE
"UK_Skin_Tris_20min","CD68",0.136222974894138,FALSE
"UK_Skin_Tris_20min","FOXP3",0.355855313270333,FALSE
"UK_Skin_Tris_20min","MHCII",0.106402859765644,FALSE
"UK_Skin_Tris_20min","CD20",0.133709111468122,FALSE
"UK_Skin_Tris_20min","CD206",0.0593509864788253,FALSE
"UK_Skin_Tris_20min","CD45",0.0759815300668667,FALSE
"UK_Skin_Tris_20min","CD4",0.322377629135009,FALSE
"UK_Skin_Tris_20min","CD8",0.0709053602922998,FALSE
"UK_Skin_Tris_20min","CD86",0.162071634754261,FALSE
"UK_Skin_Tris_20min","Ki67",0.388155657662634,FALSE
"UK_Skin_Tris_20min","aSMA",0.056207151836811,FALSE
"UK_Skin_Tris_20min","PDL1",0.238662787934434,FALSE
"UK_Skin_Tris_20min","Vimentin",0.134273663684743,FALSE
"UK_Skin_Tris_20min","CD27",0.234394703268862,FALSE
"UK_Skin_Tris_20min","CK",0.339850319162972,FALSE
"UK_Skin_Tris_20min","Granzyme B",0.152146691087107,FALSE
"UK_Skin_Tris_20min","CD3",0.28398248970408,FALSE
"UK_Skin_Tris_20min","PD1",0.19987257341304,FALSE
"UK_Skin_Tris_40min","CD68",0.130541202281361,FALSE
"UK_Skin_Tris_40min","FOXP3",0.293057538277217,FALSE
"UK_Skin_Tris_40min","MHCII",0.0991737580421111,FALSE
"UK_Skin_Tris_40min","CD20",0.122308962615889,FALSE
"UK_Skin_Tris_40min","CD206",0.0683152768336065,FALSE
"UK_Skin_Tris_40min","CD45",0.0725707617920041,FALSE
"UK_Skin_Tris_40min","CD4",0.339234567370686,FALSE
"UK_Skin_Tris_40min","CD8",0.0679345722619068,FALSE
"UK_Skin_Tris_40min","CD86",0.175463659189404,FALSE
"UK_Skin_Tris_40min","Ki67",0.350723074958858,FALSE
"UK_Skin_Tris_40min","aSMA",0.0794457151914123,FALSE
"UK_Skin_Tris_40min","PDL1",0.256835074655996,FALSE
"UK_Skin_Tris_40min","Vimentin",0.133487399763409,FALSE
"UK_Skin_Tris_40min","CD27",0.262789794537173,FALSE
"UK_Skin_Tris_40min","CK",0.303005017510238,FALSE
"UK_Skin_Tris_40min","Granzyme B",0.168160284569441,FALSE
"UK_Skin_Tris_40min","CD3",0.301715828466133,FALSE
"UK_Skin_Tris_40min","PD1",0.213137143106924,FALSE
