"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"UK_Skin_Citra_20min","CD68",0.292218322741338,FALSE,1.48688272257941
"UK_Skin_Citra_20min","FOXP3",0.411124370945985,FALSE,1.26501951406839
"UK_Skin_Citra_20min","MHCII",0.159551111087021,FALSE,1.49053378900311
"UK_Skin_Citra_20min","CD20",0.167221341144947,FALSE,1.45751106105772
"UK_Skin_Citra_20min","CD206",0.163102190536145,FALSE,1.49593002283685
"UK_Skin_Citra_20min","CD45",0.116232649096578,FALSE,1.47306932609008
"UK_Skin_Citra_20min","CD4",0.379639399795543,FALSE,0.522341283747265
"UK_Skin_Citra_20min","CD8",0.111780418673657,FALSE,1.45851332088313
"UK_Skin_Citra_20min","CD86",0.26164011114351,FALSE,1.48516646883153
"UK_Skin_Citra_20min","Ki67",0.457430297664446,FALSE,1.14490687186613
"UK_Skin_Citra_20min","aSMA",0.0904369047942473,FALSE,1.14290804140308
"UK_Skin_Citra_20min","PDL1",0.33111485547197,FALSE,1.22430195165873
"UK_Skin_Citra_20min","Vimentin",0.166884425787008,FALSE,1.49919813804237
"UK_Skin_Citra_20min","CD27",0.257483144497602,FALSE,0.111546130613287
"UK_Skin_Citra_20min","CK",0.456204579209364,FALSE,1.32349815024534
"UK_Skin_Citra_20min","Granzyme B",0.259465488177846,FALSE,1.48706277984988
"UK_Skin_Citra_20min","CD3",0.378488502165671,FALSE,1.40350297395013
"UK_Skin_Citra_20min","PD1",0.288406739679755,FALSE,1.30139936406302
"UK_Skin_Tris_10min","CD68",0.154254996049644,FALSE,-0.313987964570766
"UK_Skin_Tris_10min","FOXP3",0.284254449095056,FALSE,-0.873419121960692
"UK_Skin_Tris_10min","MHCII",0.105176947471746,FALSE,-0.440297422776793
"UK_Skin_Tris_10min","CD20",0.124754687108118,FALSE,-0.590465503551978
"UK_Skin_Tris_10min","CD206",0.0640527698210016,FALSE,-0.495699101846112
"UK_Skin_Tris_10min","CD45",0.0656315001014459,FALSE,-0.743470643762206
"UK_Skin_Tris_10min","CD4",0.401480656116911,FALSE,1.12417644058798
"UK_Skin_Tris_10min","CD8",0.05793708482631,FALSE,-0.808484872233221
"UK_Skin_Tris_10min","CD86",0.160260736868271,FALSE,-0.612395401501853
"UK_Skin_Tris_10min","Ki67",0.423313927803636,FALSE,0.401253470896442
"UK_Skin_Tris_10min","aSMA",0.0535483709609967,FALSE,-0.910945121734029
"UK_Skin_Tris_10min","PDL1",0.295803207460614,FALSE,0.36840467499475
"UK_Skin_Tris_10min","Vimentin",0.134788065278192,FALSE,-0.462749632054006
"UK_Skin_Tris_10min","CD27",0.268580953033585,FALSE,0.852372470062715
"UK_Skin_Tris_10min","CK",0.378594064871277,FALSE,0.139996718908096
"UK_Skin_Tris_10min","Granzyme B",0.160917108208658,FALSE,-0.4854977594183
"UK_Skin_Tris_10min","CD3",0.319444677462106,FALSE,-0.0356647956913847
"UK_Skin_Tris_10min","PD1",0.246562484434678,FALSE,0.242189794764375
"UK_Skin_Tris_20min","CD68",0.136222974894138,FALSE,-0.549364561436905
"UK_Skin_Tris_20min","FOXP3",0.355855313270333,FALSE,0.333439462735129
"UK_Skin_Tris_20min","MHCII",0.106402859765644,FALSE,-0.396765172116146
"UK_Skin_Tris_20min","CD20",0.133709111468122,FALSE,-0.158633713297097
"UK_Skin_Tris_20min","CD206",0.0593509864788253,FALSE,-0.590239873257164
"UK_Skin_Tris_20min","CD45",0.0759815300668667,FALSE,-0.290096450426572
"UK_Skin_Tris_20min","CD4",0.322377629135009,FALSE,-1.05550507359544
"UK_Skin_Tris_20min","CD8",0.0709053602922998,FALSE,-0.262473788807657
"UK_Skin_Tris_20min","CD86",0.162071634754261,FALSE,-0.574927520250121
"UK_Skin_Tris_20min","Ki67",0.388155657662634,FALSE,-0.365110807285503
"UK_Skin_Tris_20min","aSMA",0.056207151836811,FALSE,-0.762911439057339
"UK_Skin_Tris_20min","PDL1",0.238662787934434,FALSE,-1.01658674325246
"UK_Skin_Tris_20min","Vimentin",0.134273663684743,FALSE,-0.494193354744135
"UK_Skin_Tris_20min","CD27",0.234394703268862,FALSE,-1.42970639177637
"UK_Skin_Tris_20min","CK",0.339850319162972,FALSE,-0.450815993676169
"UK_Skin_Tris_20min","Granzyme B",0.152146691087107,FALSE,-0.661047867216127
"UK_Skin_Tris_20min","CD3",0.28398248970408,FALSE,-0.900040332312833
"UK_Skin_Tris_20min","PD1",0.19987257341304,FALSE,-0.93967854664052
"UK_Skin_Tris_40min","CD68",0.130541202281361,FALSE,-0.623530196571737
"UK_Skin_Tris_40min","FOXP3",0.293057538277217,FALSE,-0.725039854842824
"UK_Skin_Tris_40min","MHCII",0.0991737580421111,FALSE,-0.653471194110176
"UK_Skin_Tris_40min","CD20",0.122308962615889,FALSE,-0.708411844208644
"UK_Skin_Tris_40min","CD206",0.0683152768336065,FALSE,-0.409991047733572
"UK_Skin_Tris_40min","CD45",0.0725707617920041,FALSE,-0.439502231901303
"UK_Skin_Tris_40min","CD4",0.339234567370686,FALSE,-0.591012650739805
"UK_Skin_Tris_40min","CD8",0.0679345722619068,FALSE,-0.387554659842254
"UK_Skin_Tris_40min","CD86",0.175463659189404,FALSE,-0.297843547079552
"UK_Skin_Tris_40min","Ki67",0.350723074958858,FALSE,-1.18104953547707
"UK_Skin_Tris_40min","aSMA",0.0794457151914123,FALSE,0.530948519388292
"UK_Skin_Tris_40min","PDL1",0.256835074655996,FALSE,-0.576119883401021
"UK_Skin_Tris_40min","Vimentin",0.133487399763409,FALSE,-0.54225515124423
"UK_Skin_Tris_40min","CD27",0.262789794537173,FALSE,0.465787791100378
"UK_Skin_Tris_40min","CK",0.303005017510238,FALSE,-1.01267887547727
"UK_Skin_Tris_40min","Granzyme B",0.168160284569441,FALSE,-0.340517153215456
"UK_Skin_Tris_40min","CD3",0.301715828466133,FALSE,-0.467797845945912
"UK_Skin_Tris_40min","PD1",0.213137143106924,FALSE,-0.603910612186873
