"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD163","Stanford_Slide5","Stanford_Slide15",0.227893381962668,"medium",0.216573575072191,0.239213188853146
"CD163","Stanford_Slide5","Stanford_Slide16",0.0406234467791539,"small",0.0293867432282674,0.0518601503300404
"CD163","Stanford_Slide5","Stanford_Slide21",0.0826580663452377,"small",0.0712694980169935,0.0940466346734819
"CD163","Stanford_Slide5","Stanford_Slide22",0.847713317664229,"large",0.835892550344556,0.859534084983901
"CD163","Stanford_Slide5","Stanford_Slide6",0.858569486046291,"large",0.846787652836093,0.870351319256489
"CD163","Stanford_Slide5","Stanford_Slide23",-0.948124600785954,"",-0.960170808069429,-0.936078393502479
"CD163","Stanford_Slide5","Stanford_Slide24",0.674282510107891,"medium",0.662684231750768,0.685880788465015
"CD163","Stanford_Slide5","Stanford_Slide7",-0.307216407469304,"",-0.318268403470299,-0.29616441146831
"CD163","Stanford_Slide5","Stanford_Slide8",1.27582100912629,"large",1.26354990563148,1.28809211262111
"CD163","Stanford_Slide5","Stanford_Slide13",-0.0745582024549605,"",-0.0858427851168309,-0.0632736197930901
"CD163","Stanford_Slide5","Stanford_Slide14",0.512452968444231,"medium",0.500849189431274,0.524056747457188
"CD163","Stanford_Slide15","Stanford_Slide16",-0.181321830238699,"",-0.192294724687975,-0.170348935789422
"CD163","Stanford_Slide15","Stanford_Slide21",-0.1430822686024,"",-0.15419884849636,-0.13196568870844
"CD163","Stanford_Slide15","Stanford_Slide22",0.648387117601454,"medium",0.637059616920988,0.659714618281921
"CD163","Stanford_Slide15","Stanford_Slide6",0.661223180029728,"medium",0.649935817693278,0.672510542366178
"CD163","Stanford_Slide15","Stanford_Slide23",-1.20039764451929,"",-1.21250049723965,-1.18829479179893
"CD163","Stanford_Slide15","Stanford_Slide24",0.456657127873426,"medium",0.445515732737825,0.467798523009027
"CD163","Stanford_Slide15","Stanford_Slide7",-0.553337084139297,"",-0.56423556812067,-0.542438600157923
"CD163","Stanford_Slide15","Stanford_Slide8",1.08325708445355,"large",1.07158122793227,1.09493294097483
"CD163","Stanford_Slide15","Stanford_Slide13",-0.299061992365497,"",-0.310120004951063,-0.28800397977993
"CD163","Stanford_Slide15","Stanford_Slide14",0.288055481178544,"medium",0.276860360296135,0.299250602060954
"CD163","Stanford_Slide16","Stanford_Slide21",0.0403583353767351,"small",0.0293033874733134,0.0514132832801569
"CD163","Stanford_Slide16","Stanford_Slide22",0.794211954348181,"medium",0.782794650460905,0.805629258235457
"CD163","Stanford_Slide16","Stanford_Slide6",0.805926639006059,"large",0.794549183979386,0.817304094032732
"CD163","Stanford_Slide16","Stanford_Slide23",-0.969616162733915,"",-0.981342335599333,-0.957889989868496
"CD163","Stanford_Slide16","Stanford_Slide24",0.617740454012084,"medium",0.606532418598388,0.62894848942578
"CD163","Stanford_Slide16","Stanford_Slide7",-0.342791258320946,"",-0.353514938875289,-0.332067577766603
"CD163","Stanford_Slide16","Stanford_Slide8",1.21373276938458,"large",1.20192136454429,1.22554417422486
"CD163","Stanford_Slide16","Stanford_Slide13",-0.113112555922762,"",-0.124068986127363,-0.10215612571816
"CD163","Stanford_Slide16","Stanford_Slide14",0.458099782258473,"medium",0.4468663062175,0.469333258299446
"CD163","Stanford_Slide21","Stanford_Slide22",0.768793376245081,"medium",0.757245422665165,0.780341329824996
"CD163","Stanford_Slide21","Stanford_Slide6",0.780508998682175,"medium",0.769000463903612,0.792017533460738
"CD163","Stanford_Slide21","Stanford_Slide23",-1.03124865371656,"",-1.0432158236926,-1.01928148374051
"CD163","Stanford_Slide21","Stanford_Slide24",0.589015503380506,"medium",0.577675492548267,0.600355514212746
"CD163","Stanford_Slide21","Stanford_Slide7",-0.393674796060029,"",-0.404580548054747,-0.38276904406531
"CD163","Stanford_Slide21","Stanford_Slide8",1.19585101131405,"large",1.18390117368524,1.20780084894287
"CD163","Stanford_Slide21","Stanford_Slide13",-0.155545687085278,"",-0.166662140366677,-0.144429233803879
"CD163","Stanford_Slide21","Stanford_Slide14",0.425997046432478,"medium",0.414631060063148,0.437363032801809
"CD163","Stanford_Slide22","Stanford_Slide6",0.01751277720585,"small",0.00647983359610891,0.028545720815591
"CD163","Stanford_Slide22","Stanford_Slide23",-1.76821629000823,"",-1.78140383401958,-1.75502874599687
"CD163","Stanford_Slide22","Stanford_Slide24",-0.219322950174008,"",-0.230396738385717,-0.208249161962298
"CD163","Stanford_Slide22","Stanford_Slide7",-1.18683955239337,"",-1.19848224493374,-1.17519685985301
"CD163","Stanford_Slide22","Stanford_Slide8",0.404188246032714,"medium",0.393131315556527,0.415245176508901
"CD163","Stanford_Slide22","Stanford_Slide13",-0.90483857777568,"",-0.916428037021754,-0.893249118529606
"CD163","Stanford_Slide22","Stanford_Slide14",-0.385927259565514,"",-0.39720952258922,-0.374644996541809
"CD163","Stanford_Slide6","Stanford_Slide23",-1.7715181267222,"",-1.78465347782181,-1.75838277562258
"CD163","Stanford_Slide6","Stanford_Slide24",-0.235900879802004,"",-0.246929580327283,-0.224872179276725
"CD163","Stanford_Slide6","Stanford_Slide7",-1.19531621681004,"",-1.20691639936859,-1.18371603425149
"CD163","Stanford_Slide6","Stanford_Slide8",0.383407551232865,"medium",0.372412670781406,0.394402431684323
"CD163","Stanford_Slide6","Stanford_Slide13",-0.915661743379976,"",-0.927211499370394,-0.904111987389557
"CD163","Stanford_Slide6","Stanford_Slide14",-0.401049230545236,"",-0.412289703514831,-0.389808757575641
"CD163","Stanford_Slide23","Stanford_Slide24",1.65054617797148,"large",1.63764790375166,1.6634444521913
"CD163","Stanford_Slide23","Stanford_Slide7",0.688195611295921,"medium",0.677038936431915,0.699352286159927
"CD163","Stanford_Slide23","Stanford_Slide8",2.21014878226902,"large",2.19613388704178,2.22416367749626
"CD163","Stanford_Slide23","Stanford_Slide13",0.852871339215509,"large",0.841237413608288,0.86450526482273
"CD163","Stanford_Slide23","Stanford_Slide14",1.50056006748286,"large",1.4877932733692,1.51332686159652
"CD163","Stanford_Slide24","Stanford_Slide7",-1.02242921193067,"",-1.03380030564915,-1.01105811821218
"CD163","Stanford_Slide24","Stanford_Slide8",0.649452100206123,"medium",0.638265173323203,0.660639027089043
"CD163","Stanford_Slide24","Stanford_Slide13",-0.735298731102189,"",-0.746660472783421,-0.723936989420958
"CD163","Stanford_Slide24","Stanford_Slide14",-0.175210225110794,"",-0.186368635065475,-0.164051815156113
"CD163","Stanford_Slide7","Stanford_Slide8",1.63835947429839,"large",1.62611438451445,1.65060456408233
"CD163","Stanford_Slide7","Stanford_Slide13",0.22165243348438,"medium",0.210926177625899,0.232378689342861
"CD163","Stanford_Slide7","Stanford_Slide14",0.85757862748801,"large",0.846256251259334,0.868901003716686
"CD163","Stanford_Slide8","Stanford_Slide13",-1.32538543542353,"",-1.33742360370271,-1.31334726714435
"CD163","Stanford_Slide8","Stanford_Slide14",-0.8230605452057,"",-0.834560858363401,-0.811560232047999
"CD163","Stanford_Slide13","Stanford_Slide14",0.577155790328781,"medium",0.565791624599325,0.588519956058237
"CD31","Stanford_Slide5","Stanford_Slide15",0.010516061570751,"small",-0.000767347230150055,0.021799470371652
"CD31","Stanford_Slide5","Stanford_Slide16",-0.25636295976639,"",-0.267644407484659,-0.24508151204812
"CD31","Stanford_Slide5","Stanford_Slide21",-0.351212294186355,"",-0.362683347768336,-0.339741240604373
"CD31","Stanford_Slide5","Stanford_Slide22",0.683141132115507,"medium",0.671492122341689,0.694790141889325
"CD31","Stanford_Slide5","Stanford_Slide6",0.453745155091617,"medium",0.442326244852201,0.465164065331032
"CD31","Stanford_Slide5","Stanford_Slide23",-1.35977097391291,"",-1.37244356925228,-1.34709837857354
"CD31","Stanford_Slide5","Stanford_Slide24",0.128894222421284,"small",0.117599675104523,0.140188769738044
"CD31","Stanford_Slide5","Stanford_Slide7",-0.417542943120528,"",-0.428648780374829,-0.406437105866226
"CD31","Stanford_Slide5","Stanford_Slide8",0.225849420495402,"medium",0.214623888238257,0.237074952752548
