"Staining_condition","CD31","aSMA","CD68","HLAABC","Vimentin","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1"
"Stanford_Slide13",9,11,2,12,11,5,8,3,5,6,5,8
"Stanford_Slide14",6,6,8,3,2,8,5,9,6,4,6,4
"Stanford_Slide15",8,2,7,4,6,4,11,7,8,9,10,2
"Stanford_Slide16",5,4,9,2,3,7,12,5,7,7,11,9
"Stanford_Slide21",10,8,6,8,10,6,9,6,3,5,4,5
"Stanford_Slide22",12,9,11,6,8,10,4,10,10,8,9,6
"Stanford_Slide23",2,1,3,9,1,1,10,1,1,1,1,10
"Stanford_Slide24",4,12,4,1,9,9,2,11,11,11,7,7
"Stanford_Slide5",11,10,5,5,5,3,6,2,4,3,3,12
"Stanford_Slide6",7,5,12,7,7,11,3,8,9,10,8,3
"Stanford_Slide7",3,3,1,11,4,2,7,4,2,2,2,11
"Stanford_Slide8",1,7,10,10,12,12,1,12,NA,12,12,1
