"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD163","Stanford_Slide5","Stanford_Slide22",0.847713317664229,"large",0.835892550344556,0.859534084983901
"CD163","Stanford_Slide5","Stanford_Slide6",0.858569486046291,"large",0.846787652836093,0.870351319256489
"CD163","Stanford_Slide5","Stanford_Slide8",1.27582100912629,"large",1.26354990563148,1.28809211262111
"CD163","Stanford_Slide15","Stanford_Slide8",1.08325708445355,"large",1.07158122793227,1.09493294097483
"CD163","Stanford_Slide16","Stanford_Slide6",0.805926639006059,"large",0.794549183979386,0.817304094032732
"CD163","Stanford_Slide16","Stanford_Slide8",1.21373276938458,"large",1.20192136454429,1.22554417422486
"CD163","Stanford_Slide21","Stanford_Slide8",1.19585101131405,"large",1.18390117368524,1.20780084894287
"CD163","Stanford_Slide23","Stanford_Slide24",1.65054617797148,"large",1.63764790375166,1.6634444521913
"CD163","Stanford_Slide23","Stanford_Slide8",2.21014878226902,"large",2.19613388704178,2.22416367749626
"CD163","Stanford_Slide23","Stanford_Slide13",0.852871339215509,"large",0.841237413608288,0.86450526482273
"CD163","Stanford_Slide23","Stanford_Slide14",1.50056006748286,"large",1.4877932733692,1.51332686159652
"CD163","Stanford_Slide7","Stanford_Slide8",1.63835947429839,"large",1.62611438451445,1.65060456408233
"CD163","Stanford_Slide7","Stanford_Slide14",0.85757862748801,"large",0.846256251259334,0.868901003716686
"CD31","Stanford_Slide15","Stanford_Slide22",0.881749896178802,"large",0.870184723980338,0.893315068377266
"CD31","Stanford_Slide16","Stanford_Slide22",1.19591851244775,"large",1.18398426578575,1.20785275910975
"CD31","Stanford_Slide16","Stanford_Slide6",1.01261551398158,"large",1.00099349152081,1.02423753644235
"CD31","Stanford_Slide21","Stanford_Slide22",1.01006311346299,"large",0.998230254894014,1.02189597203196
"CD31","Stanford_Slide21","Stanford_Slide6",0.831292203438886,"large",0.819729109264482,0.842855297613291
"CD31","Stanford_Slide23","Stanford_Slide24",2.2278495867497,"large",2.21366923559262,2.24202993790678
"CD31","Stanford_Slide23","Stanford_Slide7",1.40898233178964,"large",1.39687726785259,1.42108739572668
"CD31","Stanford_Slide23","Stanford_Slide8",2.82799882312614,"large",2.81238424027196,2.84361340598032
"CD31","Stanford_Slide23","Stanford_Slide14",2.02697270456564,"large",2.01309774885409,2.04084766027719
"CD31","Stanford_Slide7","Stanford_Slide8",1.15897852184887,"large",1.14752665727098,1.17043038642677
"CD3e","Stanford_Slide5","Stanford_Slide22",0.908093397604523,"large",0.896201095533723,0.919985699675322
"CD3e","Stanford_Slide5","Stanford_Slide6",1.3687142848395,"large",1.35619149646372,1.38123707321529
"CD3e","Stanford_Slide5","Stanford_Slide24",0.928474100266941,"large",0.916600304567219,0.940347895966664
"CD3e","Stanford_Slide5","Stanford_Slide8",2.15783070201047,"large",2.14376768163593,2.171893722385
"CD3e","Stanford_Slide15","Stanford_Slide8",1.46530980200361,"large",1.45303008034028,1.47758952366694
"CD3e","Stanford_Slide16","Stanford_Slide6",1.05771581799851,"large",1.04603383508884,1.06939780090817
"CD3e","Stanford_Slide16","Stanford_Slide8",1.76497948109528,"large",1.75218537062552,1.77777359156504
"CD3e","Stanford_Slide21","Stanford_Slide8",1.53796464732721,"large",1.52543684697635,1.55049244767807
"CD3e","Stanford_Slide22","Stanford_Slide8",1.24063573453105,"large",1.22868386312666,1.25258760593543
"CD3e","Stanford_Slide6","Stanford_Slide8",0.818563097298073,"large",0.807220853591834,0.829905341004311
"CD3e","Stanford_Slide23","Stanford_Slide24",1.63318692214485,"large",1.62032295627148,1.64605088801823
"CD3e","Stanford_Slide23","Stanford_Slide7",0.862328053843616,"large",0.850996159284642,0.873659948402589
"CD3e","Stanford_Slide23","Stanford_Slide8",2.90554005948487,"large",2.88971019019314,2.9213699287766
"CD3e","Stanford_Slide23","Stanford_Slide14",1.41076766799898,"large",1.39816469985828,1.42337063613967
"CD3e","Stanford_Slide24","Stanford_Slide8",1.10145094501479,"large",1.08975034032077,1.11315154970882
"CD3e","Stanford_Slide7","Stanford_Slide8",2.04800145154091,"large",2.03492056732963,2.06108233575219
"CD4","Stanford_Slide5","Stanford_Slide22",1.01780052677114,"large",1.00576692756387,1.02983412597842
"CD4","Stanford_Slide5","Stanford_Slide24",1.12825641821958,"large",1.11611107325744,1.14040176318172
"CD4","Stanford_Slide5","Stanford_Slide8",1.79658575232537,"large",1.78333772318,1.80983378147074
