"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD68","ASTAR_COMET_CRC_2","ASTAR_COMET_CRC_24",0.390283242575326,0.748389956176401,0.358106713601074,0,0
"CD31","ASTAR_COMET_CRC_1","ASTAR_COMET_CRC_24",0.378409561772357,0.712174944256655,0.333765382484298,0,0
"aSMA","ASTAR_COMET_CRC_1","ASTAR_COMET_CRC_24",0.363083179819702,0.592792930643474,0.229709750823772,0,0
"CD45RA","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_3",0.179669496846598,0.365686446470748,0.18601694962415,0,0
"CD138","ASTAR_COMET_CRC_1","ASTAR_COMET_CRC_24",0.257137178359236,0.415576480751227,0.158439302391992,0,0
"CD8","ASTAR_COMET_CRC_1","ASTAR_COMET_CRC_3",0.218215075356214,0.375880158970602,0.157665083614388,0,0
"CD11c","ASTAR_COMET_CRC_2","ASTAR_COMET_CRC_3",0.309813983260797,0.447270172726852,0.137456189466055,0,0
"CD11b","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_3",0.172812819221714,0.275428642835822,0.102615823614108,0,0
"GZMB","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_3",0.180874326167447,0.278122029134445,0.097247702966998,0,0
"Ecadherin","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_2",0.22729405049016,0.304889547847086,0.0775954973569262,0,0
"CK","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_3",0.200998438872097,0.272549324795167,0.0715508859230702,0,0
"CD3","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_3",0.138608996785759,0.205208896006602,0.0665998992208432,0,0
"HLADR","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_2",0.165002927566839,0.2257341119871,0.0607311844202618,0,0
"CD20","ASTAR_COMET_CRC_1","ASTAR_COMET_CRC_3",0.119671856635315,0.176622174211313,0.056950317575998,0,0
"CD4","ASTAR_COMET_CRC_24","ASTAR_COMET_CRC_2",0.283974588653262,0.334889700797299,0.0509151121440368,0,0
