"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"PD1","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_2",0.389788997513678,0.712560106628977,0.322771109115299,0,0
"CD31","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_3",0.54036526257215,0.85624308715208,0.31587782457993,0,0
"Ki67","ASTAR_COMET_Tonsil_3","ASTAR_COMET_Tonsil_2",0.254468893111504,0.507951002240706,0.253482109129202,0,0
"CD68","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_24",0.504753348752235,0.745967530892983,0.241214182140747,0,0
"CD138","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_24",0.162069505853412,0.388662585678919,0.226593079825507,0,0
"aSMA","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_24",0.146092510654747,0.343305159336609,0.197212648681862,0,0
"CD11b","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_2",0.241594322091421,0.438142817844318,0.196548495752897,0,0
"CD11c","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_3",0.625923440030872,0.799625112048961,0.173701672018089,0,0
"CD8","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_2",0.209421524635788,0.37252333271416,0.163101808078372,0,0
"CK","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_2",0.237195489078069,0.396075628935543,0.158880139857474,0,0
"CD21","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_3",0.462364674146925,0.619703366292316,0.157338692145391,0,0
"CD4","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_2",0.414921751974557,0.563527159541505,0.148605407566948,0,0
"FoxP3","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_2",0.197283539925678,0.33695446728819,0.139670927362512,0,0
"Ecadherin","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_2",0.276639606746392,0.403776169163695,0.127136562417303,0,0
"GZMB","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_3",0.203688478311111,0.314930580706849,0.111242102395739,0,0
"CD3","ASTAR_COMET_Tonsil_24","ASTAR_COMET_Tonsil_3",0.362846641151444,0.44274441583758,0.0798977746861367,0,0
"NaKATPase","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_2",0.394273286894257,0.468293124202533,0.0740198373082761,0,0
"CD20","ASTAR_COMET_Tonsil_1","ASTAR_COMET_Tonsil_3",0.267630085414546,0.335812282117586,0.0681821967030402,0,0
"HLADR","ASTAR_COMET_Tonsil_2","ASTAR_COMET_Tonsil_3",0.267939870829157,0.30804547295052,0.0401056021213625,0,0
"CD45RA","ASTAR_COMET_Tonsil_2","ASTAR_COMET_Tonsil_1",0.256190183258199,0.292300249253325,0.0361100659951256,0,0
