"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"ASTAR_Tonsil_Citra_20min","CD68",0.657537646798805,FALSE,4,4
"ASTAR_Tonsil_Citra_20min","CD31",0.676583964286737,FALSE,3,3
"ASTAR_Tonsil_Citra_20min","CD11c",0.673456642866832,FALSE,3,3
"ASTAR_Tonsil_Citra_20min","CD138",0.358834684187925,FALSE,4,4
"ASTAR_Tonsil_Citra_20min","CD21",0.423087661802506,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","aSMA",0.345014218958249,FALSE,4,4
"ASTAR_Tonsil_Citra_20min","CD45RA",0.24953793896072,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","Granzyme B",0.245886554694698,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","CD3",0.361064088726848,FALSE,1,1
"ASTAR_Tonsil_Citra_20min","CD8",0.301483549914398,FALSE,3,3
"ASTAR_Tonsil_Citra_20min","CD20",0.288826339362569,FALSE,3,3
"ASTAR_Tonsil_Citra_20min","NaKATPase",0.40476107542384,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","HLADR",0.264996027642272,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","CD4",0.396655262810729,FALSE,1,1
"ASTAR_Tonsil_Citra_20min","CK",0.203346696229573,FALSE,1,1
"ASTAR_Tonsil_Citra_20min","FOXP3",0.191982671943783,FALSE,3,3
"ASTAR_Tonsil_Citra_20min","CD11b",0.218426641198851,FALSE,1,1
"ASTAR_Tonsil_Citra_20min","Ki67",0.25452435117137,FALSE,2,2
"ASTAR_Tonsil_Citra_20min","ECad",0.251629499410809,FALSE,1,1
"ASTAR_Tonsil_Citra_20min","PD1",0.338421901249583,FALSE,1,1
"ASTAR_Tonsil_Tris_10min","CD68",0.519624371653973,FALSE,2,2
"ASTAR_Tonsil_Tris_10min","CD31",0.724871457625843,FALSE,4,4
"ASTAR_Tonsil_Tris_10min","CD11c",0.744583109398819,FALSE,4,4
"ASTAR_Tonsil_Tris_10min","CD138",0.268887645880519,FALSE,2,2
"ASTAR_Tonsil_Tris_10min","CD21",0.565700288576384,FALSE,4,4
"ASTAR_Tonsil_Tris_10min","aSMA",0.274195534671546,FALSE,3,3
"ASTAR_Tonsil_Tris_10min","CD45RA",0.260752622451444,FALSE,3,3
