"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"PD1","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_40min",0.338421901249583,0.643583900446362,0.305161999196779,0,0
"CD31","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_10min",0.441340937820704,0.724871457625843,0.283530519805139,0,0
"CD68","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Citra_20min",0.399772741807328,0.657537646798805,0.257764904991477,0,0
"Ki67","ASTAR_Tonsil_Tris_10min","ASTAR_Tonsil_Tris_40min",0.242317717519591,0.492934965605568,0.250617248085977,0,0
"CD138","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Citra_20min",0.129682414487969,0.358834684187925,0.229152269699956,0,0
"aSMA","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Citra_20min",0.130843136950328,0.345014218958249,0.214171082007921,0,0
"CD11b","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_40min",0.218426641198851,0.416592718792625,0.198166077593774,0,0
"CD11c","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_10min",0.56948915476648,0.744583109398819,0.175093954632339,0,0
"FOXP3","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_40min",0.183171443607646,0.356207036464188,0.173035592856543,0,0
"CD8","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_40min",0.187022765902308,0.357871929393142,0.170849163490834,0,0
"CD21","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_10min",0.402011343325238,0.565700288576384,0.163688945251146,0,0
"CD4","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_40min",0.396655262810729,0.554904817668262,0.158249554857533,0,0
"CK","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_40min",0.203346696229573,0.33354131228881,0.130194616059237,0,0
"ECad","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_40min",0.251629499410809,0.365416193020434,0.113786693609625,0,0
"Granzyme B","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_10min",0.205591598948836,0.318274010341576,0.11268241139274,0,0
"CD3","ASTAR_Tonsil_Citra_20min","ASTAR_Tonsil_Tris_10min",0.361064088726848,0.438684234032085,0.0776201453052366,0,0
"NaKATPase","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_40min",0.37757622833726,0.449737935246216,0.0721617069089568,0,0
"CD20","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_10min",0.252548970735084,0.317997222660714,0.0654482519256294,0,0
"HLADR","ASTAR_Tonsil_Tris_40min","ASTAR_Tonsil_Tris_10min",0.252843186985183,0.292240137935069,0.0393969509498863,0,0
"CD45RA","ASTAR_Tonsil_Tris_40min","ASTAR_Tonsil_Tris_20min",0.235980486595048,0.272530965192959,0.036550478597911,0,0
