Staining_condition,DAPI,CD3,CD45,CD15,CD4,CD8,CD11b,Tox.Tox2,CD20,CD11c,H3K27me3,Ki-67,HLA-DRA,pS6,CD68,DC-SIGN,FoxP3,PD-1,Pax5,H3K27ac,GranzymeB,CD31,IDO-1,CD56,CD138,NAK-ATPase,CD45RA,Cytokeratin
BIDMC_10,1,0.3180536674719423,0.17671759431589118,0.060797133420869495,0.26223236885606893,0.2305189587171776,0.09422977886628052,0.5729106304354548,0.23112919796195774,0.15023055927862833,0.3525312976984067,0.7709588872242654,0.15982491256054004,0.16433153944841541,0.1266967039146772,0.23971475757761185,0.30294439802652695,0.4999192144003603,0.35754984139743917,0.6568477121210329,0.2577031444717117,0.26398979022125457,0.17932875600549303,0.30608030787248847,0.2216865123159698,0.1814950274587146,0.18941343402255556,0.1727552447234027
BIDMC_11,1,0.34668279284829906,0.1699744414562819,0.039778923373340096,0.24036112141836152,0.23526267061181666,0.05020610530074904,0.6414928637314349,0.22838955241070205,0.13095724261984307,0.4036176093721613,0.7321025080788506,0.16426118042201054,0.1885452611442274,0.09823196606370577,0.19667498423016527,0.49614768215314753,0.4342929315092058,0.28441189389996924,0.4918488682146135,0.1922283555326775,0.14143026444236542,0.1581746998515746,0.23888126017970032,0.1859897964202259,0.1800289634176882,0.16763454452157434,0.1625077420279772
BIDMC_12,1,0.29800311193958734,0.19359493231076935,0.06799857125247281,0.23979562600833287,0.10199840988839247,0.10138387489095349,0.2372598233109576,0.21549886988095968,0.059708947971619526,0.3666940506237855,0.7171503727150725,0.1666575498084529,0.15034946213050615,0.14034328598919832,0.19533688708308378,0.36162048785235823,0.5175316846242692,0.25893212640877694,0.5626467949012041,0.24446558093657528,0.28091897568756913,0.18928507080696147,0.3049386974093404,0.25681881219392855,0.20471811856173106,0.1677570591984324,0.1766206268771099
BIDMC_13,1,0.2286926758058676,0.13936436543188974,0.038786980571763253,0.18472591925115112,0.1838673953869402,0.08846563428458355,0.3043234178753442,0.17323772194331447,0.13486502916592377,0.22130924896984705,0.3828482284902771,0.1349499428195315,0.15307894993062515,0.10160150246444777,0.1541503168027141,0.2166684404574089,0.32010304112981897,0.2729380903824423,0.3364496632818851,0.1750855557389206,0.14263558489569547,0.17249972515916825,0.2081329790865299,0.14141177384404,0.13218864351529688,0.15276877354972299,0.15516896090531623
BIDMC_14,1,0.3532807325672841,0.21226353476759788,0.06813013363200346,0.29176567351580385,0.2542439473879411,0.10501636297452133,0.549471921485252,0.24754814649876944,0.16763719175488967,0.336658413075662,0.7296829422897432,0.18681349008417386,0.1937936246178575,0.14885832478444497,0.26133792460444316,0.2711534584644133,0.503560756928072,0.3533009974473317,0.5854727829887244,0.25659790185112696,0.27032774133985354,0.21639063899090713,0.3221730470151887,0.23876595297603959,0.21798811479956953,0.2275649690297559,0.18378616211261004
BIDMC_15,1,0.2215258975621593,0.1405028140944521,0.0316049469685905,0.18056372810676283,0.1765128657302421,0.07756512235867749,0.4113010938219022,0.17079260577182992,0.10870268340991698,0.2670639352245488,0.47017880024157416,0.134836407930716,0.15529813317042157,0.09336761786771174,0.15251581302234518,0.2469931223291129,0.33028054262342177,0.20723891192668298,0.3378404336309489,0.1550564387414881,0.11778646998179969,0.131741451861184,0.18992503073186617,0.14823116803953193,0.1457958131639611,0.1390635125258955,0.12820317926286
BIDMC_16,1,0.29443387547348676,0.23033622209168622,0.07804961158449983,0.2698942180287224,0.28263903181641725,0.12116389117781483,0.6734931390471204,0.24034711458112706,0.1666756814768708,0.36835892000384407,0.6386609026816199,0.18462714529356733,0.17504742895840178,0.1590894676139088,0.20529268718884963,0.38496679888114754,0.4788387135917387,0.2688252794930418,0.4900270916445014,0.2524805101426358,0.2535760426296913,0.216428627640914,0.287913442994112,0.2579732681032256,0.21769720773225204,0.19177031676050263,0.18108214999234734
BIDMC_17,1,0.38700830620535936,0.20975003594030037,0.042554481266892916,0.3017425339007759,0.29246842979623855,0.10993877318913683,0.5219222298614511,0.270502899985844,0.19365764666048255,0.4029706215904196,0.7678656440562277,0.20711622382304407,0.22829566819260558,0.1458613350719077,0.23648248386213425,0.33711445302961246,0.488796137949798,0.43635890938179833,0.645432824133302,0.2698543795019909,0.17887135792699707,0.27385171212642456,0.33542599341502755,0.2171521211441122,0.20417879524553945,0.2274889458754391,0.2042790670022
BIDMC_18,1,0.410037027558713,0.22229544320063166,0.05338907550627289,0.3216065850032196,0.29917083901646,0.10776377655966929,0.639103690237828,0.2753479715263749,0.1893552607883963,0.377826709611068,0.8703759173305066,0.20347346171985214,0.21930935413007194,0.14895162030765446,0.30808461412111404,0.3729880523081038,0.18139233913616237,0.2914768160390282,0.6045077545731559,0.21187467562853052,0.25667516764294945,0.245376393069793,0.30129748481580776,0.24807119007887762,0.2204894096926046,0.23562545366003879,0.20219103922638654
BIDMC_19,1,0.19908006689468838,0.11738459566732865,0.028935365144923918,0.1538899455261718,0.14641027132991974,0.07153315987367712,0.37336109633837866,0.1507521808590793,0.08499016533058198,0.2632790194400865,0.4440941548358142,0.1141112097101731,0.13175398939203004,0.07299153453929245,0.13533822800390144,0.22518106217225825,0.3093987857096081,0.17846036005763571,0.3102494671354672,0.1287696415180817,0.08370535504193614,0.11029415419721243,0.1562233974566472,0.12622936506462928,0.11202761964499164,0.11605957233495079,0.1105115025246548
BIDMC_1,1,0.3741286007149882,0.21018474406056054,0.05399711206072524,0.35101965154350845,0.22512479614149808,0.04260563373991448,0.5207592153511433,0.28161174599200156,0.19383909189879223,0.3812377069677978,0.963293810133424,0.19880442705554402,0.18751885851652927,0.14234727459301103,0.20288360989067533,0.36936538634802074,0.4592381068463722,0.575738971573388,0.5653232901982181,0.29147096075269113,0.2770540906448147,0.3214443883113942,0.267242721826746,0.19098488699381588,0.20126645925185044,0.23894440932714262,0.22803590449526112
