"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.239004322238851,"",-0.243616662033734,-0.234391982443967
"CD11b","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.26233249319177,"medium",0.257721050003115,0.266943936380425
"CD11b","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.84301655311597,"large",1.83753438337263,1.8484987228593
"CD11b","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.471222647221316,"medium",0.466569597683594,0.475875696759037
"CD11b","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.90252887356192,"large",1.89699569583805,1.90806205128579
"CD11b","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.56835943239434,"large",1.56311450754115,1.57360435724752
"CD11c","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.305984842281763,"",-0.310607618610952,-0.301362065952573
"CD11c","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.141581926681782,"small",0.13698444171584,0.146179411647725
"CD11c","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.87182949498813,"large",1.86632164175951,1.87733734821676
"CD11c","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.432756167827748,"medium",0.428112968073739,0.437399367581757
"CD11c","BIDMC_Tonsil_2","BIDMC_Tonsil_4",2.02376587604534,"large",2.01812049920421,2.02941125288647
"CD11c","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.73218724311037,"large",1.72680845717641,1.73756602904434
"CD138","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.652557623322086,"",-0.657274317007781,-0.647840929636392
"CD138","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.280069214222863,"medium",0.275455022767954,0.284683405677772
"CD138","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.97624375103065,"large",1.97064053665349,1.9818469654078
"CD138","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.874325183652158,"large",0.869521108942286,0.87912925836203
"CD138","BIDMC_Tonsil_2","BIDMC_Tonsil_4",2.34736069408563,"large",2.3413943538557,2.35332703431557
"CD138","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.66203367843128,"large",1.6567134256817,1.66735393118086
"CD15","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.00451688872233331,"",-0.00911285511618276,7.90776715161425e-05
"CD15","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.319312273445145,"medium",0.314691369472178,0.323933177418113
"CD15","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.796868683476484,"medium",0.79209675303482,0.801640613918148
"CD15","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.305633081745322,"medium",0.301016575542833,0.31024958794781
"CD15","BIDMC_Tonsil_2","BIDMC_Tonsil_4",0.74134975214272,"medium",0.736603490272858,0.746096014012583
"CD15","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.430120000475815,"medium",0.425480320404686,0.434759680546943
"CD20","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.143953899268119,"",-0.148555808499082,-0.139351990037156
"CD20","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.132453324949112,"small",0.127856557042222,0.137050092856002
"CD20","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.16136136976008,"large",1.15639613387838,1.16632660564179
"CD20","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.263895125032313,"medium",0.259285403301063,0.268504846763563
"CD20","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.21987759612805,"large",1.21487761415322,1.22487757810289
"CD20","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.00209779690626,"large",0.997231471269927,1.0069641225426
"CD3","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.25819353286623,"",-0.262808602700035,-0.253578463032425
"CD3","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.251975564083943,"medium",0.247365643263963,0.256585484903923
"CD3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.968345998414183,"large",0.963491150251678,0.973200846576688
"CD3","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.479510964335966,"medium",0.474855685607253,0.484166243064678
"CD3","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.13545541826833,"large",1.1305081060012,1.14040273053546
"CD3","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.688515529712041,"medium",0.683794636145975,0.693236423278106
"CD31","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.0676851328726297,"",-0.0722824091772713,-0.063087856567988
"CD31","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.362770007831836,"medium",0.358140658640112,0.36739935702356
"CD31","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.59363197621091,"large",1.58835996720993,1.59890398521188
"CD31","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.365056178241714,"medium",0.360428319492154,0.369684036991273
"CD31","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.41413633190407,"large",1.40900329929198,1.41926936451617
"CD31","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.21852332587343,"large",1.21352881842509,1.22351783332176
"CD45","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.250853056359156,"",-0.255467057172304,-0.246239055546008
"CD45","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.239237550043577,"medium",0.234629418152836,0.243845681934319
"CD45","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.932908083918543,"large",0.928071569349692,0.937744598487393
"CD45","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.469106705709165,"medium",0.464454219207256,0.473759192211073
"CD45","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.0986760540034,"large",1.09375067151434,1.10360143649245
"CD45","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.715378481675096,"medium",0.710647094895203,0.720109868454989
"CD45RA","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.288456959272007,"",-0.293076759086348,-0.283837159457665
"CD45RA","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.110572420097511,"small",0.105977176831959,0.115167663363063
"CD45RA","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.860537404413336,"large",0.855736404690075,0.865338404136597
"CD45RA","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.387909355530935,"medium",0.38327660377445,0.392542107287421
"CD45RA","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.08448840514726,"large",1.07957131447401,1.08940549582051
"CD45RA","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.746644338615187,"medium",0.741900264185296,0.751388413045078
"CD68","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.234300866391709,"",-0.238912568952018,-0.2296891638314
"CD68","BIDMC_Tonsil_1","BIDMC_Tonsil_3",-0.0421990553557486,"",-0.046791302268059,-0.0376068084434382
"CD68","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.27448116678217,"large",1.26944329073351,1.27951904283083
"CD68","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.195893279783084,"small",0.191292497054322,0.200494062511846
"CD68","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.38737413476002,"large",1.38226038109623,1.39248788842381
"CD68","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.31111403777088,"large",1.30605823837389,1.31616983716787
"CD8","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.162305411717367,"",-0.166908933001428,-0.157701890433307
"CD8","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.159172807557896,"small",0.154573806453664,0.163771808662129
"CD8","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.883447683611118,"large",0.8786357231412,0.888259644081037
"CD8","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.311816799318536,"medium",0.307199204310087,0.316434394326985
"CD8","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.00643738945713,"large",1.00156422056819,1.01131055834608
"CD8","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.709578845538688,"medium",0.704849756211991,0.714307934865385
"Cytokeratin","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.137230911170371,"",-0.141832278058345,-0.132629544282396
"Cytokeratin","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.348654146050918,"medium",0.344027656298532,0.353280635803304
"Cytokeratin","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.887557777200297,"large",0.882743822599215,0.892371731801378
"Cytokeratin","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.425031556128005,"medium",0.420390235650917,0.429672876605093
"Cytokeratin","BIDMC_Tonsil_2","BIDMC_Tonsil_4",0.867053544985464,"large",0.862251490906585,0.871855599064342
"Cytokeratin","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.518199702899394,"medium",0.513536409028942,0.522862996769847
"FoxP3","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.647892468421524,"",-0.652607463736205,-0.643177473106843
"FoxP3","BIDMC_Tonsil_1","BIDMC_Tonsil_3",-0.0534895516922161,"",-0.0580821086062121,-0.0488969947782202
"FoxP3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",3.9728794370238,"large",3.96495984623014,3.98079902781746
"FoxP3","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.588771848005892,"medium",0.584083673715482,0.593460022296301
"FoxP3","BIDMC_Tonsil_2","BIDMC_Tonsil_4",4.03673332223414,"large",4.02873241948053,4.04473422498776
"FoxP3","BIDMC_Tonsil_3","BIDMC_Tonsil_4",3.92628546770046,"large",3.91843795020245,3.93413298519848
"GranzymeB","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.529085333735019,"",-0.533761012417211,-0.524409655052828
"GranzymeB","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.0923332338981608,"small",0.0877390520151379,0.0969274157811838
"GranzymeB","BIDMC_Tonsil_1","BIDMC_Tonsil_4",2.29993706547582,"large",2.2940170833505,2.30585704760114
"GranzymeB","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.599934830711092,"medium",0.595242931281825,0.604626730140359
"GranzymeB","BIDMC_Tonsil_2","BIDMC_Tonsil_4",2.57539787855989,"large",2.56918860870626,2.58160714841352
"GranzymeB","BIDMC_Tonsil_3","BIDMC_Tonsil_4",2.19174532900247,"large",2.18594240167726,2.19754825632767
"H3K27ac","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.182614915216476,"",-0.187220444971227,-0.178009385461725
"H3K27ac","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.222603446659962,"medium",0.217997512129212,0.227209381190712
"H3K27ac","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.98816527211758,"large",1.98255094716221,1.99377959707295
"H3K27ac","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.357661150550112,"medium",0.353034812569752,0.362287488530473
"H3K27ac","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.83548010244672,"large",1.83000692380319,1.84095328109025
"H3K27ac","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.70880504456341,"large",1.70344596506812,1.7141641240587
"H3K27me3","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.119053338619021,"",-0.12365336870736,-0.114453308530683
"H3K27me3","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.301919822145839,"medium",0.297302000390359,0.306537643901318
"H3K27me3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.87022625748435,"large",0.865420654512344,0.875031860456355
"H3K27me3","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.390246340985339,"medium",0.385613072428234,0.394879609542444
"H3K27me3","BIDMC_Tonsil_2","BIDMC_Tonsil_4",0.906787803870562,"large",0.901966451979034,0.911609155762089
"H3K27me3","BIDMC_Tonsil_3","BIDMC_Tonsil_4",0.577208096676945,"medium",0.572526610925006,0.581889582428884
"HLADRA","BIDMC_Tonsil_1","BIDMC_Tonsil_2",-0.173838414805724,"",-0.178443047712077,-0.16923378189937
"HLADRA","BIDMC_Tonsil_1","BIDMC_Tonsil_3",0.186500171787354,"small",0.181898464840078,0.191101878734631
"HLADRA","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.985107058878979,"large",0.980243326364361,0.989970791393597
"HLADRA","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.347792737423645,"medium",0.343168381131782,0.352417093715509
"HLADRA","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.09807477355312,"large",1.09314974437778,1.10299980272845
