"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.84301655311597,"large",1.83753438337263,1.8484987228593
"CD11b","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.90252887356192,"large",1.89699569583805,1.90806205128579
"CD11b","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.56835943239434,"large",1.56311450754115,1.57360435724752
"CD11c","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.87182949498813,"large",1.86632164175951,1.87733734821676
"CD11c","BIDMC_Tonsil_2","BIDMC_Tonsil_4",2.02376587604534,"large",2.01812049920421,2.02941125288647
"CD11c","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.73218724311037,"large",1.72680845717641,1.73756602904434
"CD138","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.97624375103065,"large",1.97064053665349,1.9818469654078
"CD138","BIDMC_Tonsil_2","BIDMC_Tonsil_3",0.874325183652158,"large",0.869521108942286,0.87912925836203
"CD138","BIDMC_Tonsil_2","BIDMC_Tonsil_4",2.34736069408563,"large",2.3413943538557,2.35332703431557
"CD138","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.66203367843128,"large",1.6567134256817,1.66735393118086
"CD20","BIDMC_Tonsil_1","BIDMC_Tonsil_4",1.16136136976008,"large",1.15639613387838,1.16632660564179
"CD20","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.21987759612805,"large",1.21487761415322,1.22487757810289
"CD20","BIDMC_Tonsil_3","BIDMC_Tonsil_4",1.00209779690626,"large",0.997231471269927,1.0069641225426
"CD3","BIDMC_Tonsil_1","BIDMC_Tonsil_4",0.968345998414183,"large",0.963491150251678,0.973200846576688
"CD3","BIDMC_Tonsil_2","BIDMC_Tonsil_4",1.13545541826833,"large",1.1305081060012,1.14040273053546
