"Staining_condition","Marker","CV","Is_Excluded"
"BIDMC_tonsil_30","CD3",0.0980404115392483,FALSE
"BIDMC_tonsil_30","CD45",0.113147368766521,FALSE
"BIDMC_tonsil_30","CD15",0.0648749276146172,FALSE
"BIDMC_tonsil_30","CD8",0.100106209977905,FALSE
"BIDMC_tonsil_30","CD11b",0.0427972461111516,FALSE
"BIDMC_tonsil_30","Tox/Tox2",0.0775160367018244,FALSE
"BIDMC_tonsil_30","CD20",0.080044694045256,FALSE
"BIDMC_tonsil_30","CD11c",0.0640718335578882,FALSE
"BIDMC_tonsil_30","H3K27me3",0.146255440574608,FALSE
"BIDMC_tonsil_30","Ki67",0.130795497733298,FALSE
"BIDMC_tonsil_30","HLADRA",0.137256251399747,FALSE
"BIDMC_tonsil_30","pS6",0.0989192273706537,FALSE
"BIDMC_tonsil_30","CD68",0.0841711261964273,FALSE
"BIDMC_tonsil_30","FOXP3",0.0240505328098687,FALSE
"BIDMC_tonsil_30","PD1",0.0629750411593561,FALSE
"BIDMC_tonsil_30","Pax5",0.16080287052825,FALSE
"BIDMC_tonsil_30","H3K27ac",0.0722246696269154,FALSE
"BIDMC_tonsil_30","Granzyme B",0.0585342785854271,FALSE
"BIDMC_tonsil_30","CD31",0.0660034791852302,FALSE
"BIDMC_tonsil_30","IDO1",0.0410863168187917,FALSE
"BIDMC_tonsil_30","CD138",0.102978639258982,FALSE
"BIDMC_tonsil_30","NaKATPase",0.0610288796949885,FALSE
"BIDMC_tonsil_30","CD45RA",0.145032032563277,FALSE
"BIDMC_tonsil_30","CK",0.181332694457055,FALSE
"BIDMC_tonsil_31","CD3",0.114800186501465,FALSE
"BIDMC_tonsil_31","CD45",0.112542943169417,FALSE
"BIDMC_tonsil_31","CD15",0.0799137080464638,FALSE
"BIDMC_tonsil_31","CD8",0.114715965331176,FALSE
"BIDMC_tonsil_31","CD11b",0.0610850691044822,FALSE
"BIDMC_tonsil_31","Tox/Tox2",0.0905647274684016,FALSE
"BIDMC_tonsil_31","CD20",0.0933957747826559,FALSE
"BIDMC_tonsil_31","CD11c",0.0775472796649521,FALSE
"BIDMC_tonsil_31","H3K27me3",0.144817901389258,FALSE
"BIDMC_tonsil_31","Ki67",0.137866446007308,FALSE
"BIDMC_tonsil_31","HLADRA",0.138851940186003,FALSE
"BIDMC_tonsil_31","pS6",0.106286773147355,FALSE
"BIDMC_tonsil_31","CD68",0.093253523145483,FALSE
"BIDMC_tonsil_31","FOXP3",0.0342840427301705,FALSE
"BIDMC_tonsil_31","PD1",0.0825935807716555,FALSE
"BIDMC_tonsil_31","Pax5",0.160847261044016,FALSE
"BIDMC_tonsil_31","H3K27ac",0.0832607458746206,FALSE
"BIDMC_tonsil_31","Granzyme B",0.0616260236383704,FALSE
"BIDMC_tonsil_31","CD31",0.0897079650024477,FALSE
"BIDMC_tonsil_31","IDO1",0.041973679806798,FALSE
"BIDMC_tonsil_31","CD138",0.105104748661795,FALSE
"BIDMC_tonsil_31","NaKATPase",0.0717249005364049,FALSE
"BIDMC_tonsil_31","CD45RA",0.13683897579388,FALSE
"BIDMC_tonsil_31","CK",0.213511696187488,FALSE
"BIDMC_tonsil_32","CD3",0.121139057227718,FALSE
"BIDMC_tonsil_32","CD45",0.121292255795113,FALSE
"BIDMC_tonsil_32","CD15",0.0709582605880615,FALSE
"BIDMC_tonsil_32","CD8",0.116018725900888,FALSE
"BIDMC_tonsil_32","CD11b",0.0509630408516548,FALSE
"BIDMC_tonsil_32","Tox/Tox2",0.085775477257973,FALSE
"BIDMC_tonsil_32","CD20",0.0891163978827556,FALSE
"BIDMC_tonsil_32","CD11c",0.0706631621962956,FALSE
"BIDMC_tonsil_32","H3K27me3",0.160433421777266,FALSE
"BIDMC_tonsil_32","Ki67",0.138817392559652,FALSE
"BIDMC_tonsil_32","HLADRA",0.145647573965913,FALSE
"BIDMC_tonsil_32","pS6",0.103631658419944,FALSE
"BIDMC_tonsil_32","CD68",0.0834863292752583,FALSE
"BIDMC_tonsil_32","FOXP3",0.02588598102226,FALSE
"BIDMC_tonsil_32","PD1",0.0679869902409344,FALSE
"BIDMC_tonsil_32","Pax5",0.166886863364784,FALSE
"BIDMC_tonsil_32","H3K27ac",0.0824800886068758,FALSE
"BIDMC_tonsil_32","Granzyme B",0.0622893768267781,FALSE
"BIDMC_tonsil_32","CD31",0.0780463789795077,FALSE
"BIDMC_tonsil_32","IDO1",0.0414814043840002,FALSE
"BIDMC_tonsil_32","CD138",0.117004491268383,FALSE
"BIDMC_tonsil_32","NaKATPase",0.0690964363689948,FALSE
"BIDMC_tonsil_32","CD45RA",0.155666318717236,FALSE
"BIDMC_tonsil_32","CK",0.203208604263013,FALSE
"BIDMC_tonsil_33","CD3",0.15628870006199,FALSE
"BIDMC_tonsil_33","CD45",0.184551951278635,FALSE
"BIDMC_tonsil_33","CD15",0.0636264091676361,FALSE
"BIDMC_tonsil_33","CD8",0.164462170549953,FALSE
"BIDMC_tonsil_33","CD11b",0.0946246113381273,FALSE
"BIDMC_tonsil_33","Tox/Tox2",0.130532177121068,FALSE
"BIDMC_tonsil_33","CD20",0.121930908096539,FALSE
"BIDMC_tonsil_33","CD11c",0.160809349910201,FALSE
"BIDMC_tonsil_33","H3K27me3",0.208386422889685,FALSE
"BIDMC_tonsil_33","Ki67",0.190739833029185,FALSE
"BIDMC_tonsil_33","HLADRA",0.172659192572835,FALSE
"BIDMC_tonsil_33","pS6",0.139644350078203,FALSE
"BIDMC_tonsil_33","CD68",0.149066960951057,FALSE
"BIDMC_tonsil_33","FOXP3",0.106353769733842,FALSE
"BIDMC_tonsil_33","PD1",0.117196412862121,FALSE
"BIDMC_tonsil_33","Pax5",0.207478076443184,FALSE
"BIDMC_tonsil_33","H3K27ac",0.145820033836132,FALSE
"BIDMC_tonsil_33","Granzyme B",0.179941593413575,FALSE
"BIDMC_tonsil_33","CD31",0.129738626304911,FALSE
"BIDMC_tonsil_33","IDO1",0.210452292381364,FALSE
"BIDMC_tonsil_33","CD138",0.20788996404032,FALSE
"BIDMC_tonsil_33","NaKATPase",0.185816948131769,FALSE
"BIDMC_tonsil_33","CD45RA",0.229054180219588,FALSE
"BIDMC_tonsil_33","CK",0.221635994686565,FALSE
