"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"IDO1","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0410863168187917,0.210452292381364,0.169365975562572,0,0
"NaKATPase","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0610288796949885,0.185816948131769,0.12478806843678,0,0
"Granzyme B","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0585342785854271,0.179941593413575,0.121407314828148,0,0
"CD138","BIDMC_tonsil_30","BIDMC_tonsil_33",0.102978639258982,0.20788996404032,0.104911324781338,0,0
"CD11c","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0640718335578882,0.160809349910201,0.0967375163523132,0,0
"CD45RA","BIDMC_tonsil_31","BIDMC_tonsil_33",0.13683897579388,0.229054180219588,0.0922152044257085,0,0
"FOXP3","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0240505328098687,0.106353769733842,0.0823032369239737,0,0
"H3K27ac","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0722246696269154,0.145820033836132,0.0735953642092161,0,0
"CD45","BIDMC_tonsil_31","BIDMC_tonsil_33",0.112542943169417,0.184551951278635,0.0720090081092177,0,0
"CD68","BIDMC_tonsil_32","BIDMC_tonsil_33",0.0834863292752583,0.149066960951057,0.0655806316757986,0,0
"CD8","BIDMC_tonsil_30","BIDMC_tonsil_33",0.100106209977905,0.164462170549953,0.0643559605720476,0,0
"CD31","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0660034791852302,0.129738626304911,0.0637351471196812,0,0
"H3K27me3","BIDMC_tonsil_31","BIDMC_tonsil_33",0.144817901389258,0.208386422889685,0.0635685215004271,0,0
"Ki67","BIDMC_tonsil_30","BIDMC_tonsil_33",0.130795497733298,0.190739833029185,0.0599443352958874,0,0
"CD3","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0980404115392483,0.15628870006199,0.0582482885227414,0,0
"PD1","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0629750411593561,0.117196412862121,0.0542213717027647,0,0
"Tox/Tox2","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0775160367018244,0.130532177121068,0.0530161404192433,0,0
"CD11b","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0427972461111516,0.0946246113381273,0.0518273652269758,0,0
"Pax5","BIDMC_tonsil_30","BIDMC_tonsil_33",0.16080287052825,0.207478076443184,0.0466752059149338,0,0
"CD20","BIDMC_tonsil_30","BIDMC_tonsil_33",0.080044694045256,0.121930908096539,0.0418862140512826,0,0
"pS6","BIDMC_tonsil_30","BIDMC_tonsil_33",0.0989192273706537,0.139644350078203,0.0407251227075489,0,0
"CK","BIDMC_tonsil_30","BIDMC_tonsil_33",0.181332694457055,0.221635994686565,0.0403033002295104,0,0
"HLADRA","BIDMC_tonsil_30","BIDMC_tonsil_33",0.137256251399747,0.172659192572835,0.0354029411730876,0,0
"CD15","BIDMC_tonsil_33","BIDMC_tonsil_31",0.0636264091676361,0.0799137080464638,0.0162872988788276,0,0
