"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","BIDMC_10","BIDMC_11",1.39998244984124,"large",1.39480267014304,1.40516222953944
"CD11b","BIDMC_10","BIDMC_12",-0.807088307114857,"",-0.81197046194721,-0.802206152282504
"CD11b","BIDMC_10","BIDMC_13",-1.95239053703011,"",-1.95811449491667,-1.94666657914355
"CD11b","BIDMC_10","BIDMC_14",-0.90384211751783,"",-0.908796444493111,-0.898887790542548
"CD11b","BIDMC_10","BIDMC_15",-1.3609065522161,"",-1.36610129949904,-1.35571180493316
"CD11b","BIDMC_10","BIDMC_16",-1.29470226484307,"",-1.29990905015858,-1.28949547952757
"CD11b","BIDMC_10","BIDMC_17",-1.25590191944719,"",-1.2610836235222,-1.25072021537219
"CD11b","BIDMC_10","BIDMC_18",-0.396411960558977,"",-0.401186703699562,-0.391637217418392
"CD11b","BIDMC_10","BIDMC_19",-1.59667059234806,"",-1.60202710017314,-1.59131408452297
"CD11b","BIDMC_10","BIDMC_1",2.15365594677153,"large",2.14771228819661,2.15959960534645
"CD11b","BIDMC_10","BIDMC_20",-0.627567695573665,"",-0.632332521039967,-0.622802870107362
"CD11b","BIDMC_10","BIDMC_21",-1.7750224036881,"",-1.78056682381651,-1.76947798355969
"CD11b","BIDMC_10","BIDMC_22",-1.13849218861064,"",-1.14354932428374,-1.13343505293755
"CD11b","BIDMC_10","BIDMC_23",-1.98685382684478,"",-1.9926011257181,-1.98110652797146
"CD11b","BIDMC_10","BIDMC_24",-1.36068952556488,"",-1.36585864760008,-1.35552040352967
"CD11b","BIDMC_10","BIDMC_2",-0.444987338755331,"",-0.449768069939461,-0.440206607571202
"CD11b","BIDMC_10","BIDMC_3",-0.689433405246325,"",-0.694321612468179,-0.68454519802447
"CD11b","BIDMC_10","BIDMC_4",-0.351640130074533,"",-0.356392116583939,-0.346888143565127
"CD11b","BIDMC_10","BIDMC_5",-1.45960496025265,"",-1.46493442027599,-1.4542755002293
"CD11b","BIDMC_10","BIDMC_6",-0.337780294875717,"",-0.34245165068792,-0.333108939063514
"CD11b","BIDMC_10","BIDMC_7",-1.36962223203216,"",-1.37486245361719,-1.36438201044712
"CD11b","BIDMC_10","BIDMC_8",-0.640443234321999,"",-0.645261310986655,-0.635625157657343
"CD11b","BIDMC_10","BIDMC_9",-1.5414014534671,"",-1.54675655175077,-1.53604635518342
"CD11b","BIDMC_11","BIDMC_12",-2.16421277705118,"",-2.17006595051175,-2.15835960359061
"CD11b","BIDMC_11","BIDMC_13",-3.20533101679125,"",-3.21237998129931,-3.1982820522832
"CD11b","BIDMC_11","BIDMC_14",-2.27609141293847,"",-2.28208915181826,-2.27009367405868
"CD11b","BIDMC_11","BIDMC_15",-2.67372954291021,"",-2.68010740874489,-2.66735167707553
"CD11b","BIDMC_11","BIDMC_16",-2.63824128652156,"",-2.64465124788348,-2.63183132515965
"CD11b","BIDMC_11","BIDMC_17",-2.51743315414829,"",-2.523710303565,-2.51115600473158
"CD11b","BIDMC_11","BIDMC_18",-1.73627636385532,"",-1.74177034471956,-1.73078238299107
"CD11b","BIDMC_11","BIDMC_19",-2.86078352566326,"",-2.86735239886179,-2.85421465246474
"CD11b","BIDMC_11","BIDMC_1",0.395479818435887,"medium",0.390750714875277,0.400208921996498
"CD11b","BIDMC_11","BIDMC_20",-2.00681692437239,"",-2.01246383618356,-2.00117001256123
"CD11b","BIDMC_11","BIDMC_21",-3.04758342163345,"",-3.05441865764827,-3.04074818561863
"CD11b","BIDMC_11","BIDMC_22",-2.47616326192227,"",-2.48233681779042,-2.46998970605412
"CD11b","BIDMC_11","BIDMC_23",-3.22844672861614,"",-3.23551275360999,-3.22138070362228
"CD11b","BIDMC_11","BIDMC_24",-2.69869777154672,"",-2.70507222353289,-2.69232331956056
"CD11b","BIDMC_11","BIDMC_2",-1.80263259291105,"",-1.80817786420736,-1.79708732161474
"CD11b","BIDMC_11","BIDMC_3",-2.03165989290715,"",-2.0374495465411,-2.02587023927321
"CD11b","BIDMC_11","BIDMC_4",-1.7808870460365,"",-1.78640493303247,-1.77536915904053
"CD11b","BIDMC_11","BIDMC_5",-2.77946188382007,"",-2.78603591118796,-2.77288785645218
"CD11b","BIDMC_11","BIDMC_6",-1.82891470011214,"",-1.83438307802928,-1.823446322195
"CD11b","BIDMC_11","BIDMC_7",-2.70192490020242,"",-2.7083828250722,-2.69546697533263
"CD11b","BIDMC_11","BIDMC_8",-2.08762982698691,"",-2.09341278541916,-2.08184686855467
"CD11b","BIDMC_11","BIDMC_9",-2.80851617443253,"",-2.81507714427303,-2.80195520459204
"CD11b","BIDMC_12","BIDMC_13",-1.17578995085164,"",-1.18089843390677,-1.17068146779652
"CD11b","BIDMC_12","BIDMC_14",-0.0767821234548442,"",-0.0815095259141967,-0.0720547209954916
"CD11b","BIDMC_12","BIDMC_15",-0.565554919668923,"",-0.570335234910266,-0.560774604427579
"CD11b","BIDMC_12","BIDMC_16",-0.469819920021294,"",-0.474625748653822,-0.465014091388767
"CD11b","BIDMC_12","BIDMC_17",-0.506433726166736,"",-0.511251485097065,-0.501615967236406
"CD11b","BIDMC_12","BIDMC_18",0.381059340195063,"medium",0.376281645506319,0.385837034883807
"CD11b","BIDMC_12","BIDMC_19",-0.834302954434257,"",-0.839173018360264,-0.82943289050825
"CD11b","BIDMC_12","BIDMC_1",3.14917300899338,"large",3.1420865203535,3.15625949763327
"CD11b","BIDMC_12","BIDMC_20",0.186599886500522,"small",0.181931548100008,0.191268224901035
"CD11b","BIDMC_12","BIDMC_21",-0.9919347388931,"",-0.996918221775274,-0.986951256010927
"CD11b","BIDMC_12","BIDMC_22",-0.331883752855295,"",-0.33661376617612,-0.327153739534469
"CD11b","BIDMC_12","BIDMC_23",-1.22007058479298,"",-1.225199420394,-1.21494174919197
"CD11b","BIDMC_12","BIDMC_24",-0.544482655125337,"",-0.549232957804664,-0.539732352446009
"CD11b","BIDMC_12","BIDMC_2",0.348257212403449,"medium",0.343492459511228,0.353021965295669
"CD11b","BIDMC_12","BIDMC_3",0.103401489198487,"small",0.0986427136313283,0.108160264765645
"CD11b","BIDMC_12","BIDMC_4",0.495860040456596,"medium",0.491065940552795,0.500654140360396
"CD11b","BIDMC_12","BIDMC_5",-0.646705280538582,"",-0.651570232173309,-0.641840328903855
"CD11b","BIDMC_12","BIDMC_6",0.555819045676881,"medium",0.551085341667516,0.560552749686246
"CD11b","BIDMC_12","BIDMC_7",-0.55246006631982,"",-0.557272132030944,-0.547648000608696
"CD11b","BIDMC_12","BIDMC_8",0.236906956026792,"medium",0.232184934236047,0.241628977817537
"CD11b","BIDMC_12","BIDMC_9",-0.775901299245662,"",-0.780783870137687,-0.771018728353637
"CD11b","BIDMC_13","BIDMC_14",1.13644539667039,"large",1.13133544638406,1.14155534695672
"CD11b","BIDMC_13","BIDMC_15",0.613770209791818,"medium",0.608957226730098,0.618583192853539
"CD11b","BIDMC_13","BIDMC_16",0.758562657594193,"medium",0.753637865537744,0.763487449650642
"CD11b","BIDMC_13","BIDMC_17",0.594752669049595,"medium",0.589890443813848,0.599614894285342
"CD11b","BIDMC_13","BIDMC_18",1.49525641740892,"large",1.48988267469583,1.500630160122
"CD11b","BIDMC_13","BIDMC_19",0.299000522080356,"medium",0.294287234562902,0.303713809597809
"CD11b","BIDMC_13","BIDMC_1",4.49354094803457,"large",4.48462180059719,4.50246009547195
"CD11b","BIDMC_13","BIDMC_20",1.36528238571215,"large",1.36009231299329,1.37047245843101
"CD11b","BIDMC_13","BIDMC_21",0.185957429786298,"small",0.181228620542493,0.190686239030102
"CD11b","BIDMC_13","BIDMC_22",0.856910742585219,"large",0.85198542393909,0.861836061231348
"CD11b","BIDMC_13","BIDMC_23",-0.0602551399340869,"",-0.0649815200602618,-0.055528759807912
"CD11b","BIDMC_13","BIDMC_24",0.668827428657744,"medium",0.664017648841404,0.673637208474083
"CD11b","BIDMC_13","BIDMC_2",1.48873698512531,"large",1.48337495565159,1.49409901459902
"CD11b","BIDMC_13","BIDMC_3",1.25318228452398,"large",1.24796366207663,1.25840090697132
"CD11b","BIDMC_13","BIDMC_4",1.71811955541786,"large",1.71257594320011,1.72366316763561
"CD11b","BIDMC_13","BIDMC_5",0.569381432073717,"medium",0.564527568165494,0.57423529598194
"CD11b","BIDMC_13","BIDMC_6",1.84876864686717,"large",1.84320100317253,1.85433629056182
"CD11b","BIDMC_13","BIDMC_7",0.665611899729938,"medium",0.660743746351793,0.670480053108083
"CD11b","BIDMC_13","BIDMC_8",1.51968409808532,"large",1.51432428042817,1.52504391574247
"CD11b","BIDMC_13","BIDMC_9",0.362004986765227,"medium",0.357241900292416,0.366768073238037
"CD11b","BIDMC_14","BIDMC_15",-0.505964218213362,"",-0.510751067340745,-0.501177369085979
"CD11b","BIDMC_14","BIDMC_16",-0.40572733931667,"",-0.410541266440022,-0.400913412193317
"CD11b","BIDMC_14","BIDMC_17",-0.448150099875273,"",-0.452976178523779,-0.443324021226768
"CD11b","BIDMC_14","BIDMC_18",0.463811537284803,"medium",0.458988754044166,0.46863432052544
"CD11b","BIDMC_14","BIDMC_19",-0.783841218809781,"",-0.788713856447848,-0.778968581171715
"CD11b","BIDMC_14","BIDMC_1",3.35092075357395,"large",3.34354146264733,3.35830004450056
"CD11b","BIDMC_14","BIDMC_20",0.269050892174298,"medium",0.264346861742981,0.273754922605614
"CD11b","BIDMC_14","BIDMC_21",-0.946270320317825,"",-0.951254964849594,-0.941285675786057
"CD11b","BIDMC_14","BIDMC_22",-0.2645932937367,"",-0.269336178680601,-0.259850408792799
"CD11b","BIDMC_14","BIDMC_23",-1.18189853022161,"",-1.18702898589019,-1.17676807455304
"CD11b","BIDMC_14","BIDMC_24",-0.482934240251322,"",-0.48769139621627,-0.478177084286375
"CD11b","BIDMC_14","BIDMC_2",0.432403354566458,"medium",0.427594757600744,0.437211951532172
"CD11b","BIDMC_14","BIDMC_3",0.181464288351493,"small",0.176674672110361,0.186253904592624
"CD11b","BIDMC_14","BIDMC_4",0.59185726647476,"medium",0.587008014036567,0.596706518912952
"CD11b","BIDMC_14","BIDMC_5",-0.589221848021831,"",-0.594091035698781,-0.584352660344881
"CD11b","BIDMC_14","BIDMC_6",0.660220426587493,"medium",0.655425362493583,0.665015490681404
