"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD4","CD45","CD45RA","CD68","CD8","Cytokeratin","FoxP3","H3K27ac","H3K27me3","Pax5","CD11b","ToxTox2","Ki67","HLADRA","pS6","PD1","GranzymeB","IDO1","NAKATPase"
"BIDMC_1",0.594551469362166,0.753327694731919,0.18841796525508,0.686662507926723,0.533094722881013,0.853130283200924,NA,0.825368685593302,0.783400696002172,0.567700428296779,0.355357893620325,0.628613573335478,0.416653888086083,0.872516179186794,0.826098034123321,0.692617244944207,NA,0.697168446987655,0.467276083443959,0.718932502118949,0.758102254509681,0.451027225001684,0.559302139690613,0.808325493794539,0.907666106590381
"BIDMC_10",0.393126259133541,0.635679899599559,0.157896592788876,0.604217195460367,0.462346931024543,0.639284656842114,0.646517761290248,0.726488831966381,0.609460308729577,0.531917516729511,0.363687413852872,0.518254740630783,0.309230351978223,0.689641580193589,0.672723675781019,0.674583973841866,0.3121104789025,0.606458023587732,0.432359477235632,0.628391659792342,0.686047320598529,0.358793637977681,0.403251306990563,0.518316950260167,0.722602445068925
"BIDMC_11",0.458490234488868,0.763795712366151,0.0730080989877737,0.661140783457297,0.501132322020031,0.682383162017219,0.720353684780807,0.779520307967361,0.719533684977763,0.487047675342392,0.377004815374575,0.586899247168127,0.108235263173383,0.778449801695399,0.664189870621568,0.777312332161114,0.0879669768502141,0.593948864839168,0.490075317425541,0.706589993085141,0.713774027691442,0.382075751132947,0.427189086762789,0.542977587954231,0.777830623221236
"BIDMC_12",0.338588615602428,0.684527167985738,0.125419778922469,0.59206105540695,0.563272030440984,0.638727677202465,0.546479475393473,0.690341555938376,0.719635106567348,0.531551953785003,0.37325552722384,0.525963224471872,0.193065541088923,0.637503946161251,0.592310601143487,0.730017346010183,0.424985302501362,0.570408910657859,0.485389699436528,0.644355301172049,0.60087770463782,0.207561524318516,0.393839159439932,0.473664593047032,0.673401632101989
"BIDMC_13",0.648300576272422,0.748415884376801,0.246987664014731,0.705731672497155,0.636774927659049,0.732307848145414,NA,0.795938464805664,0.699091125715262,0.65557350402432,0.52331496946737,0.557758199205614,0.700329986276078,0.795755726566148,0.69084567493803,0.767434858328639,0.580015428094056,0.740733526278931,0.539485530111114,0.676465487333457,0.77387576442095,0.624144664693368,0.653877794737103,0.769566249028784,0.835099081573423
"BIDMC_14",0.439184780630319,0.668654843635619,0.193806942556091,0.638518460069508,0.528341731605257,0.673709400634305,0.677600260460887,0.758798552386045,0.620912441285101,0.550210382751492,0.409006817118221,0.537777235775045,0.399595462636581,0.706462873761123,0.696235129077256,0.697196727802233,0.435007707221116,0.645137720897394,0.47475161008285,0.651965735695234,0.713293803497045,0.45388517895022,0.454340412492147,0.543905839018402,0.739221626080618
"BIDMC_15",0.540111723371715,0.782087744964058,0.158605005963403,0.737328220940135,0.626955848096437,0.714585391184222,0.739569974255702,0.800536737226073,0.733253037503379,0.561025132032832,0.468274143023957,0.598366656482915,0.486520230299641,0.781875654030001,0.686353316579071,0.793502032087631,0.500160036440668,0.644713875758226,0.541348958769907,0.731162070469761,0.727318147238017,0.478507074792826,0.548697627867759,0.575941314115852,0.784854977468573
"BIDMC_16",0.39866182970113,0.702999389023833,0.175804614233161,0.623023607045052,0.636317921028479,0.665522818427525,0.584740355350633,0.720300289592559,0.720575129221049,0.554702163481302,0.430102781566996,0.551375515781096,0.303224858290712,0.665945364837963,0.620290383514764,0.750348407154051,0.485157927759606,0.604573796579527,0.538339412898598,0.662835549128788,0.638791453651779,0.377699348488336,0.441660638524579,0.507118845100977,0.705128277045377
"BIDMC_17",0.66070465116371,0.746445190619438,0.18934394220175,0.753110700547778,0.638810262634381,0.762111473864916,NA,0.831025053356752,0.692814082353488,0.641563056574217,0.488206926029711,0.553115723232391,0.705452743019328,0.840653209492555,0.749035644104396,0.758107383475605,0.497002120857583,0.723125293687411,0.535814312509646,0.74446460290979,0.764663115201024,0.622473150374347,0.6422336682904,0.762680544173053,0.84351358113399
"BIDMC_18",0.453985872950482,0.690719811021862,0.146479913625018,0.656438540247661,0.556131975873629,0.694263581175892,0.737846323910661,0.782355214269864,0.659025694663237,0.538829964403301,0.376541455233289,0.519014235827585,0.507820455731411,0.733003833564492,0.730687505836169,0.69753047405324,0.370630602165706,0.651575060128188,0.483612917637617,0.682723119453513,0.72533953802247,0.481375412271637,0.493244960750858,0.598019274238211,0.77241897264996
"BIDMC_19",0.534950746050109,0.763632612876219,0.148374809288512,0.730349815453021,0.588353702669698,0.68315315210982,0.751309572295225,0.786007746959376,0.71703790439844,0.567884493586888,0.434562788143213,0.594699516656619,0.534515945224127,0.784893684623851,0.679939984009376,0.800058147991946,0.539701345616619,0.646157592142057,0.520185850457993,0.755429911123406,0.722685480445836,0.419638136274763,0.544019106340243,0.582889862412221,0.784426067063303
"BIDMC_2",0.382316476258757,0.73312882602551,0.178252887349166,0.627995342119022,0.401771464746662,0.718012739429864,0.674658856353372,0.749658211631132,0.707115160466636,0.581325838117213,0.35634211707139,0.56337981252132,0.379568792592395,0.713178699174858,0.671582323233971,0.693778948230794,0.376424494623259,0.637760093246303,0.463599315754807,0.634681076807257,0.724687602656971,0.346800798952498,0.469534255352587,0.59521957230512,0.793809002964452
"BIDMC_20",0.402430819905962,0.737485359776247,0.0933216224892193,0.640777492273266,0.634842610457267,0.69766365238358,0.61878275910542,0.737182563262956,0.752277237874307,0.552811961594492,0.374588704125206,0.570876897082838,0.395727606428252,0.693033294228835,0.654701948458619,0.773478996968782,0.399852066122191,0.583991128251185,0.521007615500356,0.701662219341527,0.64196200950195,0.366106986308456,0.452206561884546,0.53600841280766,0.723921191090515
"BIDMC_21",0.682251982968346,NA,0.252872099779965,0.781945119655294,0.702520852543697,0.766382764619387,NA,0.864998165968755,0.719040387712627,0.656230944809388,0.540518062114251,0.575045500458505,0.741702201731048,0.855381055593554,0.775627628109167,0.776633551927572,0.555988073788634,0.749118619841646,0.565172582993117,0.769070445041158,0.795879266688863,0.658764583803229,0.667254123582637,0.766063465719129,0.864052976393024
"BIDMC_22",0.506588777850693,0.708897740954235,0.22885733300761,0.693503474169493,0.62903244235916,0.706652886869026,0.749370556586756,0.814557610001824,0.68099084667134,0.577369731180824,0.451884225809607,0.527574176836208,0.570114482306647,0.748797709254786,0.750676780848186,0.717362596009737,0.468945927896957,0.698022318239681,0.525751077967469,0.700757109476956,0.749254506005721,0.558406450927741,0.532665331840054,0.5988931777908,0.788041897209163
"BIDMC_23",0.583209961312274,0.824038508736863,0.171429325021387,0.790777033750743,0.657419300884524,0.735663341737713,0.784527390936715,0.833993575372661,0.771238943096747,0.595017641066949,0.459378511547186,0.66009873723645,0.603048519839646,0.805866408805297,0.739502876092652,0.821589703203118,0.587890517135779,0.687611866691329,0.557416163216653,0.810337414058323,0.754647134307877,0.509434109937652,0.578876141975803,0.605537146736059,0.815391555146892
"BIDMC_24",0.46556460902581,0.761803352482373,0.147844011302302,0.67364623413116,0.70833620753423,0.722324965867712,0.628071183445362,0.769647380396458,0.799215292056412,0.581745630257509,0.460549773113779,0.573721334929816,0.485930261085994,0.708856681448393,0.670100860242326,0.788527802158045,0.49542374583667,0.636259597196433,0.562806776343547,0.716695668753917,0.670653783378854,0.488567562853534,0.496583377587443,0.530842306999211,0.743228184801913
"BIDMC_3",0.456111021387082,0.825438820184951,0.123356575480734,0.737464603964029,0.46889637456627,0.799807856842418,0.69156323361552,0.807268748299739,0.795959433582988,0.551686229938189,0.351039389577444,0.656080718268366,0.413551001077486,0.779488392174727,0.706522190260033,0.785454281712386,0.410732327590692,0.57529901438414,0.469161090156379,0.750925693669786,0.712522606119973,0.275016924259153,0.493750594207404,0.563728980260141,0.811707167537398
"BIDMC_4",0.290792323359095,0.747836748684193,0.0845828819295659,0.608583489786406,0.560171741459381,0.69797761174852,0.527122094102973,0.720121492610721,0.781369956717706,0.536126456605802,0.297855692285195,0.570222277959925,0.234907735991767,0.644846859782336,0.611219194805483,0.731981846847486,0.360058239002495,0.54532184760269,0.451582636255246,0.634562703372043,0.636694565664457,0.207712912432527,0.40286108000623,0.52354961233333,0.708558173923372
"BIDMC_5",0.625623415825153,0.776152560866366,0.216404470528369,0.72154759209438,0.61990952273744,0.801898829277611,NA,0.827880923124235,0.793897424476271,0.633908908422736,0.455931938875763,0.608137028259373,0.683973356346539,0.821635824710539,0.758391767178323,0.742125074652374,0.508338627687236,0.720339550548715,0.507283288382709,0.697359363349319,0.775425676146014,0.577576064455401,0.65598517578878,0.816524656770874,0.915756876513529
"BIDMC_6",0.375451171940523,0.661196001561664,0.190463310874032,0.593281313402916,0.493833835848958,0.620720137105805,0.613936201847063,0.75871108200226,0.608397383407951,0.522917490558502,0.343973988313118,0.445997668174756,0.389984838827868,0.629998064721915,0.6338812169045,0.676365021881141,0.355939227630195,0.620810985913256,0.443118572898172,0.583747817550973,0.664786285344304,0.372976738639425,0.424775346395103,0.505846872584008,0.69296914264979
"BIDMC_7",0.481096664564112,0.83288025275928,0.175388008839737,0.738052198373047,0.622511248842552,0.825077172143232,0.731420864971436,0.818116983244239,0.803162204879808,0.563125947499956,0.4204667939221,0.651331629528257,0.45806341131473,0.787588754739441,0.732292040061452,0.799303074283556,0.496198875037257,0.602069408712118,0.505325308611544,0.742411871012168,0.729040797036111,0.399780117050524,0.544702238213119,0.585466025423372,0.832346055050961
"BIDMC_8",0.370699363181551,0.780020893874144,0.120937199195801,0.654907438910545,0.679059427088313,0.754913886482564,0.582373605343567,0.76043151837759,0.838627998032686,0.550578274110168,0.388313193960948,0.600751680039774,0.521446491394529,0.672665167590463,0.660459508907028,0.75710194269593,0.395485467266542,0.579705418286631,0.494724107501201,0.650227203104603,0.654152878093852,0.383062637002472,0.46839933946774,0.541404090680775,0.723541475738757
