"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD11b","BIDMC_Slide21","BIDMC_Slide1",0.0277394255427229,0.686558419824661,0.658818994281938,1,1
"FOXP3","BIDMC_Slide21","BIDMC_Slide11",0.0127810456852984,0.337458089338846,0.324677043653548,0,0
"CD4","BIDMC_Slide23","BIDMC_Slide1",0.10085983421064,0.283170217600321,0.182310383389681,6,6
"IDO1","BIDMC_Slide21","BIDMC_Slide12",0.033784518676245,0.212326840508122,0.178542321831877,0,0
"CD45RA","BIDMC_Slide24","BIDMC_Slide6",0.091117166800114,0.266127417835747,0.175010251035633,0,0
"Pax5","BIDMC_Slide24","BIDMC_Slide1",0.0935127916057312,0.261335344764838,0.167822553159107,0,0
"PD1","BIDMC_Slide21","BIDMC_Slide12",0.0355940136676591,0.183802304345295,0.148208290677635,0,0
"CK","BIDMC_Slide23","BIDMC_Slide6",0.15989094448296,0.302155946072302,0.142265001589342,0,0
"CD138","BIDMC_Slide23","BIDMC_Slide21",0.0939084441200808,0.226276720508763,0.132368276388682,1,1
"Na/KATPase","BIDMC_Slide5","BIDMC_Slide12",0.051931156729625,0.184140617082651,0.132209460353025,0,0
"CD68","BIDMC_Slide13","BIDMC_Slide11",0.0624019303206615,0.186540579814971,0.12413864949431,0,0
"CD15","BIDMC_Slide6","BIDMC_Slide11",0.0383222448114217,0.162091666297696,0.123769421486274,0,0
"Granzyme B","BIDMC_Slide21","BIDMC_Slide12",0.0287329418886358,0.152143597809702,0.123410655921066,0,0
"CD3","BIDMC_Slide8","BIDMC_Slide2",0.0671144944331958,0.186483242037855,0.11936874760466,0,0
"H3K27me3","BIDMC_Slide21","BIDMC_Slide12",0.120216165762871,0.237207054887598,0.116990889124727,0,0
"CD45","BIDMC_Slide21","BIDMC_Slide4",0.0954491417773239,0.211716893784701,0.116267752007377,0,0
"H3K27ac","BIDMC_Slide21","BIDMC_Slide12",0.055586684863883,0.167492979984382,0.111906295120499,0,0
"pS6","BIDMC_Slide13","BIDMC_Slide12",0.0601808609932215,0.170961661667136,0.110780800673915,0,0
"CD31","BIDMC_Slide1","BIDMC_Slide12",0.049429021975364,0.146516831527938,0.0970878095525739,0,0
"CD20","BIDMC_Slide21","BIDMC_Slide1",0.0586804334580887,0.146741703061248,0.0880612696031592,0,0
"CD8","BIDMC_Slide21","BIDMC_Slide11",0.0518009679277268,0.133162535292153,0.0813615673644267,0,0
"CD11c","BIDMC_Slide21","BIDMC_Slide12",0.0244848477328852,0.105402441515788,0.0809175937829024,0,0
"Tox/Tox2","BIDMC_Slide21","BIDMC_Slide12",0.0558279459634185,0.127826754996531,0.071998809033113,0,0
"Ki67","BIDMC_Slide16","BIDMC_Slide18",0.0841388094917884,0.147339626662918,0.0632008171711295,0,0
"HLADRA","BIDMC_Slide21","BIDMC_Slide4",0.0978909216360467,0.159834304617837,0.0619433829817903,0,0
