"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"1_Fresh","CD3",0.716192360141142,FALSE,-1.11968459806236
"1_Fresh","CD11b",0.347765349935921,FALSE,-0.914216740612176
"1_Fresh","CD15",0.806930123092507,FALSE,0.986959502324896
"1_Fresh","CD20",0.222355569032441,FALSE,-0.737083978011104
"1_Fresh","CD8",0.576626085197217,FALSE,-1.03698005978058
"1_Fresh","H3K27me3",0.129931843175263,FALSE,-0.605554061838933
"1_Fresh","Ki67",0.40604874718179,FALSE,-0.783111359737119
"1_Fresh","HLADRA",0.168983239205788,FALSE,-0.591703761807974
"1_Fresh","PD1",0.427290521635594,FALSE,-0.855879580077125
"1_Fresh","CD68",0.247845857419098,FALSE,-0.923247714841107
"1_Fresh","H3K27ac",0.12606478758601,FALSE,-0.490830034751967
"1_Fresh","FoxP3",0.154771730781189,FALSE,-0.960666893368249
"1_Fresh","CD56",0.31753710785885,FALSE,-0.579961814453844
"1_Fresh","GranzymeB",0.248244163379054,FALSE,-0.454744945783866
"1_Fresh","NaKATPase",0.15744036874184,FALSE,-0.855346441480574
"1_Fresh","CD45",0.125117413743655,FALSE,-0.606234215951611
"1_Fresh","PAX5",0.210334794494678,FALSE,-0.971756860353115
"2_Lyophilized_manual","CD3",0.828981597600458,FALSE,0.315445489218823
"2_Lyophilized_manual","CD11b",0.495937291256227,FALSE,-0.153756437477383
"2_Lyophilized_manual","CD15",0.706378796621458,FALSE,-1.01254930871514
"2_Lyophilized_manual","CD20",0.239494332681495,FALSE,-0.401217978139724
"2_Lyophilized_manual","CD8",0.696246717776792,FALSE,0.0785988311682696
"2_Lyophilized_manual","H3K27me3",0.13469832898788,FALSE,-0.548679490955125
"2_Lyophilized_manual","Ki67",0.452780283375386,FALSE,-0.343326928911926
"2_Lyophilized_manual","HLADRA",0.170644135004877,FALSE,-0.562876826952411
"2_Lyophilized_manual","PD1",0.480895681685533,FALSE,-0.243329610653332
"2_Lyophilized_manual","CD68",0.264637553282333,FALSE,-0.138967719926736
"2_Lyophilized_manual","H3K27ac",0.116836122662682,FALSE,-0.659744862280113
"2_Lyophilized_manual","FoxP3",0.22854806011128,FALSE,-0.074499266833786
"2_Lyophilized_manual","CD56",0.317838625379346,FALSE,-0.574734780344174
"2_Lyophilized_manual","GranzymeB",0.241232913253017,FALSE,-0.691814817986822
"2_Lyophilized_manual","NaKATPase",0.173970814805389,FALSE,-0.244105648222476
"2_Lyophilized_manual","CD45",0.128150865703252,FALSE,-0.547976339629774
"2_Lyophilized_manual","PAX5",0.238078600586159,FALSE,-0.0542756712310799
"3_Lyophilized_automated","CD3",0.867396693291814,FALSE,0.804239108843532
"3_Lyophilized_automated","CD11b",0.733985284242624,FALSE,1.06797317808956
"3_Lyophilized_automated","CD15",0.758584750658255,FALSE,0.0255898063902404
"3_Lyophilized_automated","CD20",0.318053842417275,FALSE,1.13830195615083
"3_Lyophilized_automated","CD8",0.790583503609231,FALSE,0.958381228612312
"3_Lyophilized_automated","H3K27me3",0.277414322040972,FALSE,1.15423355279406
"3_Lyophilized_automated","Ki67",0.608957677676638,FALSE,1.12643828864904
"3_Lyophilized_automated","HLADRA",0.269597347379473,FALSE,1.15458058876039
"3_Lyophilized_automated","PD1",0.598383251539024,FALSE,1.09920919073046
"3_Lyophilized_automated","CD68",0.290355284628872,FALSE,1.06221543476784
"3_Lyophilized_automated","H3K27ac",0.215742978308541,FALSE,1.15057489703208
"3_Lyophilized_automated","FoxP3",0.320931306282627,FALSE,1.03516616020204
"3_Lyophilized_automated","CD56",0.41759956995316,FALSE,1.15469659479802
"3_Lyophilized_automated","GranzymeB",0.295602133172348,FALSE,1.14655976377069
"3_Lyophilized_automated","NaKATPase",0.21030610028537,FALSE,1.09945208970305
"3_Lyophilized_automated","CD45",0.216782695403886,FALSE,1.15421055558139
"3_Lyophilized_automated","PAX5",0.27074614914552,FALSE,1.02603253158419
